source,target,co_temporal_weight,passes_co_temporal_threshold
aiemviana_,skintok_ct36635,1,False
aiemviana_,skintok_ct98906,1,False
aiiy_saja,beautyaddict_ct10959,1,False
aiiy_saja,cantik_ct95823,1,False
aiiy_saja,skinclub_ct6649,1,False
ainalwilta,glowingid_ct18883,1,False
ainalwilta,skinlover_ct23275,1,False
ainalwilta,skintok_ct36635,1,False
ainalwilta,skintok_ct98906,1,False
ainul.yaqin7203,kulitglowing_ip334,1,False
ainurjnh,cantik_ip9501,1,False
ainurjnh,glowhunter_ip1923,1,False
aisiyahren,beauty_ct7151,1,False
aisiyahren,beauty_ct8829,1,False
aisiyahren,beautyaddict_ct8242,1,False
aisiyahren,beautyvibe_ct2527,1,False
aisiyahren,skincare_ct7727,1,False
aisiyahren,skinclub_ct2318,1,False
akbarmalik0552,beautyvibe_ct78952,1,False
akbarmalik0552,kulitcerah_ct29113,1,False
akbarmalik0552,reviewjujur_ct39243,1,False
akbarmalik0552,reviewjujur_ct55350,1,False
akbarmalik0552,reviewjujur_ct97003,1,False
akun1lagi2,kulitsehat_rp54793,1,False
akungbutt70,cantik_ip9501,1,False
akungbutt70,glowhunter_ip1923,1,False
akurenay,kulitsehat_rp54793,1,False
akuuu_186,glowingid_ct18883,1,False
akuuu_186,skinlover_ct23275,1,False
akuuu_186,skintok_ct36635,1,False
akuuu_186,skintok_ct98906,1,False
akuuuulohhhhh,beautyvibe_ct5449,1,False
akuuuulohhhhh,cantik_ct9210,1,False
akuuuulohhhhh,reviewjujur_ct7045,1,False
akuuuulohhhhh,skincare_ct1453,1,False
al.muflikah,beautyvibe_rp82732,1,False
ale_ale405,testiaman_r3c02m00x9822,1,False
ale_ale405,testiaman_r3c02m01x8585,1,False
ale_ale405,testiaman_r3c02m02x2716,1,False
ale_ale405,testiaman_r3c02m03x8993,1,False
ale_ale405,testiaman_r3c02m04x8847,1,False
alfanad_1,bestieku_ct70500,1,False
alfanad_1,skinclub_ct15395,1,False
alfanad_1,testireal_ct62779,1,False
alfian.alfian618,bestieku_rr99428,1,False
alfii055,glowingid_ct18883,1,False
alfii055,skinlover_ct23275,1,False
alfii055,skintok_ct36635,1,False
alfii055,skintok_ct98906,1,False
aliarubimaulani0,beautyaddict_ct10959,1,False
aliarubimaulani0,cantik_ct95823,1,False
alienkinars,cantik_ip9501,1,False
alienkinars,glowhunter_ip1923,1,False
alljenajema,cantik_ip9501,1,False
alljenajema,glowhunter_ip1923,1,False
alndh_,glowingid_ct18883,1,False
alndh_,skinlover_ct23275,1,False
alndh_,skintok_ct36635,1,False
alndh_,skintok_ct98906,1,False
aloneinature,racun_ct7880,1,False
aloneinature,reviewjujur_ct9366,1,False
aloneinature,reviewjujur_ct9773,1,False
aloneinature,skinbestie_ct9114,1,False
aloneinature,skinlover_ct782,1,False
alpaca_06,beautyaddict_ct10959,1,False
alpaca_06,cantik_ct95823,1,False
alpaca_06,skinclub_ct6649,1,False
alvaro.dominic11,skinclub_ip8582,1,False
alya_aya_7,glowingid_ct18883,1,False
alya_aya_7,skinlover_ct23275,1,False
alya_aya_7,skintok_ct36635,1,False
alya_aya_7,skintok_ct98906,1,False
amelia_rahayaan0,beautyaddict_rr41856,1,False
ami.zhu,glowhunter_cp9145,1,False
amih_marselina,kulitsehat_rp54793,1,False
ammy_alula,beautyaddict_ct10959,1,False
ammy_alula,cantik_ct95823,1,False
ammy_alula,skinclub_ct6649,1,False
amsah902,cantik_ip9501,1,False
amsah902,glowhunter_ip1923,1,False
amsha1399,glowhunter_ip8756,1,False
amtfii,beautyaddict_ct10959,1,False
amtfii,cantik_ct95823,1,False
amtfii,skinclub_ct6649,1,False
amy.khairi,kulitsehat_rp54793,1,False
ana965180,glowingid_ct18883,1,False
ana965180,skinlover_ct23275,1,False
ana965180,skintok_ct36635,1,False
ana965180,skintok_ct98906,1,False
ana_dhira,skinclub_ct6649,1,False
anadiyanan,cantik_ip9501,1,False
anadiyanan,glowhunter_ip1923,1,False
anahnah147,beautyaddict_ct10959,1,False
anahnah147,cantik_ct95823,1,False
anahnah147,skinclub_ct6649,1,False
anapus,cantik_ip9501,1,False
andievha2,racun_ct7880,1,False
andievha2,reviewjujur_ct9366,1,False
andievha2,reviewjujur_ct9773,1,False
andievha2,skinbestie_ct9114,1,False
andievha2,skinlover_ct782,1,False
andinni203,beautyaddict_ct10959,1,False
andinni203,cantik_ct95823,1,False
andinni203,skinclub_ct6649,1,False
andiririnsyahrial,cantik_ip9501,1,False
andiririnsyahrial,glowhunter_ip1923,1,False
andreiazqieeattaulani,dearskin_ct58033,1,False
andreiazqieeattaulani,glowup_ct95907,1,False
andreiazqieeattaulani,skincare_ct87875,1,False
angelina.pertiwi,beautyaddict_rr41856,1,False
anggapojur,beauty_ct7151,1,False
anggapojur,beauty_ct8829,1,False
anggapojur,beautyaddict_ct8242,1,False
anggapojur,beautyvibe_ct2527,1,False
anggapojur,skincare_ct7727,1,False
anggapojur,skinclub_ct2318,1,False
anggiiiiiiiiiiii28,cantik_ip9501,1,False
anggircm,glowhunter_ip8756,1,False
anggirohmawati16,bestieku_ct74574,1,False
anggirohmawati16,skincare_ct78893,1,False
anggirohmawati16,skintok_ct53509,1,False
anggirohmawati16,testireal_ct35011,1,False
anggit_ajah,beautyaddict_rr41856,1,False
anh23050,beautyaddict_ct10959,1,False
anh23050,cantik_ct95823,1,False
anh23050,skinclub_ct6649,1,False
anisa29_87,beautyaddict_ct10959,1,False
anisa29_87,cantik_ct95823,1,False
anisa29_87,skinclub_ct6649,1,False
anitaafifa73_,kulitsehat_rp54793,1,False
anitatata74,kulitsehat_rp54793,1,False
anjani02327,cantik_ct95823,1,False
anjani02327,skinclub_ct6649,1,False
annidasabilamara,cantik_ip9501,1,False
annimjhh_,cantik_ip9501,1,False
annimjhh_,glowhunter_ip1923,1,False
anothergirl_2,kulitsehat_rp54793,1,False
ansarahiranafisha,beautyaddict_rr41856,1,False
aphiend14,kulitsehat_rp54793,1,False
april.taurus193,cantik_ip9501,1,False
aprilliamiharja,glowhunter_ip8756,1,False
aqilanaylaputri62,beautyvibe_ct7323,1,False
aqilanaylaputri62,cantik_ct3314,1,False
aqilanaylaputri62,dearskin_ct6747,1,False
aqilanaylaputri62,racun_ct1114,1,False
aqilanaylaputri62,skinbestie_ct5848,1,False
aqilanaylaputri62,skinclub_ct4422,1,False
ariefhermansyah87,bestieku_ct70500,1,False
ariefhermansyah87,skinclub_ct15395,1,False
ariefhermansyah87,testireal_ct62779,1,False
arifatus00,beautyaddict_rr41856,1,False
arista2239,glowhunter_ip1923,1,False
arka26556,dearskin_ct58033,1,False
arka26556,skincare_ct87875,1,False
arlina.dipati,glowingid_ct18883,1,False
arlina.dipati,skinlover_ct23275,1,False
arlina.dipati,skintok_ct36635,1,False
arlina.dipati,skintok_ct98906,1,False
arsenbyruangtidur,kulitsehat_rp54793,1,False
arumi.family,beautyaddict_ct10959,1,False
arumi.family,cantik_ct95823,1,False
arumi.family,skinclub_ct6649,1,False
asciiayuningsih,cantik_ip9501,1,False
aserlyw,beautyaddict_ct10959,1,False
aserlyw,cantik_ct95823,1,False
aserlyw,skinclub_ct6649,1,False
asmiranda003,kulitsehat_rp54793,1,False
asoyysekbew,beautyaddict_ct10959,1,False
asria2794,glowhunter_cp9145,1,False
asstrddddddd,skinlover_ip490,1,False
assyifashop1_,cantik_ct95823,1,False
assyifashop1_,skinclub_ct6649,1,False
astriherera,cantik_ip9501,1,False
astriherera,glowhunter_ip1923,1,False
attalakevin,cantik_ip9501,1,False
attalakevin,glowhunter_ip1923,1,False
aulia8185,kulitsehat_rp54793,1,False
auliaurora,beautyvibe_ct7323,1,False
auliaurora,cantik_ct3314,1,False
auliaurora,dearskin_ct6747,1,False
auliaurora,racun_ct1114,1,False
auliaurora,skinbestie_ct5848,1,False
auliaurora,skinclub_ct4422,1,False
aumaza3,beautyaddict_ct10959,1,False
auntyryta02,glowhunter_ip8756,1,False
avahsundusiah,cantik_ip9501,1,False
avahsundusiah,glowhunter_ip1923,1,False
aw9_6,kulitsehat_rp54793,1,False
awa.nails_studio,dearskin_ct58033,1,False
awa.nails_studio,glowup_ct95907,1,False
awa.nails_studio,skincare_ct87875,1,False
awalgaffar_ramadhan,glowcheck_r3c10m00x7594,1,False
awalgaffar_ramadhan,glowcheck_r3c10m01x2927,1,False
awalgaffar_ramadhan,glowcheck_r3c10m02x8990,1,False
awalgaffar_ramadhan,glowcheck_r3c10m03x7520,1,False
awalgaffar_ramadhan,glowcheck_r3c10m04x9521,1,False
awalgaffar_ramadhan,glowcheck_r3c10m05x2485,1,False
awildaniawildani,glowcheck_r3c10m00x7594,1,False
awildaniawildani,glowcheck_r3c10m01x2927,1,False
awildaniawildani,glowcheck_r3c10m02x8990,1,False
awildaniawildani,glowcheck_r3c10m03x7520,1,False
awildaniawildani,glowcheck_r3c10m04x9521,1,False
awildaniawildani,glowcheck_r3c10m05x2485,1,False
axelhamdanmhdj,beautyfess_r3c05m00x6415,1,False
axelhamdanmhdj,beautyfess_r3c05m01x4347,1,False
axelhamdanmhdj,beautyfess_r3c05m02x6049,1,False
axelhamdanmhdj,beautyfess_r3c05m03x8357,1,False
axelhamdanmhdj,beautyfess_r3c05m04x3629,1,False
ayangnya_ayang02,kulitsehat_rp54793,1,False
ayism_,kulitsehat_rp54793,1,False
ayrudiya,cantik_ip9501,1,False
ayrudiya,glowhunter_ip1923,1,False
ayu15512,beautyaddict_ct10959,1,False
ayu15512,cantik_ct95823,1,False
ayu15512,skinclub_ct6649,1,False
ayudirayani_irwan,cantik_ip9501,1,False
ayul175,cantik_ip9501,1,False
ayul175,glowhunter_ip1923,1,False
ayusungkar13,glowhunter_ip8756,1,False
ayuyani107,beauty_ct89266,1,False
ayuyani107,cantik_ct99107,1,False
ayuyani107,glowhunter_ct64974,1,False
ayuyani107,glowingid_ct74353,1,False
ayuyani107,skinlover_ct27853,1,False
ayyu_26,beautyvibe_ct6553,1,False
ayyu_26,cantik_ct3821,1,False
ayyu_26,dearskin_ct1243,1,False
ayyu_26,skincare_ct8136,1,False
ayyu_26,skinlover_ct4123,1,False
ayyyyyyy,bestieku_ct70500,1,False
ayyyyyyy,skinclub_ct15395,1,False
ayyyyyyy,testireal_ct62779,1,False
azhl_042,glowhunter_ip4395,1,False
azizah.mungil,dearskin_ct58033,1,False
azizah.mungil,glowup_ct95907,1,False
azizah.mungil,skincare_ct87875,1,False
azizah3450zah,glowhunter_ip1923,1,False
azizequeen87,beautyaddict_rr41856,1,False
azka.max,beautyvibe_ct78952,1,False
azka.max,kulitcerah_ct29113,1,False
azka.max,reviewjujur_ct39243,1,False
azka.max,reviewjujur_ct55350,1,False
azka.max,reviewjujur_ct97003,1,False
azkha0o,cantik_ip9501,1,False
azkha0o,glowhunter_ip1923,1,False
azlaamena,cantik_ip9501,1,False
azurazura393,glowhunter_cp9145,1,False
azzakyumar,glowhunter_ip8756,1,False
baby_fata_ar10,skinbestie_ip9364,1,False
babyaa.asaa,bestieku_rr99428,1,False
babyyfiiii,cantik_ip9501,1,False
babyyfiiii,glowhunter_ip1923,1,False
badutmu.1311,cantik_ip9501,1,False
badutmu.1311,glowhunter_ip1923,1,False
baebycaramel,cantik_ip9501,1,False
baebycaramel,glowhunter_ip1923,1,False
baladocoklat,cantik_ip9501,1,False
barangb49u5,beautyaddict_ct10959,1,False
barangb49u5,cantik_ct95823,1,False
barangb49u5,skinclub_ct6649,1,False
bayiieee27,kulitsehat_rp54793,1,False
bbbyyybbyy10,beautyaddict_ct10959,1,False
bearbrandddberuangg,beautyvibe_rp82732,1,False
beauty_ct61338,dianwl2,1,False
beauty_ct61338,gaenz_kartu,1,False
beauty_ct61338,gongmuas_08,1,False
beauty_ct61338,ilasandriana,1,False
beauty_ct61338,puputpolanda,1,False
beauty_ct7151,kadri_hasra,1,False
beauty_ct8829,kadri_hasra,1,False
beauty_ct89266,beautyaddict_rr6598,1,False
beauty_ct89266,kulitsehat_rr692,1,False
beauty_ct89266,racun_rr5392,1,False
beauty_ct89266,skinbestie_ip5105,1,False
beauty_ip84,glowingid_ct18883,1,False
beauty_ip84,skinlover_ct23275,1,False
beauty_ip84,skintok_ct36635,1,False
beauty_ip84,skintok_ct98906,1,False
beauty_rp84557,cantik_ip9501,1,False
beauty_rp84557,glowhunter_ip1923,1,False
beauty_rr332,reviewjujur_ip2228,1,False
beautyaddict_ct10959,beautyvibe_rp38442,1,False
beautyaddict_ct10959,belvana.44,1,False
beautyaddict_ct10959,brownsugarrrrrrr14,1,False
beautyaddict_ct10959,budi.gunawan.jaya0,1,False
beautyaddict_ct10959,bun_yanie_8899,1,False
beautyaddict_ct10959,bundakireinalembayung,1,False
beautyaddict_ct10959,cakila220817,1,False
beautyaddict_ct10959,capiuuuw,1,False
beautyaddict_ct10959,cece.liya.2632,1,False
beautyaddict_ct10959,chocipi30,1,False
beautyaddict_ct10959,citraladumar,1,False
beautyaddict_ct10959,dellazg5,1,False
beautyaddict_ct10959,devia033,1,False
beautyaddict_ct10959,deviana_amir,1,False
beautyaddict_ct10959,dewiayu.n.k,1,False
beautyaddict_ct10959,dhila.93,1,False
beautyaddict_ct10959,dwijays,1,False
beautyaddict_ct10959,dyah.utari.angray,1,False
beautyaddict_ct10959,dyyy.ambarrrrr,1,False
beautyaddict_ct10959,elinamyesha1,1,False
beautyaddict_ct10959,elistafebrianti,1,False
beautyaddict_ct10959,emonn050,1,False
beautyaddict_ct10959,engkarkarlina170,1,False
beautyaddict_ct10959,evisetiani220,1,False
beautyaddict_ct10959,farah.diyanti,1,False
beautyaddict_ct10959,fenita07051996,1,False
beautyaddict_ct10959,fiaa.shlptra,1,False
beautyaddict_ct10959,fitriamuchtar84,1,False
beautyaddict_ct10959,fitrijeje28,1,False
beautyaddict_ct10959,fitry202,1,False
beautyaddict_ct10959,gantiiiiiiiinamaa,1,False
beautyaddict_ct10959,gmnigirls__,1,False
beautyaddict_ct10959,google.611,1,False
beautyaddict_ct10959,gtu_y_a,1,False
beautyaddict_ct10959,haluayha,1,False
beautyaddict_ct10959,hennyanggaraini_02,1,False
beautyaddict_ct10959,iam.tania99,1,False
beautyaddict_ct10959,ibukkersya,1,False
beautyaddict_ct10959,inata_19,1,False
beautyaddict_ct10959,indah2143309215,1,False
beautyaddict_ct10959,indriagustina_,1,False
beautyaddict_ct10959,irmabalqis8,1,False
beautyaddict_ct10959,istde,1,False
beautyaddict_ct10959,julianasimanjunta4,1,False
beautyaddict_ct10959,juww_yyg,1,False
beautyaddict_ct10959,kicuttbingut,1,False
beautyaddict_ct10959,lalaishakk,1,False
beautyaddict_ct10959,lelygingsul,1,False
beautyaddict_ct10959,leooooo_105,1,False
beautyaddict_ct10959,liaaskani21,1,False
beautyaddict_ct10959,liacitraaa_,1,False
beautyaddict_ct10959,liianrnsa,1,False
beautyaddict_ct10959,lilis_0395,1,False
beautyaddict_ct10959,lina_angler,1,False
beautyaddict_ct10959,ling4917,1,False
beautyaddict_ct10959,lis.ilaliyah,1,False
beautyaddict_ct10959,lisbetsimbolon0,1,False
beautyaddict_ct10959,lullavania,1,False
beautyaddict_ct10959,lyt_180,1,False
beautyaddict_ct10959,mamaduaanak09,1,False
beautyaddict_ct10959,manyulllllll,1,False
beautyaddict_ct10959,maylani.putri3,1,False
beautyaddict_ct10959,mbvee14,1,False
beautyaddict_ct10959,meeyheart,1,False
beautyaddict_ct10959,melisa1990_,1,False
beautyaddict_ct10959,mimiaaaaa_,1,False
beautyaddict_ct10959,mputt1910,1,False
beautyaddict_ct10959,mrthdwsftr,1,False
beautyaddict_ct10959,muhammad.fahmio,1,False
beautyaddict_ct10959,mustifaifa123,1,False
beautyaddict_ct10959,nabilark_,1,False
beautyaddict_ct10959,nailisbarka,1,False
beautyaddict_ct10959,naini_id,1,False
beautyaddict_ct10959,namasaya33330,1,False
beautyaddict_ct10959,nananizam9,1,False
beautyaddict_ct10959,narova_sinaga93,1,False
beautyaddict_ct10959,nasiyahnury,1,False
beautyaddict_ct10959,nellaanjani28,1,False
beautyaddict_ct10959,niiputttt,1,False
beautyaddict_ct10959,nm_teh,1,False
beautyaddict_ct10959,novitaindahsari100620,1,False
beautyaddict_ct10959,nufush_nizam,1,False
beautyaddict_ct10959,nunaaa_025,1,False
beautyaddict_ct10959,nurus_ss,1,False
beautyaddict_ct10959,nuuyaguyaa_,1,False
beautyaddict_ct10959,nuwaira43,1,False
beautyaddict_ct10959,oliefha_wedding,1,False
beautyaddict_ct10959,ollan129,1,False
beautyaddict_ct10959,pink_shop25,1,False
beautyaddict_ct10959,ptri0221_,1,False
beautyaddict_ct10959,putrisilviaaa5,1,False
beautyaddict_ct10959,qyserara,1,False
beautyaddict_ct10959,remlynxie,1,False
beautyaddict_ct10959,rendyamar1,1,False
beautyaddict_ct10959,renhyikszl0,1,False
beautyaddict_ct10959,reni14969,1,False
beautyaddict_ct10959,resty_ajee,1,False
beautyaddict_ct10959,ridwan.azmi,1,False
beautyaddict_ct10959,rifqi.mnarul.hidayat,1,False
beautyaddict_ct10959,rns.2701,1,False
beautyaddict_ct10959,rrrraa000,1,False
beautyaddict_ct10959,sayanada93,1,False
beautyaddict_ct10959,sayuniihp,1,False
beautyaddict_ct10959,secretgirlsssss_,1,False
beautyaddict_ct10959,selviaphril,1,False
beautyaddict_ct10959,septavia_gp,1,False
beautyaddict_ct10959,seratin_,1,False
beautyaddict_ct10959,si.kecil261,1,False
beautyaddict_ct10959,sinnnsyin27,1,False
beautyaddict_ct10959,siti.hajar.24,1,False
beautyaddict_ct10959,siti_mia01,1,False
beautyaddict_ct10959,sitiamal1,1,False
beautyaddict_ct10959,sitinurjanah85408,1,False
beautyaddict_ct10959,sofi.lestiyan,1,False
beautyaddict_ct10959,spillrekomendasiskincare,1,False
beautyaddict_ct10959,sptrn391,1,False
beautyaddict_ct10959,ssccciez12_,1,False
beautyaddict_ct10959,stehtawar_,1,False
beautyaddict_ct10959,stsarah049,1,False
beautyaddict_ct10959,styarini1,1,False
beautyaddict_ct10959,susanaby28,1,False
beautyaddict_ct10959,syakira_allshop1,1,False
beautyaddict_ct10959,syakiranuraprillia,1,False
beautyaddict_ct10959,syasa31_,1,False
beautyaddict_ct10959,syouu_7,1,False
beautyaddict_ct10959,taurus2396,1,False
beautyaddict_ct10959,tidakkadanama8,1,False
beautyaddict_ct10959,tinane238,1,False
beautyaddict_ct10959,tinatina2668,1,False
beautyaddict_ct10959,tjfrme_,1,False
beautyaddict_ct10959,tttaneea,1,False
beautyaddict_ct10959,ulmisakhiy,1,False
beautyaddict_ct10959,ummuyasirabdurrahman,1,False
beautyaddict_ct10959,umysyaffa1,1,False
beautyaddict_ct10959,unhyphrbsry260,1,False
beautyaddict_ct10959,urvaf.ni,1,False
beautyaddict_ct10959,user0903291808050423,1,False
beautyaddict_ct10959,utyuty148,1,False
beautyaddict_ct10959,uyhasarniati,1,False
beautyaddict_ct10959,varrrr__0,1,False
beautyaddict_ct10959,veraboven8,1,False
beautyaddict_ct10959,verstyaaa,1,False
beautyaddict_ct10959,vickyazara,1,False
beautyaddict_ct10959,violett11335,1,False
beautyaddict_ct10959,waodepuji4,1,False
beautyaddict_ct10959,widi.antoro6,1,False
beautyaddict_ct10959,wildn1402,1,False
beautyaddict_ct10959,windatika22,1,False
beautyaddict_ct10959,wiputtnaura1428,1,False
beautyaddict_ct10959,yannisa86,1,False
beautyaddict_ct10959,yenirahmawardani1,1,False
beautyaddict_ct10959,yenitadav,1,False
beautyaddict_ct10959,yuli_mutiaralombok,1,False
beautyaddict_ct10959,yulianaaa71,1,False
beautyaddict_ct10959,yulianisituru5701,1,False
beautyaddict_ct10959,yynprst,1,False
beautyaddict_ct10959,zizazaira,1,False
beautyaddict_ct10959,zodiaktaurus05,1,False
beautyaddict_ct2062,ceyutrik,1,False
beautyaddict_ct2062,nurdedi123,1,False
beautyaddict_ct2423,dra592,1,False
beautyaddict_ct2423,lovelielight_,1,False
beautyaddict_ct2423,neng.emarepiew,1,False
beautyaddict_ct2423,rahmaumaya_,1,False
beautyaddict_ct2423,redvellvet_17,1,False
beautyaddict_ct2423,saritayns,1,False
beautyaddict_ct2423,yuliaaaponika99,1,False
beautyaddict_ct4776,ceyutrik,1,False
beautyaddict_ct4776,nurdedi123,1,False
beautyaddict_ct75025,lilylindalilylind,1,False
beautyaddict_ct75025,nadialy_,1,False
beautyaddict_ct75025,sophiejosephie,1,False
beautyaddict_ct7716,kinantyputrimataratmadja,1,False
beautyaddict_ct7716,restymelinda,1,False
beautyaddict_ct8242,kadri_hasra,1,False
beautyaddict_ct95316,dianwl2,1,False
beautyaddict_ct95316,gaenz_kartu,1,False
beautyaddict_ct95316,gongmuas_08,1,False
beautyaddict_ct95316,ilasandriana,1,False
beautyaddict_ct95316,puputpolanda,1,False
beautyaddict_rr41856,bebyhansora,1,False
beautyaddict_rr41856,bidantari20_,1,False
beautyaddict_rr41856,bla.bla1122,1,False
beautyaddict_rr41856,cahayasuhairi11,1,False
beautyaddict_rr41856,calisaagelia_eliz,1,False
beautyaddict_rr41856,chici.87,1,False
beautyaddict_rr41856,chunkybar_93,1,False
beautyaddict_rr41856,cici_ragel93,1,False
beautyaddict_rr41856,cindipsr,1,False
beautyaddict_rr41856,civp05,1,False
beautyaddict_rr41856,dolafie_1901,1,False
beautyaddict_rr41856,dracin006,1,False
beautyaddict_rr41856,elisabrina80,1,False
beautyaddict_rr41856,elismayunita5,1,False
beautyaddict_rr41856,ennykusumast,1,False
beautyaddict_rr41856,gakbutngabb,1,False
beautyaddict_rr41856,glowup_ip6633,1,False
beautyaddict_rr41856,hahasriw,1,False
beautyaddict_rr41856,hasnimuhrin,1,False
beautyaddict_rr41856,hengky.cat_house_love,1,False
beautyaddict_rr41856,herryrizky12,1,False
beautyaddict_rr41856,ibbe.lnd,1,False
beautyaddict_rr41856,ikhaaprilyanti,1,False
beautyaddict_rr41856,komariah_saputra,1,False
beautyaddict_rr41856,kurniarobbani05,1,False
beautyaddict_rr41856,lessover,1,False
beautyaddict_rr41856,medin.store_,1,False
beautyaddict_rr41856,mira_g.r.c_ruru,1,False
beautyaddict_rr41856,mufidah944,1,False
beautyaddict_rr41856,muslimah2284,1,False
beautyaddict_rr41856,nitaaaa_369,1,False
beautyaddict_rr41856,nydiakunti8,1,False
beautyaddict_rr41856,onlyme0063,1,False
beautyaddict_rr41856,pisces.8__,1,False
beautyaddict_rr41856,pitakslengean,1,False
beautyaddict_rr41856,rambumura,1,False
beautyaddict_rr41856,rendiputra4182,1,False
beautyaddict_rr41856,ryantigrnng,1,False
beautyaddict_rr41856,shraluvvv,1,False
beautyaddict_rr41856,shulga_store,1,False
beautyaddict_rr41856,siapangaktau1,1,False
beautyaddict_rr41856,skinclub_cp7606,1,False
beautyaddict_rr41856,sutinisianaqpacu,1,False
beautyaddict_rr41856,tamatama484,1,False
beautyaddict_rr41856,the_boys3701,1,False
beautyaddict_rr41856,tyaseptya06,1,False
beautyaddict_rr41856,unknow.3091,1,False
beautyaddict_rr41856,user1897119594795,1,False
beautyaddict_rr41856,virgo25_geulis,1,False
beautyaddict_rr41856,yuyunneiro,1,False
beautyaddict_rr5865,reviewjujur_ip2228,1,False
beautyaddict_rr6598,cantik_ct99107,1,False
beautyaddict_rr6598,glowhunter_ct64974,1,False
beautyaddict_rr6598,glowingid_ct74353,1,False
beautyaddict_rr6598,skinlover_ct27853,1,False
beautyfess_r3c05m00x6415,davitawenda1717,1,False
beautyfess_r3c05m00x6415,dikasetiawati1,1,False
beautyfess_r3c05m01x4347,davitawenda1717,1,False
beautyfess_r3c05m01x4347,dikasetiawati1,1,False
beautyfess_r3c05m02x6049,davitawenda1717,1,False
beautyfess_r3c05m02x6049,dikasetiawati1,1,False
beautyfess_r3c05m03x8357,davitawenda1717,1,False
