source,target,co_temporal_weight
beautyvibe_ct8584,kulitsehat_ct1117,3
cantik_ct6290,glowhunter_ct4328,3
cantik_ct6290,kulitsehat_ct1117,3
testiaman_r3c02m00x9822,testiaman_r3c02m01x8585,3
kulitsehat_ct1117,kulitsehat_ct7039,3
beautyvibe_ct8584,kulitsehat_ct7039,3
glowhunter_ct4328,kulitsehat_ct7039,3
testiaman_r3c02m03x8993,testiaman_r3c02m04x8847,3
kulitsehat_ct1117,skinclub_ct7577,3
testiaman_r3c02m00x9822,testiaman_r3c02m04x8847,3
beautyvibe_ct8584,skinclub_ct7577,3
testiaman_r3c02m01x8585,testiaman_r3c02m04x8847,3
testiaman_r3c02m02x2716,testiaman_r3c02m04x8847,3
glowhunter_ct4328,skinclub_ct7577,3
cantik_ct6290,kulitsehat_ct7039,3
testiaman_r3c02m00x9822,testiaman_r3c02m03x8993,3
testiaman_r3c02m01x8585,testiaman_r3c02m03x8993,3
testiaman_r3c02m00x9822,testiaman_r3c02m02x2716,3
beautyvibe_ct8584,cantik_ct6290,3
testiaman_r3c02m02x2716,testiaman_r3c02m03x8993,3
testiaman_r3c02m01x8585,testiaman_r3c02m02x2716,3
glowhunter_ct4328,kulitsehat_ct1117,3
cantik_ct6290,skinclub_ct7577,3
kulitsehat_ct7039,skinclub_ct7577,3
beautyvibe_ct8584,glowhunter_ct4328,3
dearskin_ct6747,skinbestie_ct5848,3
bestieku_ct74574,skincare_ct78893,4
bestieku_ct74574,skintok_ct53509,4
cantik_ct3314,skinclub_ct4422,3
bestieku_ct74574,testireal_ct35011,4
beautyvibe_ct7323,dearskin_ct6747,3
skinbestie_ct5848,skinclub_ct4422,3
cantik_ct3314,skinbestie_ct5848,3
beautyvibe_ct7323,racun_ct1114,3
skintok_ct53509,testireal_ct35011,4
racun_ct1114,skinclub_ct4422,3
beautyvibe_ct7323,cantik_ct3314,3
beautyvibe_ct7323,skinclub_ct4422,3
racun_ct1114,skinbestie_ct5848,3
skincare_ct78893,skintok_ct53509,4
dearskin_ct6747,racun_ct1114,3
beautyvibe_ct7323,skinbestie_ct5848,3
skincare_ct78893,testireal_ct35011,4
cantik_ct3314,dearskin_ct6747,3
dearskin_ct6747,skinclub_ct4422,3
cantik_ct3314,racun_ct1114,3
reviewjujur_ct8615,skinbestie_ct9146,3
reviewjujur_ct5021,skinbestie_ct9146,3
skintok_ct36635,skintok_ct98906,5
skinlover_ct23275,skintok_ct98906,5
glowingid_ct18883,skinlover_ct23275,5
racun_ct2554,skincare_ct1100,3
glowingid_ct18883,skintok_ct36635,5
racun_ct2554,reviewjujur_ct5021,3
racun_ct2554,reviewjujur_ct8615,3
dearskin_ct58033,glowup_ct95907,8
glowingid_ct18883,skintok_ct98906,5
racun_ct2554,racun_ct5875,3
racun_ct5875,reviewjujur_ct8615,3
glowup_ct95907,skincare_ct87875,8
racun_ct5875,skincare_ct1100,3
skinlover_ct23275,skintok_ct36635,5
racun_ct5875,reviewjujur_ct5021,3
skinbestie_ct9146,skincare_ct1100,3
dearskin_ct58033,skincare_ct87875,8
racun_ct2554,skinbestie_ct9146,3
reviewjujur_ct5021,reviewjujur_ct8615,3
reviewjujur_ct8615,skincare_ct1100,3
reviewjujur_ct5021,skincare_ct1100,3
racun_ct5875,skinbestie_ct9146,3
beautyaddict_ct7716,skinclub_ct7669,3
glowup_ct2135,kulitglowing_ct6396,3
beautyaddict_ct7716,glowhunter_ct4367,3
glowhunter_ct4367,skinclub_ct9386,3
kulitglowing_ct6396,skinclub_ct9386,3
skinclub_ct7669,skinclub_ct9386,3
cantik_ct9210,reviewjujur_ct7045,3
glowup_ct2135,skinclub_ct7669,3
beautyvibe_ct5449,cantik_ct9210,3
beautyvibe_ct5449,skincare_ct1453,3
glowhunter_ct4367,glowup_ct2135,3
beautyaddict_ct7716,glowup_ct2135,3
beautyaddict_ct7716,skinclub_ct9386,3
glowhunter_ct4367,kulitglowing_ct6396,3
glowhunter_ct4367,skinclub_ct7669,3
kulitglowing_ct6396,skinclub_ct7669,3
reviewjujur_ct7045,skincare_ct1453,3
beautyvibe_ct5449,reviewjujur_ct7045,3
beautyaddict_ct7716,kulitglowing_ct6396,3
glowup_ct2135,skinclub_ct9386,3
cantik_ct9210,skincare_ct1453,3
glowingid_ct74353,skinlover_ct27853,3
cantik_ct99107,glowhunter_ct64974,3
racun_ct40815,reviewjujur_ct43520,6
cantik_ct99107,skinlover_ct27853,3
reviewjujur_ct43520,testireal_ct49360,6
glowhunter_ct64974,glowingid_ct74353,3
beauty_ct89266,cantik_ct99107,3
beautyvibe_ct13413,testireal_ct49360,6
beauty_ct89266,glowhunter_ct64974,3
beauty_ct89266,skinlover_ct27853,3
beautyvibe_ct13413,racun_ct40815,6
cantik_ct99107,glowingid_ct74353,3
beautyvibe_ct13413,reviewjujur_ct43520,6
glowhunter_ct64974,skinlover_ct27853,3
racun_ct40815,testireal_ct49360,6
beauty_ct89266,glowingid_ct74353,3
kulitglowing_ip1790,skinbestie_ip9364,3
dearskin_ct1358,reviewjujur_ct6118,3
glowhunter_ip8756,kulitglowing_ip1790,3
cantik_ip9501,skinbestie_ip9364,3
cantik_ip9501,glowhunter_ip8756,3
glowhunter_ip1923,kulitglowing_ip1790,3
glowhunter_ip1923,kulitglowing_ip334,3
kulitglowing_ip334,skinbestie_ip9364,3
kulitglowing_ip1790,kulitglowing_ip334,3
beautyaddict_ct2423,glowup_ct3809,3
glowup_ct3809,skinlover_ct8756,3
glowup_ct3809,reviewjujur_ct6118,3
beautyaddict_ct2423,dearskin_ct1358,3
cantik_ip9501,kulitglowing_ip1790,3
cantik_ip9501,kulitglowing_ip334,3
beautyaddict_ct2423,skinlover_ct8756,3
dearskin_ct1358,glowup_ct3809,3
beautyaddict_ct2423,reviewjujur_ct6118,3
reviewjujur_ct6118,skinlover_ct8756,3
glowhunter_ip8756,kulitglowing_ip334,3
glowhunter_ip8756,skinbestie_ip9364,3
cantik_ip9501,glowhunter_ip1923,4
glowhunter_ip1923,skinbestie_ip9364,3
dearskin_ct1358,skinlover_ct8756,3
glowhunter_ip1923,glowhunter_ip8756,3
bestieku_ct63780,reviewjujur_ct84556,3
racun_ct19392,reviewjujur_ct84556,3
kulitglowing_ct71939,racun_ct19392,3
glowhunter_ct68859,skinclub_ct998,3
beautyvibe_ct18973,skinclub_ct998,3
reviewjujur_ct84556,skinclub_ct998,3
bestieku_ct63780,skinclub_ct998,3
racun_ct19392,skinclub_ct998,3
glowhunter_ct68859,racun_ct19392,3
kulitglowing_ct71939,reviewjujur_ct84556,3
beautyvibe_ct18973,racun_ct19392,3
beautyvibe_ct18973,kulitglowing_ct71939,3
beautyvibe_ct18973,bestieku_ct63780,3
glowhunter_ct68859,kulitglowing_ct71939,3
bestieku_ct63780,racun_ct19392,3
beautyvibe_ct18973,glowhunter_ct68859,3
bestieku_ct63780,kulitglowing_ct71939,3
glowhunter_rr31985,testireal_rp21269,3
bestieku_ct63780,glowhunter_ct68859,3
kulitglowing_ct71939,skinclub_ct998,3
beautyvibe_ct18973,reviewjujur_ct84556,3
glowhunter_ct68859,reviewjujur_ct84556,3
glowup_ct8724,reviewjujur_ct33360,3
glowingid_ct69471,reviewjujur_ct33360,3
glowup_ct8724,reviewjujur_ct9800,3
glowingid_ct69471,reviewjujur_ct9800,3
reviewjujur_ct39243,reviewjujur_ct55350,8
beautyvibe_ct78952,reviewjujur_ct97003,8
reviewjujur_ct39243,reviewjujur_ct97003,8
reviewjujur_ct55350,reviewjujur_ct97003,8
kulitcerah_ct29113,reviewjujur_ct39243,8
beautyvibe_ct78952,reviewjujur_ct39243,8
glowingid_ct69471,glowup_ct8724,3
kulitcerah_ct29113,reviewjujur_ct55350,8
kulitcerah_ct29113,reviewjujur_ct97003,8
beautyvibe_ct78952,kulitcerah_ct29113,8
reviewjujur_ct33360,reviewjujur_ct9800,3
beautyvibe_ct78952,reviewjujur_ct55350,8
beauty_ct61338,glowingid_ct92516,7
kulitglowing_ct4137,racun_ct5624,3
beauty_ct61338,beautyaddict_ct95316,7
cantik_ct6414,skinlover_ct7606,3
racun_ct5624,skinlover_ct7606,3
cantik_ct6414,kulitglowing_ct4137,3
beautyaddict_ct95316,glowingid_ct92516,7
kulitglowing_ct4137,skinlover_ct7606,3
cantik_ct6414,racun_ct5624,3
cantik_ct95823,skinclub_ct6649,5
beautyaddict_ct2062,skinbestie_ct9276,3
beautyaddict_ct2062,racun_ct8621,3
kulitsehat_ct8443,skinbestie_ct9276,3
kulitsehat_ct8443,racun_ct8621,3
beautyaddict_ct2062,kulitsehat_ct8443,3
racun_ct2295,skinbestie_ct9276,3
beautyaddict_ct2062,beautyaddict_ct4776,3
beautyaddict_ct4776,skinbestie_ct9276,3
beautyaddict_ct4776,racun_ct8621,3
racun_ct8621,skinbestie_ct9276,3
beautyaddict_ct2062,racun_ct2295,3
beautyaddict_ct10959,cantik_ct95823,5
kulitsehat_ct8443,racun_ct2295,3
beautyaddict_ct4776,racun_ct2295,3
racun_ct2295,racun_ct8621,3
beautyaddict_ct10959,skinclub_ct6649,5
beautyaddict_ct4776,kulitsehat_ct8443,3
beautyvibe_ct9600,racun_ct61657,3
kulitglowing_ct49929,racun_ct61657,3
glowingid_ct11995,skincare_ct68797,3
glowingid_ct11995,kulitglowing_ct49929,3
glowup_ct93477,racun_ct61657,3
racun_ct61657,skincare_ct68797,3
beautyaddict_ct75025,skincare_ct68797,3
glowingid_ct11995,glowup_ct93477,3
beautyaddict_ct75025,beautyvibe_ct9600,3
beautyvibe_ct9600,skincare_ct68797,3
kulitglowing_ct49929,skincare_ct68797,3
glowingid_ct11995,racun_ct61657,3
beautyaddict_ct75025,kulitglowing_ct49929,3
beautyaddict_ct75025,glowingid_ct11995,3
beautyaddict_ct75025,glowup_ct93477,3
glowup_ct93477,skincare_ct68797,3
glowup_ct93477,kulitglowing_ct49929,3
beautyaddict_ct75025,racun_ct61657,3
beautyvibe_ct9600,kulitglowing_ct49929,3
beautyvibe_ct9600,glowingid_ct11995,3
beautyvibe_ct9600,glowup_ct93477,3
beautyfess_r3c05m03x8357,beautyfess_r3c05m04x3629,3
beautyfess_r3c05m01x4347,beautyfess_r3c05m04x3629,3
beautyfess_r3c05m02x6049,beautyfess_r3c05m03x8357,3
beautyfess_r3c05m00x6415,beautyfess_r3c05m02x6049,3
beautyfess_r3c05m00x6415,beautyfess_r3c05m03x8357,3
beautyfess_r3c05m01x4347,beautyfess_r3c05m02x6049,3
beautyfess_r3c05m01x4347,beautyfess_r3c05m03x8357,3
beautyfess_r3c05m00x6415,beautyfess_r3c05m01x4347,3
beautyfess_r3c05m02x6049,beautyfess_r3c05m04x3629,3
beautyfess_r3c05m00x6415,beautyfess_r3c05m04x3629,3
cantik_ct3821,skincare_ct8136,3
cantik_ct3821,skinlover_ct4123,3
cantik_ct3821,dearskin_ct1243,3
dearskin_ct1243,skincare_ct8136,3
dearskin_ct1243,skinlover_ct4123,3
beautyvibe_ct6553,skincare_ct8136,3
beautyvibe_ct6553,skinlover_ct4123,3
beautyvibe_ct6553,dearskin_ct1243,3
beautyvibe_ct6553,cantik_ct3821,3
skincare_ct8136,skinlover_ct4123,3
bestieku_ct63653,kulitcerah_ct92565,6
glowhunter_ct43630,kulitcerah_ct92565,6
beautyvibe_ct53672,bestieku_ct63653,6
bestieku_ct63653,glowhunter_ct43630,6
bestieku_ct63653,testireal_ct48546,6
kulitcerah_ct92565,testireal_ct48546,6
glowhunter_ct43630,testireal_ct48546,6
beautyvibe_ct53672,kulitcerah_ct92565,6
beautyvibe_ct53672,glowhunter_ct43630,6
beautyvibe_ct53672,testireal_ct48546,6
glowdiary_r3c03m01x2588,glowdiary_r3c03m03x1823,3
glowdiary_r3c03m00x2631,glowdiary_r3c03m05x9471,3
glowdiary_r3c03m02x1592,glowdiary_r3c03m04x6886,3
glowdiary_r3c03m01x2588,glowdiary_r3c03m04x6886,3
glowdiary_r3c03m01x2588,glowdiary_r3c03m02x1592,3
glowdiary_r3c03m03x1823,glowdiary_r3c03m04x6886,3
glowdiary_r3c03m00x2631,glowdiary_r3c03m03x1823,3
glowdiary_r3c03m02x1592,glowdiary_r3c03m05x9471,3
glowdiary_r3c03m00x2631,glowdiary_r3c03m01x2588,3
glowdiary_r3c03m00x2631,glowdiary_r3c03m04x6886,3
glowdiary_r3c03m00x2631,glowdiary_r3c03m02x1592,3
glowdiary_r3c03m01x2588,glowdiary_r3c03m05x9471,3
glowdiary_r3c03m03x1823,glowdiary_r3c03m05x9471,3
glowdiary_r3c03m04x6886,glowdiary_r3c03m05x9471,3
glowdiary_r3c03m02x1592,glowdiary_r3c03m03x1823,3
glowup_ct6488,kulitglowing_ct595,3
kulitglowing_ct595,skinclub_ct3535,3
glowup_ct3239,kulitglowing_ct595,3
racun_ct2082,skinclub_ct3535,3
kulitglowing_ct595,racun_ct2082,3
glowhunter_ct152,glowup_ct6488,3
glowhunter_ct152,racun_ct2082,3
glowhunter_ct152,skinclub_ct3535,3
glowup_ct6488,skinclub_ct3535,3
glowhunter_ct152,glowup_ct3239,3
glowup_ct6488,racun_ct2082,3
glowhunter_ct152,kulitglowing_ct595,3
glowup_ct3239,skinclub_ct3535,3
glowup_ct3239,glowup_ct6488,3
glowup_ct3239,racun_ct2082,3
bestieku_ct70500,skinclub_ct15395,4
bestieku_ct70500,testireal_ct62779,4
skinclub_ct15395,testireal_ct62779,4
glowcheck_r3c10m02x8990,glowcheck_r3c10m04x9521,3
glowcheck_r3c10m00x7594,glowcheck_r3c10m04x9521,3
glowcheck_r3c10m02x8990,glowcheck_r3c10m03x7520,3
glowcheck_r3c10m00x7594,glowcheck_r3c10m03x7520,3
glowcheck_r3c10m03x7520,glowcheck_r3c10m05x2485,3
glowcheck_r3c10m01x2927,glowcheck_r3c10m05x2485,3
glowcheck_r3c10m03x7520,glowcheck_r3c10m04x9521,3
glowcheck_r3c10m01x2927,glowcheck_r3c10m02x8990,3
glowcheck_r3c10m01x2927,glowcheck_r3c10m04x9521,3
glowcheck_r3c10m02x8990,glowcheck_r3c10m05x2485,3
glowcheck_r3c10m01x2927,glowcheck_r3c10m03x7520,3
glowcheck_r3c10m00x7594,glowcheck_r3c10m05x2485,3
glowcheck_r3c10m00x7594,glowcheck_r3c10m01x2927,3
glowcheck_r3c10m04x9521,glowcheck_r3c10m05x2485,3
glowcheck_r3c10m00x7594,glowcheck_r3c10m02x8990,3
beautyaddict_ct8242,skinclub_ct2318,3
beautyvibe_ct2527,skinclub_ct2318,3
skincare_ct7727,skinclub_ct2318,3
beauty_ct8829,beautyaddict_ct8242,3
beautyvibe_ct2527,skincare_ct7727,3
beautyaddict_ct8242,beautyvibe_ct2527,3
beauty_ct7151,skinclub_ct2318,3
beauty_ct7151,beauty_ct8829,3
beauty_ct7151,beautyvibe_ct2527,3
beautyaddict_ct8242,skincare_ct7727,3
beauty_ct7151,skincare_ct7727,3
beauty_ct7151,beautyaddict_ct8242,3
beauty_ct8829,skinclub_ct2318,3
beauty_ct8829,beautyvibe_ct2527,3
beauty_ct8829,skincare_ct7727,3
