source,target,co_conv_weight
kulitcerah_rp9486,kulitglowing_ct49929,3
kulitcerah_rr26372,kulitglowing_ct49929,3
kulitglowing_ct49929,racun_rp24880,3
kulitglowing_ip3422,kulitglowing_ip4767,4
kulitglowing_ip3422,kulitglowing_ip9832,4
kulitglowing_ip3422,kulitglowing_ip986,6
kulitglowing_ip3422,reviewjujur_ip2228,4
kulitglowing_ip3422,reviewjujur_ip3756,6
kulitglowing_ip3422,skinbestie_ip1027,4
kulitglowing_ip3422,skinbestie_ip5720,6
kulitglowing_ip3422,skincare_ip7443,4
kulitglowing_ip3422,skinclub_ip8942,4
kulitglowing_ip3422,skinlover_ip4667,4
kulitglowing_ip3422,skinlover_ip9681,6
kulitglowing_ip4767,kulitglowing_ip9832,8
kulitglowing_ip4767,kulitglowing_ip986,4
kulitglowing_ip4767,reviewjujur_ip2228,8
kulitglowing_ip4767,reviewjujur_ip3756,4
kulitglowing_ip4767,skinbestie_ip1027,8
kulitglowing_ip4767,skinbestie_ip5720,4
kulitglowing_ip4767,skincare_ip7443,8
kulitglowing_ip4767,skinclub_ip8942,8
kulitglowing_ip4767,skinlover_ip4667,8
kulitglowing_ip4767,skinlover_ip9681,4
kulitglowing_ip4767,skintok_ct62066,4
kulitglowing_ip4767,trullyre_,3
kulitglowing_ip4767,vidiaayuuu,4
kulitglowing_ip9832,kulitglowing_ip986,4
kulitglowing_ip9832,reviewjujur_ip2228,8
kulitglowing_ip9832,reviewjujur_ip3756,4
kulitglowing_ip9832,skinbestie_ip1027,8
kulitglowing_ip9832,skinbestie_ip5720,4
kulitglowing_ip9832,skincare_ip7443,8
kulitglowing_ip9832,skinclub_ip8942,8
kulitglowing_ip9832,skinlover_ip4667,8
kulitglowing_ip9832,skinlover_ip9681,4
kulitglowing_ip9832,skintok_ct62066,4
kulitglowing_ip9832,trullyre_,3
kulitglowing_ip9832,vidiaayuuu,4
kulitglowing_ip986,reviewjujur_ip2228,4
kulitglowing_ip986,reviewjujur_ip3756,6
kulitglowing_ip986,skinbestie_ip1027,4
kulitglowing_ip986,skinbestie_ip5720,6
kulitglowing_ip986,skincare_ip7443,4
kulitglowing_ip986,skinclub_ip8942,4
kulitglowing_ip986,skinlover_ip4667,4
kulitglowing_ip986,skinlover_ip9681,6
kulitsehat_rr32405,skinbestie_rp58099,4
reviewjujur_ip2228,reviewjujur_ip3756,4
reviewjujur_ip2228,skinbestie_ip1027,8
reviewjujur_ip2228,skinbestie_ip5720,4
reviewjujur_ip2228,skincare_ip7443,8
reviewjujur_ip2228,skinclub_ip8942,8
reviewjujur_ip2228,skinlover_ip4667,8
reviewjujur_ip2228,skinlover_ip9681,4
reviewjujur_ip2228,skintok_ct62066,4
reviewjujur_ip2228,trullyre_,3
reviewjujur_ip2228,vidiaayuuu,4
reviewjujur_ip3756,skinbestie_ip1027,4
reviewjujur_ip3756,skinbestie_ip5720,6
reviewjujur_ip3756,skincare_ip7443,4
reviewjujur_ip3756,skinclub_ip8942,4
reviewjujur_ip3756,skinlover_ip4667,4
reviewjujur_ip3756,skinlover_ip9681,6
skinbestie_ip1027,skinbestie_ip5720,4
skinbestie_ip1027,skincare_ip7443,8
skinbestie_ip1027,skinclub_ip8942,8
skinbestie_ip1027,skinlover_ip4667,8
skinbestie_ip1027,skinlover_ip9681,4
skinbestie_ip1027,skintok_ct62066,4
skinbestie_ip1027,trullyre_,3
skinbestie_ip1027,vidiaayuuu,4
skinbestie_ip5720,skincare_ip7443,4
skinbestie_ip5720,skinclub_ip8942,4
skinbestie_ip5720,skinlover_ip4667,4
skinbestie_ip5720,skinlover_ip9681,6
skincare_ip7443,skinclub_ip8942,8
skincare_ip7443,skinlover_ip4667,8
skincare_ip7443,skinlover_ip9681,4
skincare_ip7443,skintok_ct62066,4
skincare_ip7443,trullyre_,3
skincare_ip7443,vidiaayuuu,4
skinclub_ip8942,skinlover_ip4667,8
skinclub_ip8942,skinlover_ip9681,4
skinclub_ip8942,skintok_ct62066,4
skinclub_ip8942,trullyre_,3
skinclub_ip8942,vidiaayuuu,4
skinlover_ct47678,skintok_ct62066,4
skinlover_ip4667,skinlover_ip9681,4
skinlover_ip4667,skintok_ct62066,4
skinlover_ip4667,trullyre_,3
skinlover_ip4667,vidiaayuuu,4
skintok_ct62066,vidiaayuuu,3
trullyre_,vidiaayuuu,3
_4rinss,racun_ip3473,3
beauty_ct15443,beauty_ct22809,5
beauty_ct15443,beauty_ct94362,5
beauty_ct15443,beautyaddict_ct95803,5
beauty_ct15443,racun_ct45713,5
beauty_ct15443,skinlover_ct30407,5
beauty_ct15443,skintok_ct75378,5
beauty_ct22809,beauty_ct94362,5
beauty_ct22809,beautyaddict_ct95803,5
beauty_ct22809,racun_ct45713,5
beauty_ct22809,skinlover_ct30407,5
beauty_ct22809,skintok_ct75378,5
beauty_ct94362,beautyaddict_ct95803,5
beauty_ct94362,racun_ct45713,5
beauty_ct94362,skinlover_ct30407,5
beauty_ct94362,skintok_ct75378,5
beauty_rr27100,glowup_rp98113,5
beautyaddict_ct95803,racun_ct45713,5
beautyaddict_ct95803,skinlover_ct30407,5
beautyaddict_ct95803,skintok_ct75378,5
beautyaddict_rr42909,racun_ct7880,3
beautyaddict_rr42909,reviewjujur_ct9366,3
beautyaddict_rr42909,reviewjujur_ct9773,3
beautyaddict_rr42909,skinbestie_ct9114,3
beautyaddict_rr42909,skinclub_rr29031,3
beautyaddict_rr42909,skinlover_ct782,3
beautyvibe_ip1727,beautyvibe_ip3082,8
beautyvibe_ip1727,cantik_ip3598,5
beautyvibe_ip1727,gamis_rizka,3
beautyvibe_ip1727,glowhunter_ip6597,8
beautyvibe_ip1727,glowhunter_ip7986,5
beautyvibe_ip1727,glowup_ip5653,5
beautyvibe_ip1727,istii792,3
beautyvibe_ip1727,kulitglowing_ip8606,4
beautyvibe_ip1727,kulitglowing_ip9395,8
beautyvibe_ip1727,racun_ip2718,4
beautyvibe_ip1727,racun_ip3473,5
beautyvibe_ip1727,racun_ip4816,4
beautyvibe_ip1727,racun_ip6205,5
beautyvibe_ip1727,reviewjujur_ip204,8
beautyvibe_ip1727,reviewjujur_ip6999,8
beautyvibe_ip1727,reviewjujur_ip9901,4
beautyvibe_ip1727,skinbestie_ip5105,5
beautyvibe_ip1727,skinbestie_ip7689,4
beautyvibe_ip1727,skinclub_ip4711,5
beautyvibe_ip1727,skinlover_ip8042,8
beautyvibe_ip3082,cantik_ip3598,5
beautyvibe_ip3082,gamis_rizka,3
beautyvibe_ip3082,glowhunter_ip6597,8
beautyvibe_ip3082,glowhunter_ip7986,5
beautyvibe_ip3082,glowup_ip5653,5
beautyvibe_ip3082,istii792,3
beautyvibe_ip3082,kulitglowing_ip8606,4
beautyvibe_ip3082,kulitglowing_ip9395,8
beautyvibe_ip3082,racun_ip2718,4
beautyvibe_ip3082,racun_ip3473,5
beautyvibe_ip3082,racun_ip4816,4
beautyvibe_ip3082,racun_ip6205,5
beautyvibe_ip3082,reviewjujur_ip204,8
beautyvibe_ip3082,reviewjujur_ip6999,8
beautyvibe_ip3082,reviewjujur_ip9901,4
beautyvibe_ip3082,skinbestie_ip5105,5
beautyvibe_ip3082,skinbestie_ip7689,4
beautyvibe_ip3082,skinclub_ip4711,5
beautyvibe_ip3082,skinlover_ip8042,8
beautyvibe_rr22540,glowhunter_rp15009,6
beautyvibe_rr22540,skinlover_ct30407,3
beautyvibe_rr77631,kulitcerah_rp50006,3
cantik_ip3598,glowhunter_ip6597,5
cantik_ip3598,glowhunter_ip7986,8
cantik_ip3598,glowup_ip5653,8
cantik_ip3598,istii792,3
cantik_ip3598,kulitglowing_ip8606,3
cantik_ip3598,kulitglowing_ip9395,5
cantik_ip3598,racun_ip2718,3
cantik_ip3598,racun_ip3473,8
cantik_ip3598,racun_ip4816,3
cantik_ip3598,racun_ip6205,8
cantik_ip3598,reviewjujur_ip204,5
cantik_ip3598,reviewjujur_ip6999,5
cantik_ip3598,reviewjujur_ip9901,3
cantik_ip3598,skinbestie_ip5105,8
cantik_ip3598,skinbestie_ip7689,3
cantik_ip3598,skinclub_ip4711,8
cantik_ip3598,skinlover_ip8042,5
dearskin_rp81618,kulitglowing_rr52381,3
dearskin_rr87701,racun_rp41671,6
gamis_rizka,glowhunter_ip6597,3
gamis_rizka,kulitglowing_ip9395,3
gamis_rizka,reviewjujur_ip204,3
gamis_rizka,reviewjujur_ip6999,3
gamis_rizka,skinlover_ip8042,3
glowhunter_ip6597,glowhunter_ip7986,5
glowhunter_ip6597,glowup_ip5653,5
glowhunter_ip6597,istii792,3
glowhunter_ip6597,kulitglowing_ip8606,4
glowhunter_ip6597,kulitglowing_ip9395,8
glowhunter_ip6597,racun_ip2718,4
glowhunter_ip6597,racun_ip3473,5
glowhunter_ip6597,racun_ip4816,4
glowhunter_ip6597,racun_ip6205,5
glowhunter_ip6597,reviewjujur_ip204,8
glowhunter_ip6597,reviewjujur_ip6999,8
glowhunter_ip6597,reviewjujur_ip9901,4
glowhunter_ip6597,skinbestie_ip5105,5
glowhunter_ip6597,skinbestie_ip7689,4
glowhunter_ip6597,skinclub_ip4711,5
glowhunter_ip6597,skinlover_ip8042,8
glowhunter_ip7986,glowup_ip5653,8
glowhunter_ip7986,istii792,3
glowhunter_ip7986,kulitglowing_ip8606,3
glowhunter_ip7986,kulitglowing_ip9395,5
glowhunter_ip7986,racun_ip2718,3
glowhunter_ip7986,racun_ip3473,8
glowhunter_ip7986,racun_ip4816,3
glowhunter_ip7986,racun_ip6205,8
glowhunter_ip7986,reviewjujur_ip204,5
glowhunter_ip7986,reviewjujur_ip6999,5
glowhunter_ip7986,reviewjujur_ip9901,3
glowhunter_ip7986,skinbestie_ip5105,8
glowhunter_ip7986,skinbestie_ip7689,3
glowhunter_ip7986,skinclub_ip4711,8
glowhunter_ip7986,skinlover_ip8042,5
glowhunter_rp15009,skinlover_ct30407,3
glowup_ip5653,istii792,3
glowup_ip5653,kulitglowing_ip8606,3
glowup_ip5653,kulitglowing_ip9395,5
glowup_ip5653,racun_ip2718,3
glowup_ip5653,racun_ip3473,8
glowup_ip5653,racun_ip4816,3
glowup_ip5653,racun_ip6205,8
glowup_ip5653,reviewjujur_ip204,5
glowup_ip5653,reviewjujur_ip6999,5
glowup_ip5653,reviewjujur_ip9901,3
glowup_ip5653,skinbestie_ip5105,8
glowup_ip5653,skinbestie_ip7689,3
glowup_ip5653,skinclub_ip4711,8
glowup_ip5653,skinlover_ip8042,5
istii792,kulitglowing_ip8606,3
istii792,kulitglowing_ip9395,3
istii792,racun_ip2718,3
istii792,racun_ip3473,3
istii792,racun_ip4816,3
istii792,racun_ip6205,3
istii792,reviewjujur_ip204,3
istii792,reviewjujur_ip6999,3
istii792,reviewjujur_ip9901,3
istii792,skinbestie_ip5105,3
istii792,skinbestie_ip7689,3
istii792,skinclub_ip4711,3
istii792,skinlover_ip8042,3
kulitglowing_ip8606,kulitglowing_ip9395,4
kulitglowing_ip8606,racun_ip2718,4
kulitglowing_ip8606,racun_ip3473,3
kulitglowing_ip8606,racun_ip4816,4
kulitglowing_ip8606,racun_ip6205,3
kulitglowing_ip8606,reviewjujur_ip204,4
kulitglowing_ip8606,reviewjujur_ip6999,4
kulitglowing_ip8606,reviewjujur_ip9901,4
kulitglowing_ip8606,skinbestie_ip5105,3
kulitglowing_ip8606,skinbestie_ip7689,4
kulitglowing_ip8606,skinclub_ip4711,3
kulitglowing_ip8606,skinlover_ip8042,4
kulitglowing_ip9395,racun_ip2718,4
kulitglowing_ip9395,racun_ip3473,5
kulitglowing_ip9395,racun_ip4816,4
kulitglowing_ip9395,racun_ip6205,5
kulitglowing_ip9395,reviewjujur_ip204,8
kulitglowing_ip9395,reviewjujur_ip6999,8
kulitglowing_ip9395,reviewjujur_ip9901,4
kulitglowing_ip9395,skinbestie_ip5105,5
kulitglowing_ip9395,skinbestie_ip7689,4
kulitglowing_ip9395,skinclub_ip4711,5
kulitglowing_ip9395,skinlover_ip8042,8
racun_ct45713,skinlover_ct30407,5
racun_ct45713,skintok_ct75378,5
racun_ct7880,reviewjujur_ct9366,3
racun_ct7880,reviewjujur_ct9773,3
racun_ct7880,skinbestie_ct9114,3
racun_ct7880,skinclub_rr29031,3
racun_ct7880,skinlover_ct782,3
racun_ip2718,racun_ip3473,3
racun_ip2718,racun_ip4816,4
racun_ip2718,racun_ip6205,3
racun_ip2718,reviewjujur_ip204,4
racun_ip2718,reviewjujur_ip6999,4
racun_ip2718,reviewjujur_ip9901,4
racun_ip2718,skinbestie_ip5105,3
racun_ip2718,skinbestie_ip7689,4
racun_ip2718,skinclub_ip4711,3
racun_ip2718,skinlover_ip8042,4
racun_ip3473,racun_ip4816,3
racun_ip3473,racun_ip6205,8
racun_ip3473,reviewjujur_ip204,5
racun_ip3473,reviewjujur_ip6999,5
racun_ip3473,reviewjujur_ip9901,3
racun_ip3473,skinbestie_ip5105,8
racun_ip3473,skinbestie_ip7689,3
racun_ip3473,skinclub_ip4711,8
racun_ip3473,skinlover_ct30407,4
racun_ip3473,skinlover_ip8042,5
racun_ip4816,racun_ip6205,3
racun_ip4816,reviewjujur_ip204,4
racun_ip4816,reviewjujur_ip6999,4
racun_ip4816,reviewjujur_ip9901,4
racun_ip4816,skinbestie_ip5105,3
racun_ip4816,skinbestie_ip7689,4
racun_ip4816,skinclub_ip4711,3
racun_ip4816,skinlover_ip8042,4
racun_ip6205,reviewjujur_ip204,5
racun_ip6205,reviewjujur_ip6999,5
racun_ip6205,reviewjujur_ip9901,3
racun_ip6205,skinbestie_ip5105,8
racun_ip6205,skinbestie_ip7689,3
racun_ip6205,skinclub_ip4711,8
racun_ip6205,skinlover_ip8042,5
reviewjujur_ct9366,reviewjujur_ct9773,3
reviewjujur_ct9366,skinbestie_ct9114,3
reviewjujur_ct9366,skinclub_rr29031,3
reviewjujur_ct9366,skinlover_ct782,3
reviewjujur_ct9773,skinbestie_ct9114,3
reviewjujur_ct9773,skinclub_rr29031,3
reviewjujur_ct9773,skinlover_ct782,3
reviewjujur_ip204,reviewjujur_ip6999,8
reviewjujur_ip204,reviewjujur_ip9901,4
reviewjujur_ip204,skinbestie_ip5105,5
reviewjujur_ip204,skinbestie_ip7689,4
reviewjujur_ip204,skinclub_ip4711,5
reviewjujur_ip204,skinlover_ip8042,8
reviewjujur_ip6999,reviewjujur_ip9901,4
reviewjujur_ip6999,skinbestie_ip5105,5
reviewjujur_ip6999,skinbestie_ip7689,4
reviewjujur_ip6999,skinclub_ip4711,5
reviewjujur_ip6999,skinlover_ip8042,8
reviewjujur_ip9901,skinbestie_ip5105,3
reviewjujur_ip9901,skinbestie_ip7689,4
reviewjujur_ip9901,skinclub_ip4711,3
reviewjujur_ip9901,skinlover_ip8042,4
reviewjujur_rp85738,skinlover_rr9988,3
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m01x4727,3
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m02x6779,3
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m03x3704,3
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m04x5100,3
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m02x6779,3
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m03x3704,3
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m04x5100,3
reviewpedas_r3c09m02x6779,reviewpedas_r3c09m03x3704,3
reviewpedas_r3c09m02x6779,reviewpedas_r3c09m04x5100,3
reviewpedas_r3c09m03x3704,reviewpedas_r3c09m04x5100,3
skinbestie_ct9114,skinclub_rr29031,3
skinbestie_ct9114,skinlover_ct782,3
skinbestie_ip5105,skinbestie_ip7689,3
skinbestie_ip5105,skinclub_ip4711,8
skinbestie_ip5105,skinlover_ip8042,5
skinbestie_ip7689,skinclub_ip4711,3
skinbestie_ip7689,skinlover_ip8042,4
skincare_cp8043,skinlover_ct30407,3
skinclub_ip4711,skinlover_ip8042,5
skinclub_rr29031,skinlover_ct782,3
skinlover_ct30407,skintok_ct75378,5
beautyaddict_rp79642,beautyaddict_rr30107,7
beautyaddict_rp79642,beautyvibe_rp28490,3
beautyaddict_rp79642,cantik_rp21679,3
beautyaddict_rp79642,kulitcerah_rr27261,3
beautyaddict_rp79642,kulitsehat_rp19365,3
beautyaddict_rp79642,racun_ip3473,3
beautyaddict_rp79642,skinclub_rr21892,3
beautyaddict_rp79642,skinlover_rr6111,3
beautyaddict_rr30107,beautyvibe_rp28490,3
beautyaddict_rr30107,cantik_rp21679,3
beautyaddict_rr30107,kulitcerah_rr27261,3
beautyaddict_rr30107,kulitsehat_rp19365,3
beautyaddict_rr30107,racun_ip3473,3
beautyaddict_rr30107,skinclub_rr21892,3
beautyaddict_rr30107,skinlover_rr6111,3
beautyvibe_ct8584,beautyvibe_ip9378,3
beautyvibe_ct8584,cantik_ct6290,3
beautyvibe_ct8584,glowhunter_ct4328,3
beautyvibe_ct8584,kulitsehat_ct1117,3
beautyvibe_ct8584,kulitsehat_ct7039,3
beautyvibe_ct8584,skinclub_ct7577,3
beautyvibe_ip9378,beautyvibe_rp54003,3
beautyvibe_ip9378,cantik_ct6290,3
beautyvibe_ip9378,dearskin_cp461,3
beautyvibe_ip9378,glowhunter_ct4328,4
beautyvibe_ip9378,kulitsehat_cp1255,3
beautyvibe_ip9378,kulitsehat_ct1117,3
beautyvibe_ip9378,kulitsehat_ct7039,3
beautyvibe_ip9378,racun_ip3473,3
beautyvibe_ip9378,skinbestie_rr24258,3
beautyvibe_ip9378,skinclub_ct7577,3
beautyvibe_ip9378,skintok_ct62066,3
beautyvibe_rp28490,racun_ip3473,3
beautyvibe_rp28490,skinclub_rr21892,5
beautyvibe_rp28490,skintok_ct62066,3
beautyvibe_rp54003,dearskin_cp461,3
beautyvibe_rp54003,skinbestie_rr24258,5
cantik_ct6290,glowhunter_ct4328,3
cantik_ct6290,kulitsehat_ct1117,3
cantik_ct6290,kulitsehat_ct7039,3
cantik_ct6290,skinclub_ct7577,3
cantik_ip3598,glowhunter_ip9119,4
cantik_ip3598,kulitglowing_ip4767,4
cantik_ip3598,kulitglowing_ip9832,4
cantik_ip3598,missglow2219,3
cantik_ip3598,reviewjujur_ip2228,4
cantik_ip3598,skinbestie_ip1027,4
cantik_ip3598,skincare_ip7443,4
cantik_ip3598,skinclub_ip8942,4
cantik_ip3598,skinlover_ip4667,4
cantik_ip3598,skintok_ct62066,3
cantik_rp21679,kulitcerah_rr27261,6
cantik_rp21679,kulitcerah_rr60592,3
cantik_rp21679,racun_rp50351,3
dearskin_cp461,skinbestie_rr24258,3
dearskin_rp86513,kulitsehat_cp1255,5
glowhunter_ct4328,kulitsehat_cp1255,3
glowhunter_ct4328,kulitsehat_ct1117,3
glowhunter_ct4328,kulitsehat_ct7039,3
glowhunter_ct4328,skinclub_ct7577,3
glowhunter_ip7986,glowhunter_ip9119,4
glowhunter_ip7986,kulitglowing_ip4767,4
glowhunter_ip7986,kulitglowing_ip9832,4
glowhunter_ip7986,missglow2219,3
glowhunter_ip7986,reviewjujur_ip2228,4
glowhunter_ip7986,skinbestie_ip1027,4
glowhunter_ip7986,skincare_ip7443,4
glowhunter_ip7986,skinclub_ip8942,4
glowhunter_ip7986,skinlover_ip4667,4
glowhunter_ip7986,skintok_ct62066,3
glowhunter_ip9119,glowup_ip5653,4
glowhunter_ip9119,racun_ip3473,4
glowhunter_ip9119,racun_ip6205,4
glowhunter_ip9119,skinbestie_ip5105,4
glowhunter_ip9119,skinclub_ip4711,4
glowup_cp2101,kulitcerah_rr60592,3
glowup_cp2101,racun_rp50351,3
glowup_ip5653,kulitglowing_ip4767,4
glowup_ip5653,kulitglowing_ip9832,4
glowup_ip5653,missglow2219,3
glowup_ip5653,reviewjujur_ip2228,4
glowup_ip5653,skinbestie_ip1027,4
glowup_ip5653,skincare_ip7443,4
glowup_ip5653,skinclub_ip8942,4
glowup_ip5653,skinlover_ip4667,4
glowup_ip5653,skintok_ct62066,3
kulitcerah_rr27261,kulitcerah_rr60592,3
kulitcerah_rr27261,racun_rp50351,3
kulitcerah_rr60592,racun_rp50351,5
kulitglowing_ip4767,racun_ip3473,4
kulitglowing_ip4767,racun_ip6205,4
kulitglowing_ip4767,skinbestie_ip5105,4
kulitglowing_ip4767,skinclub_ip4711,4
kulitglowing_ip9832,racun_ip3473,4
kulitglowing_ip9832,racun_ip6205,4
kulitglowing_ip9832,skinbestie_ip5105,4
kulitglowing_ip9832,skinclub_ip4711,4
kulitsehat_ct1117,kulitsehat_ct7039,3
kulitsehat_ct1117,skinclub_ct7577,3
kulitsehat_ct7039,skinclub_ct7577,3
kulitsehat_rp19365,skinlover_rr6111,5
missglow2219,racun_ip3473,3
missglow2219,racun_ip6205,3
missglow2219,skinbestie_ip5105,3
missglow2219,skinclub_ip4711,3
racun_ip3473,reviewjujur_ip2228,4
racun_ip3473,skinbestie_ip1027,4
racun_ip3473,skincare_ip7443,4
racun_ip3473,skinclub_ip8942,4
racun_ip3473,skinclub_rr21892,3
racun_ip3473,skinlover_ip4667,4
racun_ip3473,skintok_ct62066,4
racun_ip6205,reviewjujur_ip2228,4
racun_ip6205,skinbestie_ip1027,4
racun_ip6205,skincare_ip7443,4
racun_ip6205,skinclub_ip8942,4
racun_ip6205,skinlover_ip4667,4
racun_ip6205,skintok_ct62066,3
reviewjujur_ip2228,skinbestie_ip5105,4
reviewjujur_ip2228,skinclub_ip4711,4
skinbestie_ip1027,skinbestie_ip5105,4
skinbestie_ip1027,skinclub_ip4711,4
skinbestie_ip5105,skincare_ip7443,4
skinbestie_ip5105,skinclub_ip8942,4
skinbestie_ip5105,skinlover_ip4667,4
skinbestie_ip5105,skintok_ct62066,3
skincare_ip7443,skinclub_ip4711,4
skinclub_cp2203,skinclub_rr85756,4
skinclub_ip4711,skinclub_ip8942,4
skinclub_ip4711,skinlover_ip4667,4
skinclub_ip4711,skintok_ct62066,3
skinclub_rr21892,skintok_ct62066,3
testiaman_r3c02m00x9822,testiaman_r3c02m01x8585,3
