id,label,degree,weighted_degree,betweenness,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,dominant_sentiment,positive_ratio,neutral_ratio,negative_ratio,evaluable_coverage,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_validation_status,goal_method,effective_sample_size
kulitglowing_ip334,kulitglowing_ip334,8,8.535714285714286,0.00018836565096952908,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Neutral,0.4166666666666667,0.4583333333333333,0.125,1.0,Mixed Goals,Assigned,Low,0.04166666666666663,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,42.28269577026367
kulitglowing_ip1790,kulitglowing_ip1790,8,8.535714285714286,0.0004357745962839807,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Neutral,0.4166666666666667,0.4583333333333333,0.125,1.0,Mixed Goals,Assigned,Low,0.04166666666666663,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,42.28269577026367
glowhunter_ip1923,glowhunter_ip1923,7,8.125,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Neutral,0.4166666666666667,0.4583333333333333,0.125,1.0,Mixed Goals,Assigned,Low,0.04166666666666663,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,42.28269577026367
glowhunter_ip8756,glowhunter_ip8756,7,8.0,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Neutral,0.4166666666666667,0.4583333333333333,0.125,1.0,Mixed Goals,Assigned,Low,0.04166666666666663,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,42.28269577026367
skinbestie_ip9364,skinbestie_ip9364,7,8.0,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,Neutral,0.4166666666666667,0.4583333333333333,0.125,1.0,Mixed Goals,Assigned,Low,0.04166666666666663,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,42.28269577026367
glowingid_rr53578,glowingid_rr53578,9,6.839285714285714,0.007286040224493308,62,Maryame,Mixed_3plus_Brands,Maryame + Daviena + The Originote,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
kulitglowing_ct49929,kulitglowing_ct49929,7,6.375,0.00015265989041795503,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,Neutral,0.32432432432432434,0.6216216216216216,0.05405405405405406,1.0,Neutral Engagement,Assigned,High,0.29729729729729726,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,32.57597351074219
glowhunter_ct43630,glowhunter_ct43630,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,Neutral,0.23809523809523808,0.7142857142857143,0.047619047619047616,1.0,Neutral Engagement,Assigned,High,0.4761904761904762,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,18.983739852905273
kulitcerah_ct92565,kulitcerah_ct92565,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,Neutral,0.23809523809523808,0.7142857142857143,0.047619047619047616,1.0,Neutral Engagement,Assigned,High,0.4761904761904762,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,18.983739852905273
bestieku_ct63653,bestieku_ct63653,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,Neutral,0.23809523809523808,0.7142857142857143,0.047619047619047616,1.0,Neutral Engagement,Assigned,High,0.4761904761904762,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,18.983739852905273
beautyvibe_ct53672,beautyvibe_ct53672,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,Neutral,0.23809523809523808,0.7142857142857143,0.047619047619047616,1.0,Neutral Engagement,Assigned,High,0.4761904761904762,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,18.983739852905273
testireal_ct48546,testireal_ct48546,4,6.0,0.0,46,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,Neutral,0.23809523809523808,0.7142857142857143,0.047619047619047616,1.0,Neutral Engagement,Assigned,High,0.4761904761904762,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,18.983739852905273
glowup_ct95907,glowup_ct95907,4,5.571428571428571,0.0,20,Daviena,Daviena,Daviena + Maryame,Medium,Low,Neutral,0.375,0.375,0.25,1.0,Polarized / Contested,Assigned,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,19.94406509399414
glowdiary_r3c03m00x2631,glowdiary_r3c03m00x2631,5,5.178571428571428,0.0,113,Maryame,Maryame,Maryame,High,Medium,Positive,1.0,0.0,0.0,1.0,Promotional / Supportive,Assigned,High,1.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,26.667678833007812
glowcheck_r3c10m00x7594,glowcheck_r3c10m00x7594,5,5.178571428571428,0.0,112,Maryame,Maryame,Maryame,High,Medium,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
skinlover_ct23275,skinlover_ct23275,4,5.089285714285714,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
skincare_ct87875,skincare_ct87875,4,5.0,1.942944059864882e-05,20,Daviena,Daviena,Daviena + Maryame,Medium,Low,Neutral,0.375,0.375,0.25,1.0,Polarized / Contested,Assigned,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,19.94406509399414
dearskin_ct58033,dearskin_ct58033,4,5.0,1.942944059864882e-05,20,Daviena,Daviena,Daviena + Maryame,Medium,Low,Neutral,0.375,0.375,0.25,1.0,Polarized / Contested,Assigned,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,19.94406509399414
skinbestie_ct9114,skinbestie_ct9114,7,4.875,0.00011657664359189293,184,The Originote,The Originote,The Originote,High,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m00x8166,5,4.553571428571429,0.0,99,The Originote,The Originote,The Originote,High,Medium,Positive,1.0,0.0,0.0,1.0,Promotional / Supportive,Assigned,High,1.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,26.472227096557617
skincare_ct68797,skincare_ct68797,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,Neutral,0.32432432432432434,0.6216216216216216,0.05405405405405406,1.0,Neutral Engagement,Assigned,High,0.29729729729729726,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,32.57597351074219
beautyvibe_ct9600,beautyvibe_ct9600,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,Neutral,0.32432432432432434,0.6216216216216216,0.05405405405405406,1.0,Neutral Engagement,Assigned,High,0.29729729729729726,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,32.57597351074219
beautyvibe_ct13413,beautyvibe_ct13413,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
racun_ct40815,racun_ct40815,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
beautyaddict_ct75025,beautyaddict_ct75025,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,Neutral,0.32432432432432434,0.6216216216216216,0.05405405405405406,1.0,Neutral Engagement,Assigned,High,0.29729729729729726,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,32.57597351074219
racun_ct61657,racun_ct61657,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,Neutral,0.32432432432432434,0.6216216216216216,0.05405405405405406,1.0,Neutral Engagement,Assigned,High,0.29729729729729726,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,32.57597351074219
testireal_ct49360,testireal_ct49360,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
beautyvibe_ct18973,beautyvibe_ct18973,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
bestieku_ct63780,bestieku_ct63780,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
reviewjujur_ct43520,reviewjujur_ct43520,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
glowhunter_ct68859,glowhunter_ct68859,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
kulitglowing_ct71939,kulitglowing_ct71939,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
racun_ct19392,racun_ct19392,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
reviewjujur_ct84556,reviewjujur_ct84556,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
skinclub_ct998,skinclub_ct998,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
glowingid_ct11995,glowingid_ct11995,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,Neutral,0.32432432432432434,0.6216216216216216,0.05405405405405406,1.0,Neutral Engagement,Assigned,High,0.29729729729729726,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,32.57597351074219
glowup_ct93477,glowup_ct93477,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,Neutral,0.32432432432432434,0.6216216216216216,0.05405405405405406,1.0,Neutral Engagement,Assigned,High,0.29729729729729726,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,32.57597351074219
skintok_ct98906,skintok_ct98906,4,4.375,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
skintok_ct36635,skintok_ct36635,4,4.375,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
glowingid_ct18883,glowingid_ct18883,4,4.375,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,No evaluable sentiment,0.0,0.0,0.0,,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,0.0
dearskin_ct6747,dearskin_ct6747,6,4.285714285714286,1.1102537484942184e-05,48,Maryame,Maryame,Maryame,High,Low,Neutral,0.3,0.6333333333333333,0.06666666666666667,1.0,Neutral Engagement,Assigned,High,0.3333333333333333,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,26.651647567749023
racun_ct1114,racun_ct1114,6,4.285714285714286,1.1102537484942184e-05,48,Maryame,Maryame,Maryame,High,Low,Neutral,0.3,0.6333333333333333,0.06666666666666667,1.0,Neutral Engagement,Assigned,High,0.3333333333333333,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,26.651647567749023
skinbestie_ct9146,skinbestie_ct9146,6,4.285714285714286,2.2205074969884367e-05,183,Not identified,Not identified,,None,Low,Positive,0.4666666666666667,0.4,0.13333333333333333,1.0,Mixed Goals,Assigned,Low,0.06666666666666665,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,13.362443923950195
skinclub_ct2318,skinclub_ct2318,6,4.285714285714286,2.4980709341119915e-05,2,Maryame,Maryame,Maryame,High,Low,Neutral,0.3333333333333333,0.5,0.16666666666666666,1.0,Neutral Engagement,Assigned,Medium,0.16666666666666669,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,15.037775993347168
