Id,Label,actor_type_primary,network_position,is_hcc_member,community,individual_subtype,is_video_creator,degree,weighted_degree,betweenness,n_comments,target_brand_primary,target_brand_label,target_scope,dominant_sentiment_x,account_goal_orientation,account_goal_confidence,exposure_level,hcc_association_status,strong_association_score,contextual_association_score,brand_label_auto,is_lcn_member,is_verified_registry_actor,username_norm,dominant_sentiment_y,positive_ratio,neutral_ratio,negative_ratio,sentiment_v2_coverage,evaluable_comments,sentiment_v2_validation_status
glowhunter_ip4395,glowhunter_ip4395,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False,glowhunter_ip4395,Neutral,0.0,0.8333333333333334,0.16666666666666666,0.8571428571428571,6.0,FINAL_MODEL_VALIDATED
skinlover_ip4018,skinlover_ip4018,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False,skinlover_ip4018,Neutral,0.14285714285714285,0.7142857142857143,0.14285714285714285,1.0,7.0,FINAL_MODEL_VALIDATED
glowhunter_ip2869,glowhunter_ip2869,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False,glowhunter_ip2869,Neutral,0.0,0.8571428571428571,0.14285714285714285,1.0,7.0,FINAL_MODEL_VALIDATED
beautyvibe_ct78952,beautyvibe_ct78952,Community Actor,HCC,True,52,,False,5,9.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,Daviena,True,False,beautyvibe_ct78952,Neutral,0.16666666666666666,0.8333333333333334,0.0,0.75,6.0,FINAL_MODEL_VALIDATED
skinbestie_ip9676,skinbestie_ip9676,Mass Actor,LCN Non-HCC,False,54,,False,16,9.821428571428571,0.0001386957238039,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False,skinbestie_ip9676,Neutral,0.2,0.8,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
skinlover_ct30407,skinlover_ct30407,Mass Actor,LCN Non-HCC,False,63,,False,9,9.821428571428571,0.0016976356593602,9.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False,skinlover_ct30407,Neutral,0.0,0.8,0.2,1.0,5.0,FINAL_MODEL_VALIDATED
skinbestie_ip5720,skinbestie_ip5720,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714286,0.0004217556053412,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False,skinbestie_ip5720,Neutral,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,6.0,FINAL_MODEL_VALIDATED
kulitglowing_ip3422,kulitglowing_ip3422,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714285,0.0004217556053412,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False,kulitglowing_ip3422,Neutral,0.0,1.0,0.0,1.0,6.0,FINAL_MODEL_VALIDATED
kulitglowing_ip986,kulitglowing_ip986,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714285,0.0001721033024941,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False,kulitglowing_ip986,Neutral,0.0,0.8333333333333334,0.16666666666666666,1.0,6.0,FINAL_MODEL_VALIDATED
beauty_ip5786,beauty_ip5786,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714285,0.0004217556053412,6.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False,beauty_ip5786,Neutral,0.0,0.6666666666666666,0.3333333333333333,1.0,6.0,FINAL_MODEL_VALIDATED
beautyaddict_ip9987,beautyaddict_ip9987,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False,beautyaddict_ip9987,Neutral,0.0,0.8333333333333334,0.16666666666666666,1.0,6.0,FINAL_MODEL_VALIDATED
cantik_ip9223,cantik_ip9223,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Mixed,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,22.0,Non-HCC,True,False,cantik_ip9223,Neutral,0.0,0.8333333333333334,0.16666666666666666,1.0,6.0,FINAL_MODEL_VALIDATED
reviewjujur_ip3756,reviewjujur_ip3756,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False,reviewjujur_ip3756,Neutral,0.0,0.8333333333333334,0.16666666666666666,1.0,6.0,FINAL_MODEL_VALIDATED
skinlover_ip9681,skinlover_ip9681,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False,skinlover_ip9681,Neutral,0.0,1.0,0.0,1.0,6.0,FINAL_MODEL_VALIDATED
reviewjujur_ct39243,reviewjujur_ct39243,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Daviena,True,False,reviewjujur_ct39243,Neutral,0.25,0.625,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
reviewjujur_ct55350,reviewjujur_ct55350,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Daviena,True,False,reviewjujur_ct55350,Neutral,0.125,0.625,0.25,1.0,8.0,FINAL_MODEL_VALIDATED
reviewjujur_ct97003,reviewjujur_ct97003,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Daviena,True,False,reviewjujur_ct97003,Neutral,0.0,0.625,0.375,1.0,8.0,FINAL_MODEL_VALIDATED
kulitcerah_ct29113,kulitcerah_ct29113,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Negative,Mixed Goals,Low,,,,,Daviena,True,False,kulitcerah_ct29113,Neutral,0.125,0.875,0.0,1.0,8.0,FINAL_MODEL_VALIDATED
kulitglowing_ip7028,kulitglowing_ip7028,Community Actor,HCC,True,54,,False,14,8.875,0.0,5.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False,kulitglowing_ip7028,Neutral,0.0,0.8,0.2,1.0,5.0,FINAL_MODEL_VALIDATED
beautyvibe_ip6117,beautyvibe_ip6117,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False,beautyvibe_ip6117,Neutral,0.2,0.8,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
reviewjujur_ip6156,reviewjujur_ip6156,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,Azarine,Azarine,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Temporal Association,Unique Temporal Association,2.0,23.0,Non-HCC,True,False,reviewjujur_ip6156,Neutral,0.0,0.8,0.2,1.0,5.0,FINAL_MODEL_VALIDATED
beautyvibe_ip9313,beautyvibe_ip9313,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,23.0,Non-HCC,True,False,beautyvibe_ip9313,Neutral,0.0,1.0,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
cantik_ip6901,cantik_ip6901,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False,cantik_ip6901,Neutral,0.2,0.8,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
kulitglowing_ip4389,kulitglowing_ip4389,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False,kulitglowing_ip4389,Neutral,0.2,0.8,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
cantik_ip9501,cantik_ip9501,Community Actor,HCC,True,150,,False,8,8.660714285714285,0.00042440891484,8.0,Maryame,Maryame,HCC Brand Context,Neutral,Mixed Goals,Low,,,,,Maryame,True,False,cantik_ip9501,Neutral,0.375,0.5,0.125,1.0,8.0,FINAL_MODEL_VALIDATED
kulitglowing_ip1790,kulitglowing_ip1790,Community Actor,HCC,True,150,,False,8,8.535714285714285,0.00042440891484,8.0,Maryame,Maryame,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Maryame,True,False,kulitglowing_ip1790,Neutral,0.0,0.75,0.25,1.0,8.0,FINAL_MODEL_VALIDATED
kulitglowing_ip334,kulitglowing_ip334,Community Actor,HCC,True,150,,False,8,8.535714285714285,0.0001747566119929,8.0,Maryame,Maryame,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,Maryame,True,False,kulitglowing_ip334,Negative,0.0,0.5,0.5,1.0,8.0,FINAL_MODEL_VALIDATED
glowhunter_ip1923,glowhunter_ip1923,Community Actor,HCC,True,150,,False,7,8.125,0.0,8.0,Maryame,Maryame,HCC Brand Context,Neutral,Mixed Goals,Low,,,,,Maryame,True,False,glowhunter_ip1923,Neutral,0.0,0.75,0.25,1.0,8.0,FINAL_MODEL_VALIDATED
glowhunter_ip8756,glowhunter_ip8756,Community Actor,HCC,True,150,,False,7,8.0,0.0,8.0,Maryame,Maryame,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Maryame,True,False,glowhunter_ip8756,Neutral,0.0,1.0,0.0,1.0,8.0,FINAL_MODEL_VALIDATED
skinbestie_ip9364,skinbestie_ip9364,Community Actor,HCC,True,150,,False,7,8.0,0.0,8.0,Maryame,Maryame,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Maryame,True,False,skinbestie_ip9364,Neutral,0.0,0.75,0.25,1.0,8.0,FINAL_MODEL_VALIDATED
beauty_ct22809,beauty_ct22809,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False,beauty_ct22809,Neutral,0.0,0.8,0.2,1.0,5.0,FINAL_MODEL_VALIDATED
skintok_ct75378,skintok_ct75378,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False,skintok_ct75378,Neutral,0.2,0.8,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
beauty_ct94362,beauty_ct94362,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False,beauty_ct94362,Neutral,0.0,1.0,0.0,0.8,4.0,FINAL_MODEL_VALIDATED
beautyaddict_ct95803,beautyaddict_ct95803,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Negative,Critical / Complaint,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False,beautyaddict_ct95803,Neutral,0.2,0.8,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
racun_ct45713,racun_ct45713,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Mixed,Promotional / Supportive,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False,racun_ct45713,Neutral,0.0,0.8,0.2,1.0,5.0,FINAL_MODEL_VALIDATED
beauty_ct15443,beauty_ct15443,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False,beauty_ct15443,Neutral,0.0,1.0,0.0,1.0,5.0,FINAL_MODEL_VALIDATED
beautyvibe_ip9378,beautyvibe_ip9378,Mass Actor,LCN Non-HCC,False,20,,False,10,7.321428571428571,0.0004271828293161,10.0,,,Associated HCC Brand Context,Positive,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False,beautyvibe_ip9378,Neutral,0.0,1.0,0.0,1.0,6.0,FINAL_MODEL_VALIDATED
skinbestie_ip7689,skinbestie_ip7689,Mass Actor,LCN Non-HCC,False,5,,False,13,6.839285714285714,0.0003439653950337,7.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False,skinbestie_ip7689,Neutral,0.0,1.0,0.0,0.75,3.0,FINAL_MODEL_VALIDATED
glowingid_rr53578,glowingid_rr53578,Community Actor,HCC,True,63,,False,9,6.8392857142857135,0.0064021946107899,12.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Mixed_3plus_Brands,True,False,glowingid_rr53578,,,,,,,FINAL_MODEL_VALIDATED
kelvin.shagufta7,kelvin.shagufta7,Mass Actor,LCN Non-HCC,False,150,,False,13,6.517857142857142,0.0034951322398593,9.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,26.0,Non-HCC,True,False,kelvin.shagufta7,Negative,0.0,0.1111111111111111,0.8888888888888888,1.0,9.0,FINAL_MODEL_VALIDATED
ndhyulee,ndhyulee,Mass Actor,LCN Non-HCC,False,103,,False,13,6.5,0.0010485396719577,7.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,32.0,Non-HCC,True,False,ndhyulee,Neutral,0.0,0.5714285714285714,0.42857142857142855,1.0,7.0,FINAL_MODEL_VALIDATED
kulitglowing_ct49929,kulitglowing_ct49929,Community Actor,HCC,True,17,,False,7,6.375,0.0001220522369474,10.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Mixed_3plus_Brands,True,False,kulitglowing_ct49929,Neutral,0.0,0.6666666666666666,0.3333333333333333,1.0,3.0,FINAL_MODEL_VALIDATED
reviewjujur_ip9901,reviewjujur_ip9901,Mass Actor,LCN Non-HCC,False,5,,False,12,6.035714285714286,0.0004216350003639,4.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False,reviewjujur_ip9901,Neutral,0.0,0.75,0.25,1.0,4.0,FINAL_MODEL_VALIDATED
glowhunter_ct43630,glowhunter_ct43630,Community Actor,HCC,True,48,,False,4,6.0,0.0,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Neutral,Neutral Engagement,Low,,,,,Mixed_3plus_Brands,True,False,glowhunter_ct43630,Neutral,0.0,1.0,0.0,1.0,6.0,FINAL_MODEL_VALIDATED
bestieku_ct63653,bestieku_ct63653,Community Actor,HCC,True,48,,False,4,6.0,0.0,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Mixed_3plus_Brands,True,False,bestieku_ct63653,Neutral,0.0,0.8,0.2,0.8333333333333334,5.0,FINAL_MODEL_VALIDATED
