screenshot_group_rank,group_id,member_rank,comment_id,video_id,video_url,tiktok_comment_url_candidate,platform_username,account,actor_type_primary,network_position,hcc_id,brand,timestamp,comment_text_presentation,group_similarity_category,group_n_comments,group_n_accounts,group_n_videos,group_quality_flag,screenshot_eligible,screenshot_status,screenshot_file,reviewer_notes
2,SIM_CLUSTER_00006,3,9182736451827362926A,7235406683676167430,https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv,https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv&comment_id=9182736451827362926A,_gaeega,MASS_079f0b037e63,Mass Actor,Outside LCN,,The Originote,2023-08-11T05:44:50+00:00,produk originote menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
2,SIM_CLUSTER_00006,4,9182736451827361376A,7291631421565832453,https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj,https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj&comment_id=9182736451827361376A,skinlover_pa00222,MASS_07b6c281336f,Mass Actor,Outside LCN,,Daviena,2023-11-03T08:55:13+00:00,produk daviena menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
2,SIM_CLUSTER_00006,5,9182736451827361541A,7284446766534102277,https://www.tiktok.com/@faniabsaa/video/7284446766534102277?_r=1&_t=ZS-9707DfFuSW1,https://www.tiktok.com/@faniabsaa/video/7284446766534102277?_r=1&_t=ZS-9707DfFuSW1&comment_id=9182736451827361541A,skinlover_pa00352,MASS_09ef584ea11b,Mass Actor,Outside LCN,,Daviena,2024-04-15T19:08:16+00:00,produk daviena menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
2,SIM_CLUSTER_00006,6,9182736451827362245A,7421835937988070662,https://www.tiktok.com/@maryame.official/video/7421835937988070662?_r=1&_t=ZS-9702TytN66E,https://www.tiktok.com/@maryame.official/video/7421835937988070662?_r=1&_t=ZS-9702TytN66E&comment_id=9182736451827362245A,skinlover_pa00842,MASS_0bf2ae4c1174,Mass Actor,Outside LCN,,Maryame,2024-11-01T20:22:15+00:00,produk maryame menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
2,SIM_CLUSTER_00006,7,9182736451827362388A,7430007251076697350,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0&comment_id=9182736451827362388A,skinlover_pa00962,MASS_0c5b5898cc31,Mass Actor,Outside LCN,,Maryame,2024-11-24T21:13:05+00:00,produk maryame menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
2,SIM_CLUSTER_00006,8,9182736451827361882A,7523137946246008069,https://www.tiktok.com/@maryame.official/video/7523137946246008069?_r=1&_t=ZS-97029nEoy2h,https://www.tiktok.com/@maryame.official/video/7523137946246008069?_r=1&_t=ZS-97029nEoy2h&comment_id=9182736451827361882A,skinlover_pa00632,MASS_10bc5cc0bca5,Mass Actor,Outside LCN,,Maryame,2025-08-08T11:46:02+00:00,produk maryame menurutku worth it efeknya pelan tapi kerasa,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,1,9182736451827361688A,7421104723333483782,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W&comment_id=9182736451827361688A,skincarefan_pa00476,MASS_02ffdafd69db,Mass Actor,Outside LCN,,Daviena,2024-10-02T23:01:44+00:00,suka banget sama davina karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,2,9182736451827361314A,7312025661835578629,https://www.tiktok.com/@maharajasp8/video/7312025661835578629?_r=1&_t=ZS-9707B1CL1aS,https://www.tiktok.com/@maharajasp8/video/7312025661835578629?_r=1&_t=ZS-9707B1CL1aS&comment_id=9182736451827361314A,skincarefan_pa00166,MASS_0466773bcfcf,Mass Actor,Outside LCN,,Daviena,2023-12-13T18:35:35+00:00,suka banget sama daviena karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,3,9182736451827361457A,7340938843190725893,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z&comment_id=9182736451827361457A,skincarefan_pa00286,MASS_12836c65b285,Mass Actor,Outside LCN,,Daviena,2024-05-28T18:14:45+00:00,suka banget sama daviena karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,4,9182736451827361798A,7596239649517899016,https://www.tiktok.com/@melvinahusyanti96/photo/7596239649517899016?_r=1&_t=ZS-978hb5OS1Tz,https://www.tiktok.com/@melvinahusyanti96/photo/7596239649517899016?_r=1&_t=ZS-978hb5OS1Tz&comment_id=9182736451827361798A,skincarefan_pa00566,MASS_1555f7dc9abd,Mass Actor,Outside LCN,,Daviena,2026-01-18T00:16:07+00:00,suka banget sama davina karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,5,9182736451827361534A,7378347819268082950,https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X,https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X&comment_id=9182736451827361534A,skincarefan_pa00346,MASS_166d4b284980,Mass Actor,Outside LCN,,Daviena,2024-08-02T11:11:17+00:00,suka banget sama daviena karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,6,9182736451827362953A,7314309007341063429,https://www.tiktok.com/@racunwithdivani/video/7314309007341063429?_r=1&_t=ZS-9701OFzBfQA,https://www.tiktok.com/@racunwithdivani/video/7314309007341063429?_r=1&_t=ZS-9701OFzBfQA&comment_id=9182736451827362953A,_indrirstamy,MASS_167a30db496a,Mass Actor,Outside LCN,,The Originote,2024-07-01T13:15:12+00:00,suka banget sama originote karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,7,9182736451827361567A,7421104723333483782,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W&comment_id=9182736451827361567A,skincarefan_pa00376,MASS_195705fe78fd,Mass Actor,Outside LCN,,Daviena,2024-10-03T08:48:43+00:00,suka banget sama davina karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
3,SIM_CLUSTER_00010,8,9182736451827361589A,7421104723333483782,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W,https://www.tiktok.com/@yulyadew123/video/7421104723333483782?_r=1&_t=ZS-978hae1IR2W&comment_id=9182736451827361589A,skincarefan_pa00396,MASS_19e84e6e8d38,Mass Actor,Outside LCN,,Daviena,2024-10-03T14:47:37+00:00,suka banget sama davina karena kulitku jadi lebih terawat,EXACT_DUPLICATE,149,149,46,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,1,9182736451827361522A,7284446766534102277,https://www.tiktok.com/@faniabsaa/video/7284446766534102277?_r=1&_t=ZS-9707DfFuSW1,https://www.tiktok.com/@faniabsaa/video/7284446766534102277?_r=1&_t=ZS-9707DfFuSW1&comment_id=9182736451827361522A,cantikdaily_pa00335,MASS_011ffca92b00,Mass Actor,Outside LCN,,Daviena,2023-10-04T07:42:30+00:00,teksturnya ringan gampang meresap dan hasil daviena keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,2,9182736451827362633A,7430007251076697350,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0&comment_id=9182736451827362633A,.anuraini,MASS_02481057b0df,Mass Actor,Outside LCN,,Maryame,2025-01-03T21:20:29+00:00,teksturnya ringan gampang meresap dan hasil maryame keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,3,9182736451827362666A,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh&comment_id=9182736451827362666A,.m.apip,MASS_02aeb5b91ad2,Mass Actor,Outside LCN,,Maryame,2024-10-27T06:36:55+00:00,teksturnya ringan gampang meresap dan hasil maryame keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,4,9182736451827361193A,7237379067773766917,https://www.tiktok.com/@vivianmarguerre/video/7237379067773766917?_r=1&_t=ZS-9706fNQFwJ7,https://www.tiktok.com/@vivianmarguerre/video/7237379067773766917?_r=1&_t=ZS-9706fNQFwJ7&comment_id=9182736451827361193A,cantikdaily_pa00075,MASS_0371253e6f50,Mass Actor,Outside LCN,,Azarine,2023-12-22T11:20:36+00:00,teksturnya ringan gampang meresap dan hasil azarine keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,5,9182736451827361577A,7596239649517899016,https://www.tiktok.com/@melvinahusyanti96/photo/7596239649517899016?_r=1&_t=ZS-978hb5OS1Tz,https://www.tiktok.com/@melvinahusyanti96/photo/7596239649517899016?_r=1&_t=ZS-978hb5OS1Tz&comment_id=9182736451827361577A,cantikdaily_pa00385,MASS_08e19c98342f,Mass Actor,Outside LCN,,Daviena,2026-01-17T18:41:40+00:00,teksturnya ringan gampang meresap dan hasil davina keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,6,9182736451827362787A,7430007251076697350,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0&comment_id=9182736451827362787A,_ahsjak,MASS_0ee8eb8e2d73,Mass Actor,Outside LCN,,Maryame,2025-11-18T12:10:15+00:00,teksturnya ringan gampang meresap dan hasil maryame keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,7,9182736451827362644A,7385065641595653382,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm&comment_id=9182736451827362644A,.desember112,MASS_0fbf329b05d2,Mass Actor,Outside LCN,,Maryame,2024-07-21T22:34:10+00:00,teksturnya ringan gampang meresap dan hasil maryame keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
4,SIM_CLUSTER_00009,8,9182736451827362853A,7306081689422351622,https://www.tiktok.com/@dww.srtk/video/7306081689422351622?_r=1&_t=ZS-9701GJQuJW6,https://www.tiktok.com/@dww.srtk/video/7306081689422351622?_r=1&_t=ZS-9701GJQuJW6&comment_id=9182736451827362853A,_calslvlia,MASS_109f1cd22dec,Mass Actor,Outside LCN,,The Originote,2023-11-28T08:37:31+00:00,teksturnya ringan gampang meresap dan hasil originote keliatan bagus,EXACT_DUPLICATE,149,149,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,1,9182736451827361581A,7596239649517899016,https://www.tiktok.com/@melvinahusyanti96/photo/7596239649517899016?_r=1&_t=ZS-978hb5OS1Tz,https://www.tiktok.com/@melvinahusyanti96/photo/7596239649517899016?_r=1&_t=ZS-978hb5OS1Tz&comment_id=9182736451827361581A,reviewjujur_pa00388,MASS_015591058e5a,Mass Actor,Outside LCN,,Daviena,2026-01-18T02:57:30+00:00,menurutku davina bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,2,9182736451827362438A,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh&comment_id=9182736451827362438A,reviewjujur_pa00998,MASS_03bbd52dbd50,Mass Actor,Outside LCN,,Maryame,2024-10-24T17:24:27+00:00,menurutku maryame bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,3,9182736451827362593A,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh&comment_id=9182736451827362593A,reviewjujur_pa01128,MASS_03c258790dbe,Mass Actor,Outside LCN,,Maryame,2024-10-23T17:21:46+00:00,menurutku maryame bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,4,9182736451827362142A,7262186413284822277,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT&comment_id=9182736451827362142A,reviewjujur_pa00758,MASS_041f13145930,Mass Actor,Outside LCN,,Maryame,2024-08-01T15:21:06+00:00,menurutku maryame bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,5,9182736451827361976A,7385065641595653382,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm&comment_id=9182736451827361976A,reviewjujur_pa00708,MASS_0855f5161417,Mass Actor,Outside LCN,,Maryame,2024-07-31T00:27:56+00:00,menurutku maryame bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,6,9182736451827362164A,7182401543491128602,https://www.tiktok.com/@susiyuliani30/video/7182401543491128602?_r=1&_t=ZS-977UoX2jLJ2,https://www.tiktok.com/@susiyuliani30/video/7182401543491128602?_r=1&_t=ZS-977UoX2jLJ2&comment_id=9182736451827362164A,reviewjujur_pa00778,MASS_098ec5ec31f0,Mass Actor,Outside LCN,,Maryame,2022-12-29T17:10:29+00:00,menurutku maryame bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,7,9182736451827361174A,7313383346447322373,https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J,https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J&comment_id=9182736451827361174A,reviewjujur_pa00058,MASS_0b4715303f21,Mass Actor,Outside LCN,,Azarine,2023-12-27T04:41:07+00:00,menurutku azarine bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
5,SIM_CLUSTER_00012,8,9182736451827361394A,7340938843190725893,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z,https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z&comment_id=9182736451827361394A,reviewjujur_pa00238,MASS_0cb426ea4ded,Mass Actor,Outside LCN,,Daviena,2024-02-29T15:09:13+00:00,menurutku daviena bagus buat daily skincare hasilnya konsisten,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
6,SIM_CLUSTER_00013,1,9182736451827362154A,7279666593129434374,https://www.tiktok.com/@deswitatata2/video/7279666593129434374?_r=1&_t=ZS-9702EZVUuGo,https://www.tiktok.com/@deswitatata2/video/7279666593129434374?_r=1&_t=ZS-9702EZVUuGo&comment_id=9182736451827362154A,skinclub_pa00769,MASS_027b207482d7,Mass Actor,Outside LCN,,Maryame,2025-02-04T01:48:21+00:00,senang banget nemu maryame karena cocok dan tidak bikin berat di wajah,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
6,SIM_CLUSTER_00013,2,9182736451827362516A,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh&comment_id=9182736451827362516A,skinclub_pa01059,MASS_045028edb486,Mass Actor,Outside LCN,,Maryame,2024-10-28T21:42:04+00:00,senang banget nemu maryame karena cocok dan tidak bikin berat di wajah,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
6,SIM_CLUSTER_00013,3,9182736451827362637A,7279666593129434374,https://www.tiktok.com/@deswitatata2/video/7279666593129434374?_r=1&_t=ZS-9702EZVUuGo,https://www.tiktok.com/@deswitatata2/video/7279666593129434374?_r=1&_t=ZS-9702EZVUuGo&comment_id=9182736451827362637A,.ayng_,MASS_05700505080d,Mass Actor,Outside LCN,,Maryame,2025-01-06T02:05:32+00:00,senang banget nemu maryame karena cocok dan tidak bikin berat di wajah,EXACT_DUPLICATE,148,148,45,SUBSTANTIVE_MULTI_ACCOUNT_GROUP,True,PENDING_PLATFORM_LOOKUP,,
