public_actor_id,actor_type_primary,hcc_id,n_comments,n_active_weeks,dominant_weekday,dominant_weekday_share,dominant_daypart,peak_hour,weekday_concentration_score
beautyvibe_ct13413,Community Actor,45,6,6,Sabtu,0.3333333333333333,Pagi,5,0.1979535078744057
beautyvibe_ct18973,Community Actor,46,3,3,Selasa,0.3333333333333333,Siang,11,0.43542496594642044
beautyvibe_ct2527,Community Actor,2,3,3,Rabu,0.3333333333333333,Pagi,8,0.43542496594642044
beautyvibe_ct53672,Community Actor,48,6,6,Jumat,0.3333333333333333,Siang,12,0.31668923691041295
beautyvibe_ct5449,Community Actor,17,3,3,Kamis,0.3333333333333333,Pagi,8,0.43542496594642044
beautyvibe_ct6553,Community Actor,49,3,3,Jumat,0.6666666666666666,Pagi,5,0.6728964240184352
beautyvibe_ct7323,Community Actor,50,3,3,Selasa,0.3333333333333333,Pagi,6,0.43542496594642044
beautyvibe_ct78952,Community Actor,52,8,8,Senin,0.25,Malam,19,0.19853382900695005
beautyvibe_ct9600,Community Actor,17,3,3,Senin,0.6666666666666666,Malam,6,0.6728964240184352
beautyvibe_ip8477,Community Actor,103,6,6,Selasa,0.3333333333333333,Pagi,14,0.1979535078744057
beautyvibe_rp66426,Community Actor,60,4,4,Kamis,0.75,Pagi,1,0.7110169013241403
beautyvibe_rp82732,Community Actor,54,5,5,Sabtu,0.4,Pagi,0,0.3153953994962927
bestieku_ct63653,Community Actor,48,6,6,Jumat,0.3333333333333333,Siang,12,0.31668923691041295
bestieku_ct63780,Community Actor,46,3,3,Selasa,0.3333333333333333,Siang,11,0.43542496594642044
bestieku_ct70500,Community Actor,74,4,4,Selasa,0.25,Siang,9,0.28758562578395563
bestieku_ct74574,Community Actor,75,4,4,Rabu,0.5,Malam,20,0.4656892193379668
bestieku_rr99428,Community Actor,87,5,5,Selasa,0.4,Sore,17,0.3153953994962927
cantik_ct3314,Community Actor,50,3,3,Selasa,0.3333333333333333,Pagi,6,0.43542496594642044
cantik_ct3821,Community Actor,49,3,3,Jumat,0.6666666666666666,Pagi,5,0.6728964240184352
cantik_ct6414,Community Actor,90,3,3,Selasa,0.3333333333333333,Malam,15,0.43542496594642044
cantik_ct9210,Community Actor,17,7,7,Kamis,0.2857142857142857,Pagi,16,0.203546964061727
cantik_ct95823,Community Actor,14,5,5,Selasa,0.4,Siang,5,0.45787827433950157
cantik_ct99107,Community Actor,3,3,3,Selasa,0.3333333333333333,Malam,20,0.43542496594642044
cantik_ip9501,Community Actor,150,8,8,Senin,0.375,Pagi,7,0.23214587322303137
cantiknyata_r3c06m01x3833,Community Actor,99,4,2,Senin,0.5,Pagi,10,0.6437928128919779
cantiknyata_r3c06m02x7276,Community Actor,99,4,2,Senin,0.5,Pagi,10,0.6437928128919779
cantiknyata_r3c06m03x7677,Community Actor,99,4,2,Senin,0.5,Pagi,10,0.6437928128919779
cantiknyata_r3c06m04x5441,Community Actor,99,4,2,Senin,0.5,Pagi,10,0.6437928128919779
cantiknyata_r3c06m05x2517,Community Actor,99,4,2,Senin,0.5,Pagi,10,0.6437928128919779
dearskin_ct1243,Community Actor,49,3,3,Jumat,0.6666666666666666,Pagi,5,0.6728964240184352
dearskin_ct1358,Community Actor,16,3,3,Kamis,0.3333333333333333,Pagi,6,0.43542496594642044
dearskin_ct58033,Community Actor,20,8,8,Minggu,0.375,Pagi,17,0.23214587322303148
dearskin_ct6747,Community Actor,50,3,3,Selasa,0.3333333333333333,Pagi,6,0.43542496594642044
glowcheck_r3c10m00x7594,Community Actor,113,3,3,Senin,0.3333333333333333,Pagi,7,0.43542496594642044
glowcheck_r3c10m01x2927,Community Actor,113,5,3,Selasa,0.4,Sore,16,0.45787827433950157
glowcheck_r3c10m02x8990,Community Actor,113,5,3,Selasa,0.4,Sore,16,0.45787827433950157
glowcheck_r3c10m03x7520,Community Actor,113,5,3,Selasa,0.4,Sore,16,0.45787827433950157
glowcheck_r3c10m04x9521,Community Actor,113,5,3,Selasa,0.4,Sore,16,0.45787827433950157
glowcheck_r3c10m05x2485,Community Actor,113,5,3,Selasa,0.4,Sore,16,0.45787827433950157
glowdiary_r3c03m00x2631,Community Actor,114,3,3,Kamis,0.3333333333333333,Pagi,6,0.43542496594642044
glowdiary_r3c03m01x2588,Community Actor,114,5,3,Jumat,0.4,Pagi,6,0.45787827433950157
glowdiary_r3c03m02x1592,Community Actor,114,5,3,Jumat,0.4,Pagi,6,0.45787827433950157
glowdiary_r3c03m03x1823,Community Actor,114,5,3,Jumat,0.4,Pagi,6,0.45787827433950157
glowdiary_r3c03m04x6886,Community Actor,114,5,3,Jumat,0.4,Pagi,6,0.45787827433950157
glowdiary_r3c03m05x9471,Community Actor,114,5,3,Jumat,0.4,Pagi,6,0.45787827433950157
glowhunter_cp9145,Community Actor,34,3,2,Kamis,1.0,Pagi,6,1.0
glowhunter_ct152,Community Actor,117,3,3,Rabu,0.3333333333333333,Siang,13,0.43542496594642044
glowhunter_ct43630,Community Actor,48,6,6,Jumat,0.3333333333333333,Siang,12,0.31668923691041295
glowhunter_ct4367,Community Actor,18,3,3,Rabu,0.6666666666666666,Malam,19,0.6728964240184352
glowhunter_ct64974,Community Actor,3,3,3,Selasa,0.3333333333333333,Malam,20,0.43542496594642044
glowhunter_ct68859,Community Actor,46,3,3,Selasa,0.3333333333333333,Siang,11,0.43542496594642044
glowhunter_ip1923,Community Actor,150,8,8,Senin,0.25,Pagi,7,0.10948203222994457
glowhunter_ip2869,Community Actor,54,7,7,Senin,0.42857142857142855,Dini Hari,12,0.343734210910969
glowhunter_ip4395,Community Actor,54,7,7,Senin,0.2857142857142857,Siang,10,0.203546964061727
glowhunter_ip7849,Community Actor,54,7,7,Selasa,0.42857142857142855,Sore,0,0.343734210910969
glowhunter_ip8756,Community Actor,150,8,7,Senin,0.375,Malam,10,0.23214587322303137
glowhunter_ip9119,Community Actor,5,8,8,Jumat,0.375,Malam,4,0.32119767000003685
glowingid_ct11995,Community Actor,17,3,3,Senin,0.6666666666666666,Malam,6,0.6728964240184352
glowingid_ct18883,Community Actor,87,5,5,Senin,0.2,Sore,16,0.1729125246530837
glowingid_ct69471,Community Actor,132,3,3,Selasa,0.3333333333333333,Pagi,8,0.43542496594642044
glowingid_ct74353,Community Actor,3,3,3,Selasa,0.3333333333333333,Malam,20,0.43542496594642044
glowingid_ct92516,Community Actor,1,7,7,Kamis,0.42857142857142855,Pagi,10,0.24196072888010556
glowingid_rp61402,Community Actor,134,6,6,Selasa,0.16666666666666666,Siang,1,0.07921777883839831
glowingid_rr53578,Community Actor,63,12,11,Kamis,0.25,Malam,20,0.12403383779317312
glowup_ct2135,Community Actor,18,3,3,Rabu,0.6666666666666666,Malam,19,0.6728964240184352
glowup_ct3239,Community Actor,117,3,3,Rabu,0.3333333333333333,Siang,13,0.43542496594642044
glowup_ct3809,Community Actor,16,3,3,Kamis,0.3333333333333333,Pagi,6,0.43542496594642044
glowup_ct6488,Community Actor,117,3,3,Rabu,0.3333333333333333,Siang,13,0.43542496594642044
glowup_ct8724,Community Actor,132,3,3,Selasa,0.3333333333333333,Pagi,8,0.43542496594642044
glowup_ct93477,Community Actor,17,3,3,Senin,0.6666666666666666,Malam,6,0.6728964240184352
glowup_ct95907,Community Actor,20,8,8,Minggu,0.375,Pagi,17,0.23214587322303148
glowup_rr94183,Community Actor,54,3,3,Senin,0.3333333333333333,Dini Hari,1,0.43542496594642044
kulitcerah_ct29113,Community Actor,52,8,8,Senin,0.25,Malam,7,0.19853382900695005
kulitcerah_ct92565,Community Actor,48,6,6,Jumat,0.3333333333333333,Siang,12,0.31668923691041295
kulitcerah_rr59853,Community Actor,60,4,4,Kamis,0.75,Siang,2,0.7110169013241403
kulitglowing_ct4137,Community Actor,90,3,3,Selasa,0.3333333333333333,Malam,15,0.43542496594642044
kulitglowing_ct49929,Community Actor,17,10,9,Senin,0.3,Sore,20,0.15545035797720952
kulitglowing_ct595,Community Actor,117,3,3,Rabu,0.3333333333333333,Siang,13,0.43542496594642044
kulitglowing_ct6396,Community Actor,18,3,3,Rabu,0.6666666666666666,Malam,19,0.6728964240184352
kulitglowing_ct71939,Community Actor,46,3,3,Selasa,0.3333333333333333,Siang,11,0.43542496594642044
kulitglowing_ip1790,Community Actor,150,8,8,Senin,0.25,Malam,2,0.10948203222994457
kulitglowing_ip334,Community Actor,150,8,8,Senin,0.25,Siang,7,0.020430235452938983
kulitglowing_ip4767,Community Actor,5,8,8,Rabu,0.25,Malam,22,0.10948203222994457
kulitglowing_ip7028,Community Actor,54,5,5,Kamis,0.6,Pagi,5,0.5116575450852315
kulitglowing_ip9832,Community Actor,5,8,8,Rabu,0.375,Sore,0,0.32119767000003685
kulitglowing_rr91939,Community Actor,134,3,3,Rabu,0.3333333333333333,Malam,20,0.43542496594642044
kulitsehat_ct8443,Community Actor,15,3,3,Selasa,0.6666666666666666,Malam,17,0.6728964240184352
kulitsehat_ip5592,Community Actor,103,6,6,Minggu,0.5,Siang,22,0.48024102490119536
kulitsehat_rp54793,Community Actor,34,3,3,Selasa,0.3333333333333333,Sore,17,0.43542496594642044
produkjujur_r3c00m01x6024,Community Actor,180,4,2,Senin,0.5,Sore,17,0.6437928128919779
produkjujur_r3c00m02x8296,Community Actor,180,4,2,Senin,0.5,Sore,17,0.6437928128919779
produkjujur_r3c00m03x5660,Community Actor,180,4,2,Senin,0.5,Sore,17,0.6437928128919779
racun_ct1114,Community Actor,50,3,3,Selasa,0.3333333333333333,Pagi,6,0.43542496594642044
racun_ct19392,Community Actor,46,3,3,Selasa,0.3333333333333333,Siang,11,0.43542496594642044
racun_ct2082,Community Actor,117,3,3,Rabu,0.3333333333333333,Siang,13,0.43542496594642044
racun_ct2295,Community Actor,15,3,3,Selasa,0.6666666666666666,Malam,17,0.6728964240184352
racun_ct2554,Community Actor,182,3,3,Senin,0.3333333333333333,Pagi,1,0.43542496594642044
racun_ct40815,Community Actor,45,6,6,Sabtu,0.3333333333333333,Pagi,5,0.1979535078744057
racun_ct5624,Community Actor,90,3,3,Selasa,0.3333333333333333,Malam,15,0.43542496594642044
racun_ct5875,Community Actor,182,3,3,Senin,0.3333333333333333,Pagi,1,0.43542496594642044
racun_ct61657,Community Actor,17,3,3,Senin,0.6666666666666666,Malam,6,0.6728964240184352
racun_ct7880,Community Actor,183,3,3,Rabu,0.6666666666666666,Pagi,7,0.6728964240184352
racun_ct8621,Community Actor,15,3,3,Selasa,0.6666666666666666,Malam,17,0.6728964240184352
racun_ip2774,Community Actor,54,7,6,Kamis,0.42857142857142855,Pagi,8,0.343734210910969
racun_rr28461,Community Actor,134,6,6,Selasa,0.16666666666666666,Siang,3,0.07921777883839831
reviewjujur_ct33360,Community Actor,132,3,3,Selasa,0.3333333333333333,Pagi,8,0.43542496594642044
reviewjujur_ct39243,Community Actor,52,8,8,Senin,0.25,Malam,19,0.19853382900695005
reviewjujur_ct43520,Community Actor,45,6,6,Sabtu,0.3333333333333333,Pagi,5,0.1979535078744057
reviewjujur_ct5021,Community Actor,182,3,3,Senin,0.3333333333333333,Pagi,1,0.43542496594642044
reviewjujur_ct55350,Community Actor,52,8,8,Senin,0.25,Malam,7,0.19853382900695005
reviewjujur_ct6118,Community Actor,16,3,3,Kamis,0.3333333333333333,Pagi,6,0.43542496594642044
reviewjujur_ct7045,Community Actor,17,3,3,Kamis,0.3333333333333333,Pagi,8,0.43542496594642044
reviewjujur_ct84556,Community Actor,46,3,3,Selasa,0.3333333333333333,Siang,11,0.43542496594642044
reviewjujur_ct8615,Community Actor,182,3,3,Senin,0.3333333333333333,Pagi,1,0.43542496594642044
reviewjujur_ct9366,Community Actor,183,3,3,Rabu,0.6666666666666666,Pagi,7,0.6728964240184352
reviewjujur_ct97003,Community Actor,52,8,8,Senin,0.25,Malam,7,0.19853382900695005
reviewjujur_ct9773,Community Actor,183,3,3,Rabu,0.6666666666666666,Pagi,7,0.6728964240184352
reviewjujur_ct9800,Community Actor,132,3,3,Selasa,0.3333333333333333,Pagi,8,0.43542496594642044
reviewjujur_ip2228,Community Actor,5,8,8,Senin,0.375,Siang,16,0.23214587322303137
reviewjujur_ip9284,Community Actor,54,7,7,Selasa,0.42857142857142855,Malam,18,0.343734210910969
reviewjujur_rp60551,Community Actor,63,6,5,Rabu,0.3333333333333333,Malam,7,0.31668923691041295
reviewpedas_r3c09m00x7495,Community Actor,191,3,3,Senin,0.3333333333333333,Dini Hari,4,0.43542496594642044
reviewpedas_r3c09m01x4727,Community Actor,191,5,3,Senin,0.4,Dini Hari,4,0.45787827433950157
reviewpedas_r3c09m02x6779,Community Actor,191,5,3,Senin,0.4,Dini Hari,4,0.45787827433950157
reviewpedas_r3c09m03x3704,Community Actor,191,5,3,Senin,0.4,Pagi,5,0.45787827433950157
reviewpedas_r3c09m04x5100,Community Actor,191,5,3,Senin,0.4,Pagi,5,0.45787827433950157
skinbestie_ct5848,Community Actor,50,3,3,Selasa,0.3333333333333333,Pagi,6,0.43542496594642044
skinbestie_ct9114,Community Actor,183,3,3,Rabu,0.6666666666666666,Pagi,7,0.6728964240184352
skinbestie_ct9146,Community Actor,182,3,3,Senin,0.3333333333333333,Pagi,1,0.43542496594642044
skinbestie_ct9276,Community Actor,15,3,3,Selasa,0.6666666666666666,Malam,17,0.6728964240184352
skinbestie_ip1027,Community Actor,5,8,8,Senin,0.25,Malam,22,0.19853382900695005
skinbestie_ip9364,Community Actor,150,8,8,Sabtu,0.375,Pagi,7,0.32119767000003696
skincare_ct1100,Community Actor,182,3,3,Senin,0.3333333333333333,Pagi,1,0.43542496594642044
skincare_ct1453,Community Actor,17,3,3,Kamis,0.3333333333333333,Pagi,8,0.43542496594642044
skincare_ct68797,Community Actor,17,3,3,Senin,0.6666666666666666,Malam,6,0.6728964240184352
skincare_ct7727,Community Actor,2,3,3,Rabu,0.3333333333333333,Pagi,8,0.43542496594642044
skincare_ct78893,Community Actor,75,4,4,Rabu,0.5,Malam,20,0.4656892193379668
skincare_ct8136,Community Actor,49,3,3,Jumat,0.6666666666666666,Pagi,5,0.6728964240184352
skincare_ct87875,Community Actor,20,8,8,Minggu,0.375,Pagi,17,0.23214587322303148
skincare_ip2565,Community Actor,54,7,7,Selasa,0.42857142857142855,Siang,13,0.24196072888010556
skincare_ip6366,Community Actor,103,6,6,Sabtu,0.5,Pagi,8,0.48024102490119536
skincare_ip7443,Community Actor,5,8,7,Sabtu,0.375,Siang,12,0.23214587322303137
skincare_rp71592,Community Actor,63,4,4,Kamis,0.5,Malam,19,0.6437928128919779
skinclub_ct15395,Community Actor,74,4,4,Selasa,0.25,Siang,9,0.28758562578395563
skinclub_ct2318,Community Actor,2,3,3,Rabu,0.3333333333333333,Pagi,8,0.43542496594642044
skinclub_ct3535,Community Actor,117,3,3,Rabu,0.3333333333333333,Siang,13,0.43542496594642044
skinclub_ct4422,Community Actor,50,3,3,Selasa,0.3333333333333333,Pagi,6,0.43542496594642044
skinclub_ct6649,Community Actor,14,5,5,Selasa,0.4,Siang,5,0.45787827433950157
skinclub_ct7669,Community Actor,18,3,3,Rabu,0.6666666666666666,Malam,19,0.6728964240184352
skinclub_ct9386,Community Actor,18,3,3,Rabu,0.6666666666666666,Malam,19,0.6728964240184352
skinclub_ct998,Community Actor,46,3,3,Selasa,0.3333333333333333,Siang,11,0.43542496594642044
skinclub_ip8582,Community Actor,54,12,12,Selasa,0.3333333333333333,Pagi,21,0.1609936728337894
skinclub_ip8942,Community Actor,5,8,6,Senin,0.25,Pagi,17,0.19853382900695005
skinclub_rr29031,Community Actor,183,3,3,Rabu,0.6666666666666666,Dini Hari,0,0.6728964240184352
skinclub_rr74871,Community Actor,60,3,3,Kamis,0.6666666666666666,Dini Hari,3,0.6728964240184352
skinlover_ct23275,Community Actor,87,5,5,Senin,0.2,Sore,16,0.1729125246530837
skinlover_ct27853,Community Actor,3,3,3,Selasa,0.3333333333333333,Malam,20,0.43542496594642044
skinlover_ct4123,Community Actor,49,4,4,Jumat,0.5,Pagi,5,0.4656892193379668
skinlover_ct7606,Community Actor,90,3,3,Selasa,0.3333333333333333,Malam,15,0.43542496594642044
skinlover_ct782,Community Actor,183,3,3,Rabu,0.6666666666666666,Pagi,7,0.6728964240184352
skinlover_ct8756,Community Actor,16,3,3,Kamis,0.3333333333333333,Pagi,6,0.43542496594642044
skinlover_ip4018,Community Actor,54,7,7,Sabtu,0.2857142857142857,Siang,11,0.10177348203086356
skinlover_ip4667,Community Actor,5,8,8,Rabu,0.5,Malam,20,0.3766374225609612
skinlover_ip490,Community Actor,103,6,6,Rabu,0.3333333333333333,Malam,22,0.1979535078744057
skinlover_ip9713,Community Actor,103,6,6,Kamis,0.3333333333333333,Pagi,9,0.1979535078744057
skinreview_r3c04m01x7927,Community Actor,204,3,2,Kamis,0.6666666666666666,Sore,17,0.6728964240184352
skinreview_r3c04m02x8520,Community Actor,204,3,2,Kamis,0.6666666666666666,Sore,17,0.6728964240184352
skinreview_r3c04m03x3054,Community Actor,204,3,2,Kamis,0.6666666666666666,Sore,17,0.6728964240184352
skintok_ct36635,Community Actor,87,5,5,Senin,0.2,Sore,16,0.1729125246530837
skintok_ct53509,Community Actor,75,4,4,Rabu,0.5,Malam,20,0.4656892193379668
skintok_ct98906,Community Actor,87,5,5,Senin,0.2,Sore,16,0.1729125246530837
skintok_rr45965,Community Actor,49,4,4,Jumat,0.5,Pagi,8,0.4656892193379668
testiaman_r3c02m00x9822,Community Actor,205,3,3,Rabu,0.6666666666666666,Dini Hari,0,0.6728964240184352
testiaman_r3c02m01x8585,Community Actor,205,5,3,Rabu,0.6,Dini Hari,0,0.6541404199284404
testiaman_r3c02m02x2716,Community Actor,205,5,3,Rabu,0.6,Dini Hari,0,0.6541404199284404
testiaman_r3c02m03x8993,Community Actor,205,5,3,Rabu,0.6,Dini Hari,0,0.6541404199284404
testiaman_r3c02m04x8847,Community Actor,205,5,3,Rabu,0.6,Dini Hari,0,0.6541404199284404
testireal_ct35011,Community Actor,75,4,4,Rabu,0.5,Malam,20,0.4656892193379668
testireal_ct48546,Community Actor,48,6,6,Jumat,0.3333333333333333,Siang,12,0.31668923691041295
testireal_ct49360,Community Actor,45,6,6,Sabtu,0.3333333333333333,Pagi,5,0.1979535078744057
testireal_ct62779,Community Actor,74,4,4,Selasa,0.25,Siang,9,0.28758562578395563
adilana.na,Individual Actor,,74,11,Kamis,0.2702702702702703,Pagi,4,0.07827119370602709
adiliarizqa,Individual Actor,,3,2,Senin,0.3333333333333333,Malam,16,0.43542496594642044
afikarrhnur,Individual Actor,,68,23,Selasa,0.23529411764705882,Malam,20,0.06652745790171721
ansyashine,Individual Actor,,11,7,Kamis,0.2727272727272727,Pagi,5,0.051230489641095
asabelavvv,Individual Actor,,4,2,Rabu,0.75,Malam,20,0.7110169013241403
cellynstore_,Individual Actor,,121,56,Selasa,0.21487603305785125,Sore,13,0.03240974763316662
deswitatata2,Individual Actor,,24,16,Rabu,0.25,Pagi,17,0.09976021741612817
dewihanijayanti,Individual Actor,,14,8,Senin,0.35714285714285715,Siang,9,0.2854563220123497
dicannnns,Individual Actor,,188,21,Senin,0.22340425531914893,Siang,11,0.02773346279364064
dww.srtk,Individual Actor,,83,6,Jumat,0.24096385542168675,Malam,0,0.06887972412242171
fvajar_,Individual Actor,,35,1,Minggu,0.5142857142857142,Pagi,10,0.48194516423547407
glowupyuk34,Individual Actor,,12,9,Rabu,0.3333333333333333,Siang,13,0.25732137239240926
iketiaaa,Individual Actor,,11,2,Kamis,0.6363636363636364,Siang,17,0.468854173606842
irnaayu27,Individual Actor,,9,3,Senin,0.5555555555555556,Malam,0,0.40950012644291023
janeabys,Individual Actor,,3,1,Kamis,0.6666666666666666,Sore,15,0.6728964240184352
jesyjeyn,Individual Actor,,17,3,Senin,0.47058823529411764,Pagi,7,0.2722481656979703
juliadoang08,Individual Actor,,17,3,Kamis,0.5882352941176471,Malam,16,0.651836748589028
lookatmeeh__,Individual Actor,,15,6,Sabtu,0.26666666666666666,Malam,3,0.11913325390735363
maharajasp8,Individual Actor,,10,2,Rabu,0.8,Malam,19,0.7428440240259193
maryame.official,Individual Actor,,52,26,Jumat,0.3076923076923077,Siang,11,0.06756533217277871
melvinahusyanti96,Individual Actor,,16,3,Sabtu,0.875,Sore,15,0.8063784386759335
mimiaudmua,Individual Actor,,127,16,Sabtu,0.4645669291338583,Sore,17,0.17472874409584704
mputrizahro,Individual Actor,,16,4,Jumat,0.8125,Pagi,9,0.6906722686941598
nabellaolivia,Individual Actor,,24,7,Kamis,0.375,Malam,18,0.27120895512191
namicwn_,Individual Actor,,52,19,Selasa,0.25,Sore,15,0.05230218697080258
nooraabeautycreator,Individual Actor,,52,16,Senin,0.23076923076923078,Malam,11,0.04153183304920127
orinagista13,Individual Actor,,18,5,Sabtu,0.3333333333333333,Siang,12,0.22259339790148303
racunwithdivani,Individual Actor,,4,3,Selasa,0.5,Siang,12,0.6437928128919779
rikut02,Individual Actor,,62,19,Jumat,0.3387096774193548,Malam,14,0.11639994020454336
skinby_sindy,Individual Actor,,67,4,Selasa,0.8059701492537313,Siang,14,0.614314620418944
skincarebyw,Individual Actor,,6,2,Kamis,0.6666666666666666,Sore,17,0.5541606949824278
susiyuliani30,Individual Actor,,33,3,Rabu,0.6666666666666666,Pagi,9,0.5725230642672985
theoriginote,Individual Actor,,19,2,Jumat,0.8947368421052632,Pagi,10,0.8270753879633777
thisisalulaa,Individual Actor,,40,2,Senin,0.475,Malam,0,0.48302433506463793
tiarach18,Individual Actor,,3,1,Kamis,0.6666666666666666,Malam,19,0.6728964240184352
vivianmarguerre,Individual Actor,,62,19,Kamis,0.3870967741935484,Malam,17,0.1156828424135421
yulyadew123,Individual Actor,,8,2,Rabu,0.5,Malam,21,0.4656892193379668
MASS_0003c85083e3,Mass Actor,,3,1,Selasa,1.0,Pagi,10,1.0
MASS_00373574ed86,Mass Actor,,3,3,Senin,0.3333333333333333,Pagi,7,0.43542496594642044
MASS_007741757a17,Mass Actor,,6,5,Jumat,0.5,Pagi,8,0.3615052958651881
MASS_0097c686fa73,Mass Actor,,8,1,Sabtu,1.0,Sore,15,1.0
MASS_009acb5977ba,Mass Actor,,3,1,Jumat,1.0,Malam,18,1.0
MASS_009e8b33ac5a,Mass Actor,,5,1,Rabu,0.6,Malam,19,0.5116575450852315
MASS_00a1630fd104,Mass Actor,,5,2,Kamis,0.4,Sore,16,0.45787827433950157
MASS_00c462219656,Mass Actor,,3,3,Kamis,0.3333333333333333,Siang,13,0.43542496594642044
MASS_00dacc2aaca6,Mass Actor,,5,3,Rabu,0.6,Siang,12,0.5116575450852315
MASS_01c2bfc1703b,Mass Actor,,6,6,Selasa,0.3333333333333333,Siang,11,0.1979535078744057
MASS_021f6fc01d52,Mass Actor,,4,1,Sabtu,1.0,Malam,20,1.0
MASS_0291079ad8a2,Mass Actor,,5,5,Selasa,0.4,Siang,8,0.3153953994962927
MASS_032cdbe87e35,Mass Actor,,3,2,Senin,0.6666666666666666,Malam,21,0.6728964240184352
MASS_0385606a875b,Mass Actor,,8,8,Rabu,0.375,Malam,21,0.1430940764460258
MASS_03cdc9addb14,Mass Actor,,3,2,Kamis,0.6666666666666666,Siang,13,0.6728964240184352
MASS_0434eb5ad734,Mass Actor,,3,3,Senin,0.3333333333333333,Pagi,8,0.43542496594642044
MASS_0460b26a1778,Mass Actor,,3,1,Rabu,0.3333333333333333,Siang,11,0.43542496594642044
MASS_0493c7830c92,Mass Actor,,3,1,Rabu,0.6666666666666666,Malam,8,0.6728964240184352
MASS_04bef83d291c,Mass Actor,,3,2,Senin,0.6666666666666666,Malam,18,0.6728964240184352
MASS_04caa5703dd7,Mass Actor,,3,3,Sabtu,0.6666666666666666,Pagi,7,0.6728964240184352
MASS_053561dc2eb8,Mass Actor,,3,1,Selasa,1.0,Siang,11,1.0
MASS_057c03216e42,Mass Actor,,3,1,Selasa,0.6666666666666666,Siang,14,0.6728964240184352
MASS_066a1f03d4e1,Mass Actor,,5,1,Senin,1.0,Sore,17,1.0
MASS_06a9a9117e13,Mass Actor,,5,1,Selasa,0.8,Pagi,9,0.7428440240259193
MASS_06ad6d0df878,Mass Actor,,6,2,Senin,0.6666666666666666,Malam,0,0.6728964240184352
MASS_0711c2ee0305,Mass Actor,,3,1,Minggu,1.0,Malam,23,1.0
MASS_0729f955fc7a,Mass Actor,,4,4,Sabtu,0.5,Siang,6,0.4656892193379668
MASS_076d3a6cacfe,Mass Actor,,3,1,Sabtu,1.0,Malam,22,1.0
MASS_07b48c5c163a,Mass Actor,,3,2,Senin,0.3333333333333333,Malam,10,0.43542496594642044
MASS_08202be4f110,Mass Actor,,4,2,Kamis,0.5,Malam,20,0.4656892193379668
MASS_08ada1536cb8,Mass Actor,,5,1,Kamis,1.0,Malam,22,1.0
MASS_0961422ce2d0,Mass Actor,,3,2,Rabu,0.6666666666666666,Siang,11,0.6728964240184352
MASS_097f30aa26bd,Mass Actor,,3,1,Minggu,1.0,Siang,12,1.0
MASS_0b17fd51bd23,Mass Actor,,3,1,Kamis,0.6666666666666666,Siang,14,0.6728964240184352
MASS_0b1e6ce055b0,Mass Actor,,4,1,Senin,1.0,Pagi,6,1.0
MASS_0b64f9cd068d,Mass Actor,,3,3,Selasa,0.6666666666666666,Pagi,6,0.6728964240184352
MASS_0b6751f5f95e,Mass Actor,,4,1,Selasa,1.0,Pagi,9,1.0
MASS_0baf01cd252b,Mass Actor,,3,1,Jumat,0.6666666666666666,Pagi,5,0.6728964240184352
MASS_0bbd4d0517bc,Mass Actor,,3,2,Rabu,0.6666666666666666,Pagi,7,0.6728964240184352
