id,label,degree,weighted_degree,betweenness,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level
glowcheck_r3c10m00x7594,glowcheck_r3c10m00x7594,5,5.178571428571428,0.0,112,Maryame,Maryame,Maryame,High,Medium
skinlover_ct23275,skinlover_ct23275,4,5.089285714285714,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
skincare_ct87875,skincare_ct87875,4,5.0,1.942944059864882e-05,20,Daviena,Daviena,Daviena + Maryame,Medium,Low
dearskin_ct58033,dearskin_ct58033,4,5.0,1.942944059864882e-05,20,Daviena,Daviena,Daviena + Maryame,Medium,Low
skinbestie_ct9114,skinbestie_ct9114,7,4.875,0.00011657664359189293,184,The Originote,The Originote,The Originote,High,Low
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m00x8166,5,4.553571428571429,0.0,99,The Originote,The Originote,The Originote,High,Medium
skincare_ct68797,skincare_ct68797,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
beautyvibe_ct9600,beautyvibe_ct9600,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
beautyvibe_ct13413,beautyvibe_ct13413,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low
racun_ct40815,racun_ct40815,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low
beautyaddict_ct75025,beautyaddict_ct75025,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
racun_ct61657,racun_ct61657,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
testireal_ct49360,testireal_ct49360,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low
beautyvibe_ct18973,beautyvibe_ct18973,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low
bestieku_ct63780,bestieku_ct63780,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low
reviewjujur_ct43520,reviewjujur_ct43520,3,4.5,0.0,43,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low
glowhunter_ct68859,glowhunter_ct68859,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low
kulitglowing_ct71939,kulitglowing_ct71939,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low
racun_ct19392,racun_ct19392,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low
reviewjujur_ct84556,reviewjujur_ct84556,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low
skinclub_ct998,skinclub_ct998,6,4.5,0.0,44,The Originote,The Originote,The Originote + Daviena,Medium,Low
glowingid_ct11995,glowingid_ct11995,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
glowup_ct93477,glowup_ct93477,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
skintok_ct98906,skintok_ct98906,4,4.375,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
skintok_ct36635,skintok_ct36635,4,4.375,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
glowingid_ct18883,glowingid_ct18883,4,4.375,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
dearskin_ct6747,dearskin_ct6747,6,4.285714285714286,1.1102537484942184e-05,48,Maryame,Maryame,Maryame,High,Low
racun_ct1114,racun_ct1114,6,4.285714285714286,1.1102537484942184e-05,48,Maryame,Maryame,Maryame,High,Low
skinbestie_ct9146,skinbestie_ct9146,6,4.285714285714286,2.2205074969884367e-05,183,Not identified,Not identified,,None,Low
skinclub_ct2318,skinclub_ct2318,6,4.285714285714286,2.4980709341119915e-05,2,Maryame,Maryame,Maryame,High,Low
skincare_ct7727,skincare_ct7727,6,4.285714285714286,2.4980709341119915e-05,2,Maryame,Maryame,Maryame,High,Low
glowup_ct3239,glowup_ct3239,6,4.285714285714286,1.942944059864882e-05,116,The Originote,The Originote,The Originote,High,Low
skinbestie_ct9276,skinbestie_ct9276,6,4.285714285714286,1.942944059864882e-05,15,The Originote,The Originote,The Originote,High,Low
beautyaddict_ct7716,beautyaddict_ct7716,6,4.285714285714286,8.310249307479224e-06,18,The Originote,The Originote,The Originote,High,Low
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m00x7495,4,4.142857142857142,0.0,193,The Originote,The Originote,The Originote,High,Medium
testiaman_r3c02m00x9822,testiaman_r3c02m00x9822,4,4.142857142857142,0.0,205,The Originote,The Originote,The Originote,High,Medium
beautyfess_r3c05m00x6415,beautyfess_r3c05m00x6415,4,4.142857142857142,0.0,40,Daviena,Daviena,Daviena,High,Medium
cantik_ct9210,cantik_ct9210,4,4.125,0.0001443329873042484,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
reviewjujur_ct9773,reviewjujur_ct9773,6,4.071428571428571,8.882029987953747e-05,184,The Originote,The Originote,The Originote,High,Low
skinlover_ct4123,skinlover_ct4123,5,4.071428571428571,1.942944059864882e-05,47,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
glowdiary_r3c03m01x2588,glowdiary_r3c03m01x2588,5,4.035714285714286,0.0,113,Maryame,Maryame,Maryame,High,Medium
glowdiary_r3c03m02x1592,glowdiary_r3c03m02x1592,5,4.035714285714286,0.0,113,Maryame,Maryame,Maryame,High,Medium
glowdiary_r3c03m04x6886,glowdiary_r3c03m04x6886,5,4.035714285714286,0.0,113,Maryame,Maryame,Maryame,High,Medium
glowcheck_r3c10m01x2927,glowcheck_r3c10m01x2927,5,4.035714285714286,0.0,112,Maryame,Maryame,Maryame,High,Medium
glowcheck_r3c10m05x2485,glowcheck_r3c10m05x2485,5,4.035714285714286,0.0,112,Maryame,Maryame,Maryame,High,Medium
glowcheck_r3c10m04x9521,glowcheck_r3c10m04x9521,5,4.035714285714286,0.0,112,Maryame,Maryame,Maryame,High,Medium
skinlover_ip9713,skinlover_ip9713,6,4.035714285714286,0.00013045481544807065,53,Daviena,Daviena,Daviena,High,Low
glowdiary_r3c03m03x1823,glowdiary_r3c03m03x1823,5,4.035714285714286,0.0,113,Maryame,Maryame,Maryame,High,Medium
glowcheck_r3c10m02x8990,glowcheck_r3c10m02x8990,5,4.035714285714286,0.0,112,Maryame,Maryame,Maryame,High,Medium
glowdiary_r3c03m05x9471,glowdiary_r3c03m05x9471,5,4.035714285714286,0.0,113,Maryame,Maryame,Maryame,High,Medium
beautyvibe_ip8477,beautyvibe_ip8477,6,4.035714285714286,0.00013296398891966758,53,Daviena,Daviena,Daviena,High,Low
kulitsehat_ip5592,kulitsehat_ip5592,6,4.035714285714286,0.00013045481544807065,53,Daviena,Daviena,Daviena,High,Low
skinlover_ip490,skinlover_ip490,6,4.035714285714286,5.8288321795946465e-05,53,Daviena,Daviena,Daviena,High,Low
glowcheck_r3c10m03x7520,glowcheck_r3c10m03x7520,5,4.035714285714286,0.0,112,Maryame,Maryame,Maryame,High,Medium
skinlover_ct782,skinlover_ct782,5,3.803571428571429,1.387817185617773e-05,184,The Originote,The Originote,The Originote,High,Low
kulitsehat_ct8443,kulitsehat_ct8443,5,3.75,0.0,15,The Originote,The Originote,The Originote,High,Low
racun_ct2295,racun_ct2295,5,3.75,0.0,15,The Originote,The Originote,The Originote,High,Low
racun_ct2554,racun_ct2554,5,3.75,0.0,183,Not identified,Not identified,,None,Low
skinclub_ct9386,skinclub_ct9386,5,3.75,0.0,18,The Originote,The Originote,The Originote,High,Low
skinclub_ct7669,skinclub_ct7669,5,3.75,0.0,18,The Originote,The Originote,The Originote,High,Low
reviewjujur_ct5021,reviewjujur_ct5021,5,3.75,0.0,183,Not identified,Not identified,,None,Low
kulitglowing_ct6396,kulitglowing_ct6396,5,3.75,0.0,18,The Originote,The Originote,The Originote,High,Low
glowup_ct2135,glowup_ct2135,5,3.75,0.0,18,The Originote,The Originote,The Originote,High,Low
glowhunter_ct4367,glowhunter_ct4367,5,3.75,0.0,18,The Originote,The Originote,The Originote,High,Low
beauty_ct7151,beauty_ct7151,5,3.75,0.0,2,Maryame,Maryame,Maryame,High,Low
reviewjujur_ct8615,reviewjujur_ct8615,5,3.75,0.0,183,Not identified,Not identified,,None,Low
beauty_ct8829,beauty_ct8829,5,3.75,0.0,2,Maryame,Maryame,Maryame,High,Low
beautyaddict_ct8242,beautyaddict_ct8242,5,3.75,0.0,2,Maryame,Maryame,Maryame,High,Low
beautyvibe_ct2527,beautyvibe_ct2527,5,3.75,0.0,2,Maryame,Maryame,Maryame,High,Low
beautyvibe_ct7323,beautyvibe_ct7323,5,3.75,0.0,48,Maryame,Maryame,Maryame,High,Low
cantik_ct3314,cantik_ct3314,5,3.75,0.0,48,Maryame,Maryame,Maryame,High,Low
skinbestie_ct5848,skinbestie_ct5848,5,3.75,0.0,48,Maryame,Maryame,Maryame,High,Low
skinclub_ct4422,skinclub_ct4422,5,3.75,0.0,48,Maryame,Maryame,Maryame,High,Low
beautyaddict_ct2062,beautyaddict_ct2062,5,3.75,0.0,15,The Originote,The Originote,The Originote,High,Low
beautyaddict_ct4776,beautyaddict_ct4776,5,3.75,0.0,15,The Originote,The Originote,The Originote,High,Low
racun_ct8621,racun_ct8621,5,3.75,0.0,15,The Originote,The Originote,The Originote,High,Low
skincare_ct1100,skincare_ct1100,5,3.75,0.0,183,Not identified,Not identified,,None,Low
glowup_ct6488,glowup_ct6488,5,3.75,0.0,116,The Originote,The Originote,The Originote,High,Low
racun_ct2082,racun_ct2082,5,3.75,0.0,116,The Originote,The Originote,The Originote,High,Low
skinclub_ct3535,skinclub_ct3535,5,3.75,0.0,116,The Originote,The Originote,The Originote,High,Low
racun_ct5875,racun_ct5875,5,3.75,0.0,183,Not identified,Not identified,,None,Low
glowhunter_ct152,glowhunter_ct152,5,3.75,0.0,116,The Originote,The Originote,The Originote,High,Low
kulitglowing_ct595,kulitglowing_ct595,5,3.75,0.0,116,The Originote,The Originote,The Originote,High,Low
beautyvibe_ct6553,beautyvibe_ct6553,5,3.5357142857142856,1.1080332409972299e-05,47,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
skincare_ip6366,skincare_ip6366,5,3.5,0.0,53,Daviena,Daviena,Daviena,High,Low
glowingid_ct92516,glowingid_ct92516,2,3.5,0.0,1,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low
beautyaddict_ct95316,beautyaddict_ct95316,2,3.5,0.0,1,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low
beauty_ct61338,beauty_ct61338,2,3.5,0.0,1,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low
cantiknyata_r3c06m04x5441,cantiknyata_r3c06m04x5441,5,3.4107142857142856,0.0,99,The Originote,The Originote,The Originote,High,Medium
cantiknyata_r3c06m03x7677,cantiknyata_r3c06m03x7677,5,3.4107142857142856,0.0,99,The Originote,The Originote,The Originote,High,Medium
cantiknyata_r3c06m05x2517,cantiknyata_r3c06m05x2517,5,3.4107142857142856,0.0,99,The Originote,The Originote,The Originote,High,Medium
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m02x7276,5,3.4107142857142856,0.0,99,The Originote,The Originote,The Originote,High,Medium
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m01x3833,5,3.4107142857142856,0.0,99,The Originote,The Originote,The Originote,High,Medium
reviewpedas_r3c09m04x5100,reviewpedas_r3c09m04x5100,4,3.2857142857142856,0.0,193,The Originote,The Originote,The Originote,High,Medium
testiaman_r3c02m04x8847,testiaman_r3c02m04x8847,4,3.2857142857142856,0.0,205,The Originote,The Originote,The Originote,High,Medium
reviewpedas_r3c09m03x3704,reviewpedas_r3c09m03x3704,4,3.2857142857142856,0.0,193,The Originote,The Originote,The Originote,High,Medium
testiaman_r3c02m02x2716,testiaman_r3c02m02x2716,4,3.2857142857142856,0.0,205,The Originote,The Originote,The Originote,High,Medium
testiaman_r3c02m01x8585,testiaman_r3c02m01x8585,4,3.2857142857142856,0.0,205,The Originote,The Originote,The Originote,High,Medium
reviewpedas_r3c09m02x6779,reviewpedas_r3c09m02x6779,4,3.2857142857142856,0.0,193,The Originote,The Originote,The Originote,High,Medium
beautyfess_r3c05m01x4347,beautyfess_r3c05m01x4347,4,3.2857142857142856,0.0,40,Daviena,Daviena,Daviena,High,Medium
beautyfess_r3c05m02x6049,beautyfess_r3c05m02x6049,4,3.2857142857142856,0.0,40,Daviena,Daviena,Daviena,High,Medium
beautyfess_r3c05m03x8357,beautyfess_r3c05m03x8357,4,3.2857142857142856,0.0,40,Daviena,Daviena,Daviena,High,Medium
beautyfess_r3c05m04x3629,beautyfess_r3c05m04x3629,4,3.2857142857142856,0.0,40,Daviena,Daviena,Daviena,High,Medium
testiaman_r3c02m03x8993,testiaman_r3c02m03x8993,4,3.2857142857142856,0.0,205,The Originote,The Originote,The Originote,High,Medium
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m01x4727,4,3.2857142857142856,0.0,193,The Originote,The Originote,The Originote,High,Medium
bestieku_rr99428,bestieku_rr99428,4,3.2142857142857144,0.0,86,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
kulitkece_r3c01m00x5166,kulitkece_r3c01m00x5166,4,3.142857142857143,0.0,169,Daviena,Daviena,Daviena,High,Low
ulasankilat_r3c07m00x2561,ulasankilat_r3c07m00x2561,4,3.142857142857143,0.0,206,Maryame,Maryame,Maryame,High,Medium
racikcantik_r3c08m00x5448,racikcantik_r3c08m00x5448,4,3.142857142857143,0.0,182,Daviena,Daviena,Daviena,High,Medium
glowingid_ct74353,glowingid_ct74353,4,3.0,0.0,3,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low
glowhunter_ct64974,glowhunter_ct64974,4,3.0,0.0,3,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low
cantik_ct99107,cantik_ct99107,4,3.0,0.0,3,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low
skinlover_ct27853,skinlover_ct27853,4,3.0,0.0,3,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low
glowup_ct3809,glowup_ct3809,4,3.0,0.0,16,Daviena,Daviena,Daviena + The Originote,Medium,Low
bestieku_ct74574,bestieku_ct74574,3,3.0,0.0,74,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
racun_ct7880,racun_ct7880,4,3.0,0.0,184,The Originote,The Originote,The Originote,High,Low
skincare_ct78893,skincare_ct78893,3,3.0,0.0,74,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
reviewjujur_ct9366,reviewjujur_ct9366,4,3.0,0.0,184,The Originote,The Originote,The Originote,High,Low
skintok_ct53509,skintok_ct53509,3,3.0,0.0,74,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
cantik_ct3821,cantik_ct3821,4,3.0,0.0,47,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
dearskin_ct1243,dearskin_ct1243,4,3.0,0.0,47,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
skincare_ct8136,skincare_ct8136,4,3.0,0.0,47,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
beauty_ct89266,beauty_ct89266,4,3.0,0.0,3,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low
skinlover_ct8756,skinlover_ct8756,4,3.0,0.0,16,Daviena,Daviena,Daviena + The Originote,Medium,Low
reviewjujur_ct6118,reviewjujur_ct6118,4,3.0,0.0,16,Daviena,Daviena,Daviena + The Originote,Medium,Low
dearskin_ct1358,dearskin_ct1358,4,3.0,0.0,16,Daviena,Daviena,Daviena + The Originote,Medium,Low
testireal_ct35011,testireal_ct35011,3,3.0,0.0,74,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low
beautyaddict_ct2423,beautyaddict_ct2423,4,3.0,0.0,16,Daviena,Daviena,Daviena + The Originote,Medium,Low
skinlover_ct7606,skinlover_ct7606,4,2.7857142857142856,8.326903113706638e-06,90,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,Low
reviewjujur_ct7045,reviewjujur_ct7045,4,2.7857142857142856,5.273705305347537e-05,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
skinreview_r3c04m00x5770,skinreview_r3c04m00x5770,3,2.732142857142857,0.0,204,Azarine,Azarine,Azarine,High,Low
produkjujur_r3c00m00x5907,produkjujur_r3c00m00x5907,3,2.732142857142857,0.0,181,Azarine,Azarine,Azarine,High,Low
racun_rr28461,racun_rr28461,2,2.5357142857142856,5.551268742471092e-06,133,Daviena,Daviena,Daviena + The Originote,Medium,Low
beautyaddict_ct10959,beautyaddict_ct10959,2,2.5,0.0,14,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
skinclub_ct6649,skinclub_ct6649,2,2.5,0.0,14,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
cantik_ct95823,cantik_ct95823,2,2.5,0.0,14,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
racikcantik_r3c08m02x8325,racikcantik_r3c08m02x8325,4,2.2857142857142856,0.0,182,Daviena,Daviena,Daviena,High,Medium
kulitkece_r3c01m01x2583,kulitkece_r3c01m01x2583,4,2.2857142857142856,0.0,169,Daviena,Daviena,Daviena,High,Low
racikcantik_r3c08m01x2011,racikcantik_r3c08m01x2011,4,2.2857142857142856,0.0,182,Daviena,Daviena,Daviena,High,Medium
ulasankilat_r3c07m03x2101,ulasankilat_r3c07m03x2101,4,2.2857142857142856,0.0,206,Maryame,Maryame,Maryame,High,Medium
racikcantik_r3c08m03x4529,racikcantik_r3c08m03x4529,4,2.2857142857142856,0.0,182,Daviena,Daviena,Daviena,High,Medium
racikcantik_r3c08m04x3650,racikcantik_r3c08m04x3650,4,2.2857142857142856,0.0,182,Daviena,Daviena,Daviena,High,Medium
ulasankilat_r3c07m02x4325,ulasankilat_r3c07m02x4325,4,2.2857142857142856,0.0,206,Maryame,Maryame,Maryame,High,Medium
ulasankilat_r3c07m01x9795,ulasankilat_r3c07m01x9795,4,2.2857142857142856,0.0,206,Maryame,Maryame,Maryame,High,Medium
kulitkece_r3c01m04x8079,kulitkece_r3c01m04x8079,4,2.2857142857142856,0.0,169,Daviena,Daviena,Daviena,High,Low
kulitkece_r3c01m03x9803,kulitkece_r3c01m03x9803,4,2.2857142857142856,0.0,169,Daviena,Daviena,Daviena,High,Low
kulitkece_r3c01m02x7223,kulitkece_r3c01m02x7223,4,2.2857142857142856,0.0,169,Daviena,Daviena,Daviena,High,Low
ulasankilat_r3c07m04x5222,ulasankilat_r3c07m04x5222,4,2.2857142857142856,0.0,206,Maryame,Maryame,Maryame,High,Medium
cantik_ct6414,cantik_ct6414,3,2.25,0.0,90,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,Low
racun_ct5624,racun_ct5624,3,2.25,0.0,90,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,Low
skincare_ct1453,skincare_ct1453,3,2.25,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
beautyvibe_ct5449,beautyvibe_ct5449,3,2.25,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low
reviewjujur_ct9800,reviewjujur_ct9800,3,2.25,0.0,130,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low
reviewjujur_ct33360,reviewjujur_ct33360,3,2.25,0.0,130,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low
kulitglowing_ct4137,kulitglowing_ct4137,3,2.25,0.0,90,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,Low
glowup_ct8724,glowup_ct8724,3,2.25,0.0,130,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low
glowingid_ct69471,glowingid_ct69471,3,2.25,0.0,130,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low
produkjujur_r3c00m02x8296,produkjujur_r3c00m02x8296,3,2.1607142857142856,0.0,181,Azarine,Azarine,Azarine,High,Low
produkjujur_r3c00m01x6024,produkjujur_r3c00m01x6024,3,2.1607142857142856,0.0,181,Azarine,Azarine,Azarine,High,Low
produkjujur_r3c00m03x5660,produkjujur_r3c00m03x5660,3,2.1607142857142856,0.0,181,Azarine,Azarine,Azarine,High,Low
skinreview_r3c04m01x7927,skinreview_r3c04m01x7927,3,2.1607142857142856,0.0,204,Azarine,Azarine,Azarine,High,Low
skinreview_r3c04m02x8520,skinreview_r3c04m02x8520,3,2.1607142857142856,0.0,204,Azarine,Azarine,Azarine,High,Low
skinreview_r3c04m03x3054,skinreview_r3c04m03x3054,3,2.1607142857142856,0.0,204,Azarine,Azarine,Azarine,High,Low
testireal_ct62779,testireal_ct62779,2,2.0,0.0,73,Daviena,Daviena,Daviena + Maryame,Medium,Low
skinclub_ct15395,skinclub_ct15395,2,2.0,0.0,73,Daviena,Daviena,Daviena + Maryame,Medium,Low
bestieku_ct70500,bestieku_ct70500,2,2.0,0.0,73,Daviena,Daviena,Daviena + Maryame,Medium,Low
beautyvibe_rp66426,beautyvibe_rp66426,2,1.875,2.7700831024930747e-06,58,Daviena,Daviena,Daviena,High,Low
glowingid_rp61402,glowingid_rp61402,1,1.7321428571428572,0.0,133,Daviena,Daviena,Daviena + The Originote,Medium,Low
reviewjujur_rp60551,reviewjujur_rp60551,1,1.6071428571428572,0.0,62,Maryame,Mixed_3plus_Brands,Maryame + Daviena + The Originote,Medium,Low
beautyaddict_rr41856,beautyaddict_rr41856,2,1.6071428571428572,2.775634371235546e-06,34,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low
beautyvibe_rp82732,beautyvibe_rp82732,1,1.5892857142857144,0.0,52,Azarine,Azarine,Azarine + Daviena,High,Low
beautyaddict_rr42909,beautyaddict_rr42909,2,1.3035714285714286,8.326903113706638e-06,184,The Originote,The Originote,The Originote,High,Low
skinclub_rr29031,skinclub_rr29031,2,1.3035714285714286,5.540166204986149e-06,184,The Originote,The Originote,The Originote,High,Low
kulitcerah_rr59853,kulitcerah_rr59853,1,1.0714285714285714,0.0,58,Daviena,Daviena,Daviena,High,Low
skintok_rr45965,skintok_rr45965,1,1.0714285714285714,0.0,47,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low
