hcc_id,n_representative_comments,representative_comment_ids,ai_hcc_goal_review,ai_hcc_goal_reason,ai_hcc_review_confidence,observed_message_orientation,ambiguity_notes,algorithmic_goal_orientation,algorithmic_goal_confidence,exact_match,notes
16,9,7362041054177133318;7381995413827994373;7215557565584556827;7384704331185275653;7228923568385016602;7230391696490922779;7406543198862656262;7346603036393358086;7476838055463699220,Polarized / Contested,"AI-assisted review of representative comments: pos=3, neu=3, neg=3, non-evaluable=0.",Medium,Mixed,code_mixing;emoji_only;mixed_sentiment;question;slang;very_short,Polarized / Contested,Low,True,AI HCC review is not human gold-standard validation.
168,6,6482284230013477621;5639946690274815388;4115195171599700798;7313724069540233926;2247728738591229934;5577595215396698643,Insufficient Text,"AI-assisted review of representative comments: pos=4, neu=0, neg=0, non-evaluable=2.",Low,Positive,mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,False,AI HCC review is not human gold-standard validation.
17,10,7363998863261729542;INJ000614;7271123143014793989;7363643457498137349;7322052802540012294;7425451927452992262;7526059026929861383;7424296486823969541;7424308118375957253;7327545322576724741,Mixed Goals,"AI-assisted review of representative comments: pos=4, neu=4, neg=1, non-evaluable=1.",Medium,Mixed,code_mixing;mixed_or_low_margin;mixed_sentiment;question;slang,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
18,10,7212671125078852379;7187411293325443866;7225216341699101467;7353959109057905414;7478792765121659654;7212228034987377435;7266418922822992646;7458434781459350277;7545311658459120400;7262614175997707013,Mixed Goals,"AI-assisted review of representative comments: pos=3, neu=4, neg=2, non-evaluable=1.",Medium,Neutral,emoji_only;mixed_or_low_margin;question;slang;very_short,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
180,4,1120417050812510865;3479600655386343107;5432204214054912525;8673776318633053118,Insufficient Text,"AI-assisted review of representative comments: pos=3, neu=0, neg=0, non-evaluable=1.",Low,Positive,mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,False,AI HCC review is not human gold-standard validation.
181,5,1951193967005749924;7430611441139801988;5704277596894866158;6461426554859822234;3130572312488655879,Insufficient Text,"AI-assisted review of representative comments: pos=4, neu=0, neg=0, non-evaluable=1.",Low,Positive,mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,False,AI HCC review is not human gold-standard validation.
182,10,7206752987967456026;7403760816433955590;7431806678830842632;7455090730806067976;7589081109704868626;7587005908417315591;7587266534801851144;7188486834064868122;7586857330714805013;7188853137834705690,Neutral Engagement,"AI-assisted review of representative comments: pos=1, neu=5, neg=2, non-evaluable=2.",Medium,Neutral,code_mixing;mixed_or_low_margin;mixed_sentiment;question;slang;very_short,Critical / Complaint,Medium,False,AI HCC review is not human gold-standard validation.
183,10,7477697204237386504;INJ000211;7472563885531693832;7499000663357408001;7180737424883598107;7341258476125029126;7514788290810659602;7501605610233742088;7132828144236004123;7135743830734111514,Polarized / Contested,"AI-assisted review of representative comments: pos=4, neu=1, neg=3, non-evaluable=2.",Medium,Positive,code_mixing;emoji_only;question;slang;url_or_mention_only;very_short,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
191,6,6036476188061241421;5509325049760031625;6028184914370552828;3357919827728827297;6123588541141674433;6527922697176837947,Promotional / Supportive,"AI-assisted review of representative comments: pos=4, neu=2, neg=0, non-evaluable=0.",Medium,Positive,mixed_sentiment;slang,Promotional / Supportive,High,True,AI HCC review is not human gold-standard validation.
2,10,7424164420710220550;7627431540138132231;7442612548783047442;7423212636164915974;7487241657223447314;7432269383719240456;7432552691429327624;7425577372240659205;7425170541156188936;7445477815518282516,Mixed Goals,"AI-assisted review of representative comments: pos=1, neu=5, neg=4, non-evaluable=0.",High,Neutral,descriptive;mixed_sentiment;question;slang,Polarized / Contested,Low,False,AI HCC review is not human gold-standard validation.
20,10,7500395959520871176;7367386314817929990;7423897921953891078;7188810493946053402;7285710715133641477;7506733608762655506;7441704201270477586;7421324117754446597;7287092372855915270;7424191060764754694,Neutral Engagement,"AI-assisted review of representative comments: pos=1, neu=5, neg=2, non-evaluable=2.",Medium,Neutral,descriptive;potential_sarcasm;question;slang;url_or_mention_only;very_short,Polarized / Contested,Low,False,AI HCC review is not human gold-standard validation.
204,6,2516721591643168867;2201360266726941748;2408027533146357674;1522152682623702145;1307710923172772611;3670840380520569227,Neutral Engagement,"AI-assisted review of representative comments: pos=1, neu=4, neg=0, non-evaluable=1.",Medium,Neutral,mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,False,AI HCC review is not human gold-standard validation.
205,6,2662677076706837918;5087243669979481359;5456578750709081657;2577835731351501908;5559249061176087542;1008610699660969329,Promotional / Supportive,"AI-assisted review of representative comments: pos=6, neu=0, neg=0, non-evaluable=0.",Medium,Positive,mixed_sentiment;slang,Promotional / Supportive,High,True,AI HCC review is not human gold-standard validation.
206,7,2224056166846463243;2679109731983884069;2428129315745112381;6467996550131976124;6494465735179450673;3396407627525565695;5034869011328408334,Promotional / Supportive,"AI-assisted review of representative comments: pos=4, neu=2, neg=0, non-evaluable=1.",Medium,Positive,mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,True,AI HCC review is not human gold-standard validation.
3,9,7392860246442312453;7212222783421432603;7191421222746555162;7424629424719282949;7426625165825671942;7424298122693755653;7231539128155013915;7197189217067664155;7424196381785867014,Neutral Engagement,"AI-assisted review of representative comments: pos=2, neu=5, neg=2, non-evaluable=0.",Medium,Neutral,code_mixing;question;slang;very_short,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
34,7,INJ000407;INJ000503;INJ000408;7390363726446117638;7421429320809743109;7451175550620926721;7418893608068023045,Mixed Goals,"AI-assisted review of representative comments: pos=3, neu=2, neg=1, non-evaluable=1.",Medium,Positive,code_mixing;emoji_only;mixed_sentiment;potential_sarcasm;slang,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
42,6,3373501901309145921;1907954845513471170;3500405351445003876;6264831292812822701;5780269151496673584;7142325977097518800,Insufficient Text,"AI-assisted review of representative comments: pos=4, neu=0, neg=0, non-evaluable=2.",Low,Positive,mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,False,AI HCC review is not human gold-standard validation.
45,10,7512779466701325073;7429639802561692424;7525164072393376530;7432307168924533509;7426515566775239429;7572798974701716232;7431584077281559304;7315981839272968966;7446671960915903240;7461630946778301202,Neutral Engagement,"AI-assisted review of representative comments: pos=2, neu=5, neg=2, non-evaluable=1.",Medium,Neutral,code_mixing;emoji_only;question;slang,Promotional / Supportive,Low,False,AI HCC review is not human gold-standard validation.
46,10,7420711679492719365;7557590008782275335;7308705026426290949;7317274180696818437;7225191942787187482;7317156874541302533;7356999748694065926;7237868853086307077;7585603926628778770;7513896655944844040,Mixed Goals,"AI-assisted review of representative comments: pos=2, neu=3, neg=5, non-evaluable=0.",High,Negative,emoji_only;question;slang;very_short,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
48,9,7428617808802333458;7596222672288350977;7322964875817304838;7586941362521047825;7513947477471413010;7532149256339571474;7502267228755313415;7474844743924302600;7320453843472810758,Promotional / Supportive,"AI-assisted review of representative comments: pos=4, neu=1, neg=2, non-evaluable=2.",Medium,Positive,code_mixing;emoji_only;mixed_sentiment;question;slang;very_short,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
49,9,7289805007997010694;INJ000224;7267931993257329414;7289440939101487878;7360479142289621765;7360678247565312776;7360557112268817153;7471807870934352647;7463809951913476884,Promotional / Supportive,"AI-assisted review of representative comments: pos=4, neu=2, neg=1, non-evaluable=2.",Medium,Positive,emoji_only;mixed_sentiment;question;slang,Promotional / Supportive,Medium,True,AI HCC review is not human gold-standard validation.
5,12,7233000156315697946;7229921224460714757;7585066927115698964;7291148229713494789;7130762251787043611;7461195549389275911;7174382298128024347;7287127448696718086;7458235264864649989;7417050906488881926;7612488293627724562;7544807750623036177,Mixed Goals,"AI-assisted review of representative comments: pos=5, neu=4, neg=2, non-evaluable=1.",High,Positive,mixed_or_low_margin;mixed_sentiment;question;slang;very_short,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
50,11,7425168610413789958;7337571351178478342;7313610286967309061;7206314581315699483;7424558533935596293;7319427771931280134;7422232301323436805;7330858042642596614;7424366481872782085;7183718224822551322;7216563374971683611,Mixed Goals,"AI-assisted review of representative comments: pos=4, neu=5, neg=2, non-evaluable=0.",High,Neutral,descriptive;emoji_only;question;slang;very_short,Polarized / Contested,Low,False,AI HCC review is not human gold-standard validation.
52,11,7397079401265005318;7453127536219947783;7377269312379765509;7378146532297048837;7433262558532748050;7320140230308594437;7381871600696279813;7386158318811890437;7542358052894475025;7419686295062397701;7397321676899271430,Mixed Goals,"AI-assisted review of representative comments: pos=5, neu=3, neg=3, non-evaluable=0.",High,Positive,code_mixing;emoji_only;question;slang;very_short,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
54,11,7312876641495204614;7596250295992238849;7317056400035087110;7629392805068391186;7629393372600599304;7455926382796620564;7587050897827775249;7324739962342327045;7609173121056965397;7314932533648032517;7322002509081379589,Mixed Goals,"AI-assisted review of representative comments: pos=3, neu=5, neg=3, non-evaluable=0.",High,Neutral,mixed_sentiment;potential_sarcasm;question;slang,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
60,5,INJ000652;INJ000628;INJ000629;7385019751414563589;7397983670956655366,Mixed Goals,"AI-assisted review of representative comments: pos=1, neu=2, neg=2, non-evaluable=0.",Medium,Mixed,question;slang,Promotional / Supportive,High,False,AI HCC review is not human gold-standard validation.
63,9,INJ000621;INJ000256;INJ000579;7205365249477477146;7591103282261967637;7442714907071791927;7426747347354026757;7361337311668683526;INJ000623,Mixed Goals,"AI-assisted review of representative comments: pos=4, neu=3, neg=1, non-evaluable=1.",Medium,Positive,descriptive;mixed_or_low_margin;mixed_sentiment;potential_sarcasm;question;slang,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
74,8,7328943118806745861;7544712267066802962;7368874537985442565;7422594212619928325;7481814224018424584;7431213797263000326;7589582368261276434;7570494658955641618,Neutral Engagement,"AI-assisted review of representative comments: pos=1, neu=5, neg=0, non-evaluable=2.",Medium,Neutral,emoji_only;mixed_or_low_margin;mixed_sentiment;question;slang;very_short,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
75,10,7428623042031420165;7376914060535005958;7214765278814208773;7362588302208418566;7167935907470476059;7180331386376471322;7197658509864715035;7395035805792240390;7361367850408739590;7366098620573467397,Neutral Engagement,"AI-assisted review of representative comments: pos=2, neu=6, neg=0, non-evaluable=2.",Medium,Neutral,code_mixing;descriptive;mixed_or_low_margin;mixed_sentiment;question;slang,Promotional / Supportive,Low,False,AI HCC review is not human gold-standard validation.
87,10,7226297707651318554;INJ000595;7596294682726105872;7188501489102029574;7224442277632443163;7349800291263841029;7601343992638620437;7188520636834054938;7448910282967827216;7447018602354590472,Neutral Engagement,"AI-assisted review of representative comments: pos=2, neu=5, neg=0, non-evaluable=3.",Medium,Neutral,code_mixing;emoji_only;mixed_or_low_margin;mixed_sentiment;question;slang;very_short,Promotional / Supportive,Low,False,AI HCC review is not human gold-standard validation.
90,8,7272943984077882118;7335444265679602437;7323919118817018629;7428881440039469830;7388451837626745605;7372526561021641477;7398528735296111365;7416369533113352966,Neutral Engagement,"AI-assisted review of representative comments: pos=2, neu=6, neg=0, non-evaluable=0.",Medium,Neutral,emoji_only;question;slang;very_short,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
99,8,7923745513561139603;8659253507761559267;5011940440659066075;3479460057990512310;6045011306607764494;2028757585178122090;7266967601207537266;8810332818429102933,Promotional / Supportive,"AI-assisted review of representative comments: pos=6, neu=2, neg=0, non-evaluable=0.",Medium,Positive,mixed_sentiment;slang,Promotional / Supportive,High,True,AI HCC review is not human gold-standard validation.
