sample_set,comment_id,comment_text_original,video_id,product_category,is_hcc,hcc_id,brand_label_auto,sampling_stratum,sample_probability,sample_weight,heuristic_label_pass1,heuristic_reason_pass1,heuristic_label_pass2,heuristic_reason_pass2,heuristic_reference_label,heuristic_reference_reason,ambiguity_flags,manual_label
development,7586874216371094280,"Dulu pake mantan krim abal2 ci ternyata ada kandungan steroidnya lepas dari itu kena dermatitis.. trus ganti pake skincare paketan BPOM sembuh tpi jerawat on off trus...
lalu sekarang pake resep dari cici.. ampul pink-minimalis dan sooting krim...tpi kalo di pakein bedak tabur susah nempelnya🤣",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;slang,
development,7587404469648032513,"hi ci aku pake fw hadalabo moisturizing,moist g2g brigtening,ss facetology yang oli and acne skin .. tapi muka ku masih kusam,kering kadang"" berminyak dibagian jidat dan hidung .. ini gimana ngatasinya ci ? pliss capee bgt gada yang cocok",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,mixed_sentiment;question;slang,
development,7586981334897394439,"kakk, mau nanya, aku baru kak... aku jerawatan mendem besar dan byk kak, tipkul kombinasi, fw aku pake cetaphil kak. gimana bagusnya kak? makasii kakk ❤️",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,Pass 1 dan pass 2 konsisten.,mixed_sentiment;question;slang,
development,7587266534801851144,"ci tolonggg klo muka kusam, warna muka ga merata, bruntusan bagusnya make apa ya ci?, sy mke fw innisfree, ampoul skin 1004 yg putih sma coklat, tone brightening caps cream skin 1004, ss skin 1004 tub biru tpi gaada perubahan, bingung bagusan mois minimalist atau illiyoon, atau ad rekomendasi ci yg bagus buat kondisi kulit trsrb apa 🥹",7586827398084136200,azarine_retinol,True,182,Not identified,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;question;slang,
development,7587284554609050388,"ampoule pink dan minimalist b5 kalo mukamu berminyak
ampoule pink dan illiyoon kalo kering
brightening nya simpen
ada di etalase aku yaaa, nnti aku bahas produk nya di live. co tengah malam pas payday biar dapet harga ambyar ❤",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7587083754239214344,"beresin dulu sensitive nya pakai illyoon barengin sama ampoule pink juga.
pakai pagi malam setiap hari, jerawat nya totolin minimalist
co bsk pas payday ada harga ambyarrr tentunya🔥",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7586893070479082248,"belum nemu fw yng cocok ci, saranin fw yng cocok ke semua jenis kulit, kombinasi jerawat beruntusan",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;slang,
development,7592051181234750229,"ci review ss azarine juga dong yg cicamide, soal nya aku pake itu dari dulu. bagus gk buat yg lagi basic?🥰🥰",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,Pass 1 dan pass 2 konsisten.,code_mixing;question;slang,
development,7586989507682779924,"Cici aku udah ngikutin resep cici pori”ku udah mengecil kulitku juga lebih lembab, tapi masih muncul jerawat kayak kecil” di daerah dagu ci , itu bagaimana ci ?",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;question;slang,
development,7587340302005322504,"ciiii ini kondisi wajahkuuu. warna kulit tidak rata, bruntusan, jerawat kecil, close comedo, pori pori besar di area pipi dan kusam. aku pakai basic skincare aja ce, belum pernah pakai retino atau vitacid. fw himalaya, moisturizer cosrx / skin1004 yg B5, ss wardah",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,mixed_sentiment;slang,
development,7587050897827775249,"ci fw hadalabo
moist soothing cream ss sk 1004 ttp biru bruntusan aku berkurang tapi muka aku kusem ci, aku antar jemput ank skolah panas panasan.
awal muka aku g kenapa knpa cmn mau ngilangin komedo doang trs fomo pke fw scora alhasil muka aku bruntusan jerawat mendem. tapi skrg udh mendingan berkat ikutin saran cici cmn kusem ci aku hrs bagaimana. cc @azarinecosmetic",7586827398084136200,azarine_retinol,True,54,Azarine,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,question;slang,
development,7587047004062302984,"ci aku seminggu pake ampul pink, minimaliss buat totol bruntusan, moist hyalu buat malam, pagi pke shooting cream. Ini kok bruntusanku jadi keluar semua agak merah2, cekit2 gatel ya ci. Itu aman dilanjut apa gak cocok ya ci?
bruntusan kan keluar semua ya ci, boleh gak minimalist dioles ke seluruh muka setelah moist hyalu ci ? soalnya bruntus close comedo banyak yang keluar di dagu, dahi, pipi paling panyak ci.🙏",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,mixed_sentiment;potential_sarcasm;question;slang,
development,7586986926215463688,"Cii kulit aku kering kadang gatel2, ada bekas jerawat dan close comedo dipipi. Sekarang aku pake fw fecerinna, ampoule pink, moist hyalu cica dan ss ffy ci. Itu udah bener gak ci?🥺 minta jawaban @azarinecosmetic",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,question;slang,
development,7586941362521047825,"ci aku pengikut cici yang baru aku boleh tanya ga ci? tipe kulit aku berminyak cm di area t-zone aja,jerawat 1-3, close comedo, kusem, pori' gede, bekas jerawat pie pih co itu gimna ngilangin nya 😭😭 udah bener' capek banget ci tolongin bangett😭 aku harus pake apa ya ci boleh minta saran ga ci?",7586827398084136200,azarine_retinol,True,48,Mixed_3plus_Brands,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,mixed_sentiment;question;slang,
development,5245494283788784464,"akhirnya nemu azarine retinol yang cocok, gak bikin breakout sama sekali",7586827398084136200,azarine_retinol,True,180,Azarine,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,Pass 1 dan pass 2 konsisten.,code_mixing;mixed_sentiment;slang,
development,7587056804390142727,"ci minta tolong dong rekomendasiin mois kulit kering selain hale biru mau tk buat pas makeup aja biar gk longsor.. pake hale biru jerawat jarang banget munculnya cm pori"" yg masih gede dan agak bruntusan",7586827398084136200,azarine_retinol,True,54,Azarine,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;mixed_sentiment;slang,
development,7426981294342865669,"mksih bgt kak infonya,kl vit c+moist g2glow yg ada niacinamide nya aman?",7270117302614478086,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,code_mixing;low_margin;question;slang,
development,7319866693185585925,"sama kak di aku juga malah jerawatan kalo pake niacin, kalo yg retinol jujur bagus bgt",7270117302614478086,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;slang,
development,7271123143014793989,"ka, klo pake retinol,sma niacin trus moistnya pake the originote yg ceratin retinoid boleh ga yah?",7270117302614478086,azarine_retinol,True,17,Mixed_3plus_Brands,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7323202371864658693,habis pakai ini trus pakai cream malam ms glow boleh gak? #skincareroutine harian wajib coba dan juga #skincaretips penting banget,7270117302614478086,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Neutral,Pertanyaan atau permintaan informasi tanpa evaluasi produk.,Neutral,Pertanyaan atau permintaan informasi tanpa evaluasi produk.,Neutral,Pass 1 dan pass 2 konsisten.,code_mixing;question;slang,
development,7320174726084772613,𝚋𝚞𝚊𝚝 𝚔𝚞𝚕𝚒𝚝 𝚋𝚎𝚛𝚖𝚒𝚗𝚢𝚊𝚔 𝚋𝚒𝚜𝚊 𝚐𝚊 𝚔𝚊𝚔?𝚖𝚊𝚞 𝚌𝚘𝚋𝚊 𝚊𝚣𝚊𝚛𝚒𝚗𝚎,7270117302614478086,azarine_retinol,True,17,Mixed_3plus_Brands,human_validated|development,1.0,1.0,Uncertain,Emoji/simbol tanpa valensi yang cukup jelas.,Uncertain,Emoji/simbol tanpa valensi yang cukup jelas.,Uncertain,Pass 1 dan pass 2 konsisten.,emoji_only,
development,7398888704423740166,sekarang gimana? masih dilanjut ga kak?,7313383346447322373,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Neutral,Pertanyaan atau permintaan informasi tanpa evaluasi produk.,Neutral,Pertanyaan atau permintaan informasi tanpa evaluasi produk.,Neutral,Pass 1 dan pass 2 konsisten.,question;slang,
development,7373308421233181446,Purging gak kak ?,7313383346447322373,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7322964875817304838,klo di gabungin sma toner retinol avoskin aman nggk ya kak?,7313383346447322373,azarine_retinol,True,48,Mixed_3plus_Brands,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7576087834205963024,approved si di aku tapi pemakaian setengah baru kliatan jadi gak langsung dan gak SE gong itu 7/10 lah di kulit aku yg kering gampang kusem mencerahkan nya gak kliatan si di aku😅,7313383346447322373,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;slang,
development,7629393372600599304,sama ngga sih? aku lgsung beli sunscreen 2pcs dan ada free ini di official nya lgsung. tp kok kliatan beda. aku mau pake tp raguu #azarinecosmetic emang terbaik dan juga #skincaretips penting banget,7313383346447322373,azarine_retinol,True,54,Azarine,human_validated|development,1.0,1.0,Neutral,Pertanyaan atau permintaan informasi tanpa evaluasi produk.,Neutral,Pertanyaan atau permintaan informasi tanpa evaluasi produk.,Neutral,Pass 1 dan pass 2 konsisten.,potential_sarcasm;question;slang,
development,7325016522207494918,"btw boleh ngga klo pke retinol ini fw, mois, ss sm toner 1 paket dr azarine juga yang buat muka berminyak sama pori"" besar",7313383346447322373,azarine_retinol,True,48,Mixed_3plus_Brands,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;slang,
development,7428617808802333458,mba sy pake cream pagi dan malam dari dokter klau pake retinol bisa misal cuci muka trs langsung pake retinol apa gmn hasilnya #glowingskin bgt #skincaretips wajib dicoba,7313383346447322373,azarine_retinol,True,48,Mixed_3plus_Brands,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,code_mixing;low_margin;slang,
development,7366843331944628997,"reallll, jerawat jg cepet kempes dan mendingan pake ini",7313383346447322373,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;slang,
development,7392615078329172742,berminyak dan berjerawat bisa pake ga?,7313383346447322373,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,question;slang,
development,7365480615469056773,buat kulit kering bagus yg mana min,7313383346447322373,azarine_retinol,True,54,Azarine,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;question;slang,
development,7320194971344012038,pake 2x udh alus 🤣 curiga make 3bln glowing maksimallll 🥰🥰,7313383346447322373,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,Pass 1 dan pass 2 konsisten.,slang,
development,7355036012436882181,bikin purging ga ya pratistaa??,7185096421220158747,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7209486534167692059,"ngaruh bngt di aku yaa, malem pake pas pagi muka jdi kenyal trus pori² mengecil jerawat bruntusan ilang cuma 2 kali pake doang.",7185096421220158747,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;mixed_sentiment;slang,
development,7209479424486589211,"emang ampuh ya kak ngilangin beruntusan?
terus bisa ngecilin pori2 gak",7185096421220158747,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7189785387321197339,the originote brp prsen retinol nya? cocok ga buat yang baru mulaii retinol? mau coba tp msi tkut wkwk,7185096421220158747,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,Pass 1 dan pass 2 konsisten.,potential_sarcasm;question;slang,
development,7228943450627818266,retinol the originote sm retinol azarine bagusan mana buat kulit normal umur 18th cuma ada bkas jrwt & kusam?? tlng dijawab y k,7185096421220158747,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,low_margin;mixed_sentiment;question;slang,
development,7185207886296711963,"1. waktu pake pratista cuma 1 botol ukuran 10ml di kulit aku yg typenya oily gampang jerawatan bisa kontrol jerawat, sekalinya mun",7185096421220158747,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,
development,7234410797719585542,kak klo warna kulit gk rata dan agak kering lebih ke the originote atau pratistha? 🙏🙏,7185096421220158747,azarine_retinol,True,54,Azarine,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,Pass 1 dan pass 2 konsisten.,mixed_sentiment;question;slang,
development,7208468520174600986,"pantes gw pakek retinolnya azarine dh abis 2 btol mskipun lama cerahnya tp komedo minggat,next mw cba yg the originote,cp tw ada hasil mencerahkan😅",7185096421220158747,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,low_margin;mixed_sentiment;slang,
