level,entity,hard_positive_share,hard_neutral_share,hard_negative_share,soft_positive_share,soft_neutral_share,soft_negative_share,absolute_positive_difference,aggregation_used_for_goal_orientation,notes
hcc,99,0.9285714285714286,0.0,0.07142857142857142,0.806855310537817,0.09628699577338663,0.0968576936887963,0.1217161180336116,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,103,0.13333333333333333,0.6,0.26666666666666666,0.10641335944377008,0.6251911252936035,0.26839551526262645,0.026919973889563256,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,113,1.0,0.0,0.0,0.9627615645101629,0.023859992584014698,0.01337844290582228,0.037238435489837074,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,114,1.0,0.0,0.0,0.8960745294044454,0.07583915661856312,0.02808631397699132,0.10392547059555457,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,117,0.058823529411764705,0.8235294117647058,0.11764705882352941,0.10282039765262493,0.6787921565314171,0.21838744581595804,0.04399686824086023,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,132,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.1236773331773387,0.4876806006905338,0.3886420661321275,0.03276824226824779,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,134,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.3287064717823351,0.315419567916284,0.3558739603013809,0.09986495678909346,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,150,0.27906976744186046,0.4418604651162791,0.27906976744186046,0.23305551270179667,0.39071943918380686,0.3762250481143964,0.04601425474006379,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,168,1.0,0.0,0.0,0.9492341358958576,0.04285546512841261,0.007910398975729814,0.05076586410414241,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,180,1.0,0.0,0.0,0.9463300688586378,0.04019087233135026,0.013479058810011888,0.053669931141362204,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,181,1.0,0.0,0.0,0.9172844088567463,0.055880226195405516,0.026835364947848255,0.08271559114325366,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,182,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.13928005259518522,0.4227860997219976,0.43793384768281723,0.028168941484074117,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,183,0.3,0.35,0.35,0.2681501447093397,0.3388305387147204,0.3930193165759399,0.03184985529066031,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,191,0.9130434782608695,0.0,0.08695652173913043,0.8491619703793539,0.04747992337460994,0.10335810624603609,0.06388150788151559,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,204,0.9444444444444444,0.0,0.05555555555555555,0.9108739945408291,0.022797898934349504,0.06632810652482153,0.03357044990361535,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,205,1.0,0.0,0.0,0.935094072966845,0.04556784508385857,0.019338081949296388,0.06490592703315501,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,206,0.9130434782608695,0.0,0.08695652173913043,0.832786017180439,0.05068863487640321,0.11652534794315791,0.08025746108043053,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,Azarine,0.4727272727272727,0.33636363636363636,0.19090909090909092,0.4577866917961561,0.3010727269467853,0.24114058125705864,0.01494058093111661,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,Daviena,0.4976958525345622,0.2857142857142857,0.21658986175115208,0.4536701426986361,0.2956139030516382,0.25071595424972565,0.04402570983592613,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,Maryame,0.6242038216560509,0.22929936305732485,0.1464968152866242,0.5654129155982444,0.22674226043116696,0.2078448239705888,0.05879090605780657,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,Mixed_2_Brands,0.2830188679245283,0.4528301886792453,0.2641509433962264,0.2766874893804361,0.4331023505733003,0.2902101600462637,0.006331378544092214,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,Mixed_3plus_Brands,0.22950819672131148,0.5245901639344263,0.2459016393442623,0.21813382482192606,0.4640967674455033,0.3177694077325706,0.011374371899385421,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,Non-HCC,0.1932598833441348,0.494750486066105,0.3119896305897602,0.20595213354821135,0.44764158210761734,0.3464062843441713,0.01269225020407655,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,Not identified,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.13928005259518522,0.4227860997219976,0.43793384768281723,0.028168941484074117,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
brand,The Originote,0.4343891402714932,0.36199095022624433,0.20361990950226244,0.41493915283132016,0.3465456421720474,0.23851520499663248,0.019449987440173067,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
