source,target,weight,n_evidence,co_conv,co_reply,co_temporal,co_hashtag,co_similarity_char5
beautyaddict_rr41856,glowhunter_cp9145,0.8035714285714286,2,3,3.0,0.0,12,0.0053
beautyaddict_rr41856,kulitsehat_rp54793,0.8035714285714286,2,3,3.0,0.0,8,0.0128
beautyaddict_rr42909,skinbestie_ct9114,0.8035714285714286,2,3,3.0,0.0,3,0.0029
beautyfess_r3c05m00x6415,beautyfess_r3c05m01x4347,1.0357142857142856,3,3,2.0,3.0,13,0.3634
beautyfess_r3c05m00x6415,beautyfess_r3c05m02x6049,1.0357142857142856,3,3,2.0,3.0,13,0.507
beautyfess_r3c05m00x6415,beautyfess_r3c05m03x8357,1.0357142857142856,3,3,2.0,3.0,13,0.3642
beautyfess_r3c05m00x6415,beautyfess_r3c05m04x3629,1.0357142857142856,3,3,2.0,3.0,13,0.5632
beautyfess_r3c05m01x4347,beautyfess_r3c05m02x6049,0.75,2,3,0.0,3.0,13,0.3018
beautyfess_r3c05m01x4347,beautyfess_r3c05m03x8357,0.75,2,3,0.0,3.0,13,0.6147
beautyfess_r3c05m01x4347,beautyfess_r3c05m04x3629,0.75,2,3,0.0,3.0,13,0.4527
beautyfess_r3c05m02x6049,beautyfess_r3c05m03x8357,0.75,2,3,0.0,3.0,13,0.4529
beautyfess_r3c05m02x6049,beautyfess_r3c05m04x3629,0.75,2,3,0.0,3.0,13,0.3006
beautyfess_r3c05m03x8357,beautyfess_r3c05m04x3629,0.75,2,3,0.0,3.0,13,0.6316
beautyvibe_ct13413,racun_ct40815,1.5,2,6,0.0,6.0,21,0.0433
beautyvibe_ct13413,reviewjujur_ct43520,1.5,2,6,0.0,6.0,21,0.0492
beautyvibe_ct13413,testireal_ct49360,1.5,2,6,0.0,6.0,21,0.0524
beautyvibe_ct18973,bestieku_ct63780,0.75,2,3,0.0,3.0,10,0.0
beautyvibe_ct18973,glowhunter_ct68859,0.75,2,3,0.0,3.0,10,0.0255
beautyvibe_ct18973,kulitglowing_ct71939,0.75,2,3,0.0,3.0,10,0.0883
beautyvibe_ct18973,racun_ct19392,0.75,2,3,0.0,3.0,10,0.0945
beautyvibe_ct18973,reviewjujur_ct84556,0.75,2,3,0.0,3.0,10,0.027
beautyvibe_ct18973,skinclub_ct998,0.75,2,3,0.0,3.0,10,0.0266
beautyvibe_ct2527,skincare_ct7727,0.75,2,3,0.0,3.0,6,0.0
beautyvibe_ct2527,skinclub_ct2318,0.75,2,3,0.0,3.0,6,0.0
beautyvibe_ct53672,bestieku_ct63653,1.5,2,6,0.0,6.0,21,0.0537
beautyvibe_ct53672,glowhunter_ct43630,1.5,2,6,0.0,6.0,21,0.0613
beautyvibe_ct53672,kulitcerah_ct92565,1.5,2,6,0.0,6.0,21,0.0396
beautyvibe_ct53672,testireal_ct48546,1.5,2,6,0.0,6.0,21,0.045
beautyvibe_ct5449,cantik_ct9210,0.75,2,3,0.0,3.0,10,0.138
beautyvibe_ct5449,reviewjujur_ct7045,0.75,2,3,0.0,3.0,10,0.0551
beautyvibe_ct5449,skincare_ct1453,0.75,2,3,0.0,3.0,10,0.0402
beautyvibe_ct6553,cantik_ct3821,0.75,2,3,0.0,3.0,21,0.0193
beautyvibe_ct6553,dearskin_ct1243,0.75,2,3,0.0,3.0,21,0.0174
beautyvibe_ct6553,skincare_ct8136,0.75,2,3,0.0,3.0,21,0.0167
beautyvibe_ct6553,skinlover_ct4123,0.75,2,3,0.0,3.0,21,0.0399
beautyvibe_ct7323,cantik_ct3314,0.75,2,3,0.0,3.0,10,0.0211
beautyvibe_ct7323,dearskin_ct6747,0.75,2,3,0.0,3.0,10,0.0208
beautyvibe_ct7323,racun_ct1114,0.75,2,3,0.0,3.0,10,0.0072
beautyvibe_ct7323,skinbestie_ct5848,0.75,2,3,0.0,3.0,10,0.0
beautyvibe_ct7323,skinclub_ct4422,0.75,2,3,0.0,3.0,10,0.0504
beautyvibe_ct78952,kulitcerah_ct29113,2.0,2,8,0.0,8.0,33,0.0457
beautyvibe_ct78952,reviewjujur_ct39243,2.0,2,8,0.0,8.0,33,0.0389
beautyvibe_ct78952,reviewjujur_ct55350,2.0,2,8,0.0,8.0,33,0.0292
beautyvibe_ct78952,reviewjujur_ct97003,2.0,2,8,0.0,8.0,33,0.0464
beautyvibe_ct9600,glowingid_ct11995,0.75,2,3,0.0,3.0,7,0.0614
beautyvibe_ct9600,glowup_ct93477,0.75,2,3,0.0,3.0,7,0.0335
beautyvibe_ct9600,kulitglowing_ct49929,0.75,2,3,0.0,3.0,7,0.0323
beautyvibe_ct9600,racun_ct61657,0.75,2,3,0.0,3.0,7,0.0316
beautyvibe_ct9600,skincare_ct68797,0.75,2,3,0.0,3.0,7,0.0292
beautyvibe_ip8477,kulitsehat_ip5592,0.75,1,6,0.0,0.0,21,0.0731
beautyvibe_ip8477,skincare_ip6366,0.75,1,6,0.0,0.0,21,0.051
beautyvibe_ip8477,skinlover_ip490,0.75,1,6,0.0,0.0,21,0.0584
beautyvibe_ip8477,skinlover_ip9713,0.75,1,6,0.0,0.0,21,0.0546
beautyvibe_rp66426,kulitcerah_rr59853,1.0714285714285714,2,4,4.0,0.0,25,0.018
beautyvibe_rp66426,skinclub_rr74871,0.8035714285714286,2,3,3.0,0.0,24,0.0133
beautyvibe_rp82732,skinclub_ip8582,1.4642857142857144,3,5,5.0,1.0,16,0.0291
bestieku_ct63653,glowhunter_ct43630,1.5,2,6,0.0,6.0,21,0.0218
bestieku_ct63653,kulitcerah_ct92565,1.5,2,6,0.0,6.0,21,0.0504
bestieku_ct63653,testireal_ct48546,1.5,2,6,0.0,6.0,21,0.0378
bestieku_ct63780,glowhunter_ct68859,0.75,2,3,0.0,3.0,10,0.1878
bestieku_ct63780,kulitglowing_ct71939,0.75,2,3,0.0,3.0,10,0.0119
bestieku_ct63780,racun_ct19392,0.75,2,3,0.0,3.0,10,0.0109
bestieku_ct63780,reviewjujur_ct84556,0.75,2,3,0.0,3.0,10,0.0846
bestieku_ct63780,skinclub_ct998,0.75,2,3,0.0,3.0,10,0.0
bestieku_ct70500,skinclub_ct15395,1.0,2,4,0.0,4.0,17,0.049
bestieku_ct70500,testireal_ct62779,1.0,2,4,0.0,4.0,17,0.0201
bestieku_ct74574,skincare_ct78893,1.0,2,4,0.0,4.0,7,0.0177
bestieku_ct74574,skintok_ct53509,1.0,2,4,0.0,4.0,7,0.0104
bestieku_ct74574,testireal_ct35011,1.0,2,4,0.0,4.0,7,0.0106
bestieku_rr99428,glowingid_ct18883,0.625,1,5,0.0,0.0,8,0.0125
bestieku_rr99428,skinlover_ct23275,1.3392857142857144,2,5,5.0,0.0,8,0.0475
bestieku_rr99428,skintok_ct36635,0.625,1,5,0.0,0.0,8,0.004
bestieku_rr99428,skintok_ct98906,0.625,1,5,0.0,0.0,8,0.0076
cantik_ct3314,dearskin_ct6747,0.75,2,3,0.0,3.0,10,0.0136
cantik_ct3314,racun_ct1114,0.75,2,3,0.0,3.0,10,0.0509
cantik_ct3314,skinbestie_ct5848,0.75,2,3,0.0,3.0,10,0.0
cantik_ct3314,skinclub_ct4422,0.75,2,3,0.0,3.0,10,0.004
cantik_ct3821,dearskin_ct1243,0.75,2,3,0.0,3.0,21,0.0355
cantik_ct3821,skincare_ct8136,0.75,2,3,0.0,3.0,21,0.0073
cantik_ct3821,skinlover_ct4123,0.75,2,3,0.0,3.0,21,0.0477
cantik_ct6414,kulitglowing_ct4137,0.75,2,3,0.0,3.0,17,0.0231
cantik_ct6414,racun_ct5624,0.75,2,3,0.0,3.0,17,0.0489
cantik_ct6414,skinlover_ct7606,0.75,2,3,0.0,3.0,17,0.0695
cantik_ct9210,kulitglowing_ct49929,1.875,2,7,7.0,0.0,20,0.0155
cantik_ct9210,reviewjujur_ct7045,0.75,2,3,0.0,3.0,10,0.0354
cantik_ct9210,skincare_ct1453,0.75,2,3,0.0,3.0,10,0.0237
cantik_ct95823,skinclub_ct6649,1.25,2,5,0.0,5.0,16,0.006
cantik_ct99107,glowhunter_ct64974,0.75,2,3,0.0,3.0,12,0.0273
cantik_ct99107,glowingid_ct74353,0.75,2,3,0.0,3.0,12,0.0363
cantik_ct99107,skinlover_ct27853,0.75,2,3,0.0,3.0,12,0.078
cantik_ip9501,glowhunter_ip1923,1.5,2,8,0.0,4.0,38,0.0458
cantik_ip9501,glowhunter_ip8756,1.375,2,8,0.0,3.0,38,0.0291
cantik_ip9501,kulitglowing_ip1790,1.375,2,8,0.0,3.0,38,0.0501
cantik_ip9501,kulitglowing_ip334,1.375,2,8,0.0,3.0,38,0.0462
cantik_ip9501,skinbestie_ip9364,1.375,2,8,0.0,3.0,38,0.0523
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m01x3833,0.9107142857142857,3,3,2.0,2.0,7,0.6111
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m02x7276,0.9107142857142857,3,3,2.0,2.0,7,0.2335
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m03x7677,0.9107142857142857,3,3,2.0,2.0,7,0.4349
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m04x5441,0.9107142857142857,3,3,2.0,2.0,7,0.4533
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m05x2517,0.9107142857142857,3,3,2.0,2.0,7,0.3803
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m02x7276,0.625,2,3,0.0,2.0,7,0.3966
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m03x7677,0.625,2,3,0.0,2.0,7,0.4879
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m04x5441,0.625,2,3,0.0,2.0,7,0.3513
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m05x2517,0.625,2,3,0.0,2.0,7,0.3592
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m03x7677,0.625,2,3,0.0,2.0,7,0.2054
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m04x5441,0.625,2,3,0.0,2.0,7,0.3906
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m05x2517,0.625,2,3,0.0,2.0,7,0.5036
cantiknyata_r3c06m03x7677,cantiknyata_r3c06m04x5441,0.625,2,3,0.0,2.0,7,0.3665
cantiknyata_r3c06m03x7677,cantiknyata_r3c06m05x2517,0.625,2,3,0.0,2.0,7,0.3491
cantiknyata_r3c06m04x5441,cantiknyata_r3c06m05x2517,0.625,2,3,0.0,2.0,7,0.2324
dearskin_ct1243,skincare_ct8136,0.75,2,3,0.0,3.0,21,0.0143
dearskin_ct1243,skinlover_ct4123,0.75,2,3,0.0,3.0,21,0.0
dearskin_ct1358,glowup_ct3809,0.75,2,3,0.0,3.0,9,0.0023
dearskin_ct1358,reviewjujur_ct6118,0.75,2,3,0.0,3.0,9,0.0178
dearskin_ct1358,skinlover_ct8756,0.75,2,3,0.0,3.0,9,0.0
dearskin_ct58033,glowup_ct95907,2.0,2,8,0.0,8.0,20,0.0268
dearskin_ct58033,skincare_ct87875,2.0,2,8,0.0,8.0,20,0.0203
dearskin_ct6747,racun_ct1114,0.75,2,3,0.0,3.0,10,0.0
dearskin_ct6747,skinbestie_ct5848,0.75,2,3,0.0,3.0,10,0.0
dearskin_ct6747,skinclub_ct4422,0.75,2,3,0.0,3.0,10,0.0034
glowcheck_r3c10m00x7594,glowcheck_r3c10m01x2927,1.0357142857142856,3,3,2.0,3.0,11,0.241
glowcheck_r3c10m00x7594,glowcheck_r3c10m02x8990,1.0357142857142856,3,3,2.0,3.0,11,0.6318
glowcheck_r3c10m00x7594,glowcheck_r3c10m03x7520,1.0357142857142856,3,3,2.0,3.0,11,0.2621
glowcheck_r3c10m00x7594,glowcheck_r3c10m04x9521,1.0357142857142856,3,3,2.0,3.0,11,0.2443
glowcheck_r3c10m00x7594,glowcheck_r3c10m05x2485,1.0357142857142856,3,3,2.0,3.0,11,0.4358
glowcheck_r3c10m01x2927,glowcheck_r3c10m02x8990,0.75,2,3,0.0,3.0,11,0.4006
glowcheck_r3c10m01x2927,glowcheck_r3c10m03x7520,0.75,2,3,0.0,3.0,11,0.4987
glowcheck_r3c10m01x2927,glowcheck_r3c10m04x9521,0.75,2,3,0.0,3.0,11,0.3351
glowcheck_r3c10m01x2927,glowcheck_r3c10m05x2485,0.75,2,3,0.0,3.0,11,0.385
glowcheck_r3c10m02x8990,glowcheck_r3c10m03x7520,0.75,2,3,0.0,3.0,11,0.3739
glowcheck_r3c10m02x8990,glowcheck_r3c10m04x9521,0.75,2,3,0.0,3.0,11,0.3646
glowcheck_r3c10m02x8990,glowcheck_r3c10m05x2485,0.75,2,3,0.0,3.0,11,0.4717
glowcheck_r3c10m03x7520,glowcheck_r3c10m04x9521,0.75,2,3,0.0,3.0,11,0.3257
glowcheck_r3c10m03x7520,glowcheck_r3c10m05x2485,0.75,2,3,0.0,3.0,11,0.3687
glowcheck_r3c10m04x9521,glowcheck_r3c10m05x2485,0.75,2,3,0.0,3.0,11,0.7121
glowdiary_r3c03m00x2631,glowdiary_r3c03m01x2588,1.0357142857142856,3,3,2.0,3.0,9,0.607
glowdiary_r3c03m00x2631,glowdiary_r3c03m02x1592,1.0357142857142856,3,3,2.0,3.0,9,0.4016
glowdiary_r3c03m00x2631,glowdiary_r3c03m03x1823,1.0357142857142856,3,3,2.0,3.0,9,0.2457
glowdiary_r3c03m00x2631,glowdiary_r3c03m04x6886,1.0357142857142856,3,3,2.0,3.0,9,0.4186
glowdiary_r3c03m00x2631,glowdiary_r3c03m05x9471,1.0357142857142856,3,3,2.0,3.0,9,0.425
glowdiary_r3c03m01x2588,glowdiary_r3c03m02x1592,0.75,2,3,0.0,3.0,9,0.2179
glowdiary_r3c03m01x2588,glowdiary_r3c03m03x1823,0.75,2,3,0.0,3.0,9,0.2769
glowdiary_r3c03m01x2588,glowdiary_r3c03m04x6886,0.75,2,3,0.0,3.0,9,0.4056
glowdiary_r3c03m01x2588,glowdiary_r3c03m05x9471,0.75,2,3,0.0,3.0,9,0.37
glowdiary_r3c03m02x1592,glowdiary_r3c03m03x1823,0.75,2,3,0.0,3.0,9,0.2157
glowdiary_r3c03m02x1592,glowdiary_r3c03m04x6886,0.75,2,3,0.0,3.0,9,0.3247
glowdiary_r3c03m02x1592,glowdiary_r3c03m05x9471,0.75,2,3,0.0,3.0,9,0.5052
glowdiary_r3c03m03x1823,glowdiary_r3c03m04x6886,0.75,2,3,0.0,3.0,9,0.3919
glowdiary_r3c03m03x1823,glowdiary_r3c03m05x9471,0.75,2,3,0.0,3.0,9,0.3621
glowdiary_r3c03m04x6886,glowdiary_r3c03m05x9471,0.75,2,3,0.0,3.0,9,0.5273
glowhunter_ct152,glowup_ct3239,0.75,2,3,0.0,3.0,9,0.0
glowhunter_ct152,glowup_ct6488,0.75,2,3,0.0,3.0,9,0.0497
glowhunter_ct152,kulitglowing_ct595,0.75,2,3,0.0,3.0,9,0.0608
glowhunter_ct152,racun_ct2082,0.75,2,3,0.0,3.0,9,0.0043
glowhunter_ct152,skinclub_ct3535,0.75,2,3,0.0,3.0,9,0.0
glowhunter_ct43630,kulitcerah_ct92565,1.5,2,6,0.0,6.0,21,0.0589
glowhunter_ct43630,testireal_ct48546,1.5,2,6,0.0,6.0,21,0.0706
glowhunter_ct4367,glowup_ct2135,0.75,2,3,0.0,3.0,6,0.036
glowhunter_ct4367,kulitglowing_ct6396,0.75,2,3,0.0,3.0,6,0.0697
glowhunter_ct4367,skinclub_ct7669,0.75,2,3,0.0,3.0,6,0.0438
glowhunter_ct4367,skinclub_ct9386,0.75,2,3,0.0,3.0,6,0.0368
glowhunter_ct64974,glowingid_ct74353,0.75,2,3,0.0,3.0,12,0.0215
glowhunter_ct64974,skinlover_ct27853,0.75,2,3,0.0,3.0,12,0.0402
glowhunter_ct68859,kulitglowing_ct71939,0.75,2,3,0.0,3.0,10,0.0294
glowhunter_ct68859,racun_ct19392,0.75,2,3,0.0,3.0,10,0.0207
glowhunter_ct68859,reviewjujur_ct84556,0.75,2,3,0.0,3.0,10,0.0416
glowhunter_ct68859,skinclub_ct998,0.75,2,3,0.0,3.0,10,0.0419
glowhunter_ip1923,glowhunter_ip8756,1.375,2,8,0.0,3.0,38,0.0236
glowhunter_ip1923,kulitglowing_ip1790,1.375,2,8,0.0,3.0,38,0.0168
glowhunter_ip1923,kulitglowing_ip334,1.375,2,8,0.0,3.0,38,0.0376
glowhunter_ip1923,skinbestie_ip9364,1.375,2,8,0.0,3.0,38,0.0302
glowhunter_ip2869,glowhunter_ip4395,0.875,1,7,0.0,0.0,22,0.0908
glowhunter_ip2869,glowhunter_ip7849,0.875,1,7,0.0,0.0,22,0.0584
glowhunter_ip2869,kulitglowing_ip7028,0.625,1,5,0.0,0.0,20,0.091
glowhunter_ip2869,racun_ip2774,0.875,1,7,0.0,0.0,22,0.0453
glowhunter_ip2869,reviewjujur_ip9284,0.875,1,7,0.0,0.0,22,0.0538
glowhunter_ip2869,skincare_ip2565,0.875,1,7,0.0,0.0,22,0.0599
glowhunter_ip2869,skinclub_ip8582,0.875,1,7,0.0,0.0,22,0.0559
glowhunter_ip2869,skinlover_ip4018,0.875,1,7,0.0,0.0,22,0.057
glowhunter_ip4395,glowhunter_ip7849,0.875,1,7,0.0,0.0,22,0.0562
glowhunter_ip4395,kulitglowing_ip7028,0.625,1,5,0.0,0.0,20,0.0486
glowhunter_ip4395,racun_ip2774,0.875,1,7,0.0,0.0,22,0.0419
glowhunter_ip4395,reviewjujur_ip9284,0.875,1,7,0.0,0.0,22,0.0735
glowhunter_ip4395,skincare_ip2565,0.875,1,7,0.0,0.0,22,0.063
glowhunter_ip4395,skinclub_ip8582,0.875,1,7,0.0,0.0,22,0.0772
glowhunter_ip4395,skinlover_ip4018,0.875,1,7,0.0,0.0,22,0.0903
glowhunter_ip7849,kulitglowing_ip7028,0.625,1,5,0.0,0.0,20,0.1114
glowhunter_ip7849,racun_ip2774,0.875,1,7,0.0,0.0,22,0.0575
glowhunter_ip7849,reviewjujur_ip9284,0.875,1,7,0.0,0.0,22,0.0739
glowhunter_ip7849,skincare_ip2565,0.875,1,7,0.0,0.0,22,0.0506
glowhunter_ip7849,skinclub_ip8582,0.875,1,7,0.0,0.0,22,0.0559
glowhunter_ip7849,skinlover_ip4018,0.875,1,7,0.0,0.0,22,0.0667
glowhunter_ip8756,kulitglowing_ip1790,1.375,2,8,0.0,3.0,38,0.0277
glowhunter_ip8756,kulitglowing_ip334,1.375,2,8,0.0,3.0,38,0.0327
glowhunter_ip8756,skinbestie_ip9364,1.375,2,8,0.0,3.0,38,0.0191
glowhunter_ip9119,kulitglowing_ip4767,1.0,1,8,0.0,0.0,16,0.1015
glowhunter_ip9119,kulitglowing_ip9832,1.0,1,8,0.0,0.0,16,0.0893
glowhunter_ip9119,reviewjujur_ip2228,1.0,1,8,0.0,0.0,16,0.0655
glowhunter_ip9119,skinbestie_ip1027,1.0,1,8,0.0,0.0,16,0.0959
glowhunter_ip9119,skincare_ip7443,1.0,1,8,0.0,0.0,16,0.0668
glowhunter_ip9119,skinclub_ip8942,1.0,1,8,0.0,0.0,16,0.0388
glowhunter_ip9119,skinlover_ip4667,1.0,1,8,0.0,0.0,16,0.0722
glowingid_ct11995,glowup_ct93477,0.75,2,3,0.0,3.0,7,0.0222
glowingid_ct11995,kulitglowing_ct49929,0.75,2,3,0.0,3.0,7,0.0371
glowingid_ct11995,racun_ct61657,0.75,2,3,0.0,3.0,7,0.0422
glowingid_ct11995,skincare_ct68797,0.75,2,3,0.0,3.0,7,0.0285
glowingid_ct18883,skinlover_ct23275,1.25,2,5,0.0,5.0,8,0.022
glowingid_ct18883,skintok_ct36635,1.25,2,5,0.0,5.0,8,0.0302
glowingid_ct18883,skintok_ct98906,1.25,2,5,0.0,5.0,8,0.0227
glowingid_ct69471,glowup_ct8724,0.75,2,3,0.0,3.0,10,0.0242
glowingid_ct69471,reviewjujur_ct33360,0.75,2,3,0.0,3.0,10,0.0051
glowingid_ct69471,reviewjujur_ct9800,0.75,2,3,0.0,3.0,10,0.0157
glowingid_ct74353,skinlover_ct27853,0.75,2,3,0.0,3.0,12,0.0099
glowingid_rp61402,racun_rr28461,1.7321428571428572,3,6,6.0,1.0,16,0.0246
glowingid_rr53578,reviewjujur_rp60551,1.6071428571428572,2,6,6.0,0.0,19,0.0102
glowingid_rr53578,skincare_rp71592,1.0714285714285714,2,4,4.0,0.0,13,0.0257
glowup_ct2135,kulitglowing_ct6396,0.75,2,3,0.0,3.0,6,0.0
glowup_ct2135,skinclub_ct7669,0.75,2,3,0.0,3.0,6,0.0558
glowup_ct2135,skinclub_ct9386,0.75,2,3,0.0,3.0,6,0.0105
glowup_ct3239,glowup_ct6488,0.75,2,3,0.0,3.0,9,0.0053
glowup_ct3239,kulitglowing_ct595,0.75,2,3,0.0,3.0,9,0.0
glowup_ct3239,racun_ct2082,0.75,2,3,0.0,3.0,9,0.0
glowup_ct3239,skinclub_ct3535,0.75,2,3,0.0,3.0,9,0.062
glowup_ct3809,reviewjujur_ct6118,0.75,2,3,0.0,3.0,9,0.0242
glowup_ct3809,skinlover_ct8756,0.75,2,3,0.0,3.0,9,0.0387
glowup_ct6488,kulitglowing_ct595,0.75,2,3,0.0,3.0,9,0.0571
glowup_ct6488,racun_ct2082,0.75,2,3,0.0,3.0,9,0.005
glowup_ct6488,skinclub_ct3535,0.75,2,3,0.0,3.0,9,0.0946
glowup_ct8724,reviewjujur_ct33360,0.75,2,3,0.0,3.0,10,0.0201
glowup_ct8724,reviewjujur_ct9800,0.75,2,3,0.0,3.0,10,0.033
glowup_ct93477,kulitglowing_ct49929,0.75,2,3,0.0,3.0,7,0.0356
glowup_ct93477,racun_ct61657,0.75,2,3,0.0,3.0,7,0.0283
glowup_ct93477,skincare_ct68797,0.75,2,3,0.0,3.0,7,0.0393
glowup_ct95907,skincare_ct87875,2.0,2,8,0.0,8.0,20,0.0478
glowup_rr94183,racun_ip2774,0.8035714285714286,2,3,3.0,0.0,14,0.0078
kulitcerah_ct29113,reviewjujur_ct39243,2.0,2,8,0.0,8.0,33,0.0528
kulitcerah_ct29113,reviewjujur_ct55350,2.0,2,8,0.0,8.0,33,0.0149
kulitcerah_ct29113,reviewjujur_ct97003,2.0,2,8,0.0,8.0,33,0.0293
kulitcerah_ct92565,testireal_ct48546,1.5,2,6,0.0,6.0,21,0.0514
kulitglowing_ct4137,racun_ct5624,0.75,2,3,0.0,3.0,17,0.0242
kulitglowing_ct4137,skinlover_ct7606,0.75,2,3,0.0,3.0,17,0.031
kulitglowing_ct49929,racun_ct61657,0.75,2,3,0.0,3.0,7,0.0275
kulitglowing_ct49929,skincare_ct68797,0.75,2,3,0.0,3.0,7,0.0131
kulitglowing_ct595,racun_ct2082,0.75,2,3,0.0,3.0,9,0.0317
kulitglowing_ct595,skinclub_ct3535,0.75,2,3,0.0,3.0,9,0.0196
kulitglowing_ct6396,skinclub_ct7669,0.75,2,3,0.0,3.0,6,0.0
kulitglowing_ct6396,skinclub_ct9386,0.75,2,3,0.0,3.0,6,0.0
kulitglowing_ct71939,racun_ct19392,0.75,2,3,0.0,3.0,10,0.0434
kulitglowing_ct71939,reviewjujur_ct84556,0.75,2,3,0.0,3.0,10,0.028
kulitglowing_ct71939,skinclub_ct998,0.75,2,3,0.0,3.0,10,0.0127
kulitglowing_ip1790,kulitglowing_ip334,1.375,2,8,0.0,3.0,38,0.0109
kulitglowing_ip1790,skinbestie_ip9364,1.375,2,8,0.0,3.0,38,0.025
kulitglowing_ip334,skinbestie_ip9364,1.375,2,8,0.0,3.0,38,0.0649
kulitglowing_ip4767,kulitglowing_ip9832,1.0,1,8,0.0,0.0,16,0.1028
