comment_id,mass_username,video_id,timestamp,sentiment_label,hcc_id,association_type,hcc_dominant_sentiment,comment_sentiment_alignment,minutes_after_hcc,is_verified_direct_reply,is_multi_hcc_comment_association
INJ000137,MASS_fe0c05d70b79,7312025661835578629,2023-12-13 11:18:59+00:00,Positive,50,Direct Interaction,Neutral,Not aligned,-317133.0,True,True
INJ000138,MASS_fe0c05d70b79,7421364555957275910,2024-10-03 03:35:50+00:00,Positive,50,Direct Interaction,Neutral,Not aligned,-11380.233333333334,True,False
INJ000139,MASS_b1c2b368bc96,7401739344085585158,2024-08-11 05:30:38+00:00,Neutral,15,Direct Interaction,Neutral,Aligned,-415.55,True,False
INJ000140,MASS_b1c2b368bc96,7242204399928593669,2023-06-17 06:31:36+00:00,Neutral,15,Direct Interaction,Neutral,Aligned,-508604.65,True,False
INJ000147,MASS_60e252b7acd1,7428436533981613318,2024-10-22 03:33:54+00:00,Positive,150,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-2056.7166666666667,True,False
INJ000148,MASS_60e252b7acd1,7429265515434036485,2024-10-24 11:48:31+00:00,Neutral,150,Direct Interaction,Mixed,HCC Mixed / Inconclusive,-379170.7166666667,True,False
INJ000161,MASS_801f362d8c29,7361323225038540037,2024-04-24 07:18:30+00:00,Positive,117,Direct Interaction,Neutral,Not aligned,-162814.46666666667,True,False
INJ000162,MASS_801f362d8c29,7459337971108515090,2025-01-13 10:50:06+00:00,Neutral,117,Direct Interaction,Neutral,Aligned,-168749.95,True,False
INJ000167,MASS_3e5821d19154,7385065641595653382,2024-06-27 07:03:25+00:00,Negative,90,Direct Interaction,Neutral,Not aligned,-49494.933333333334,True,False
INJ000168,MASS_3e5821d19154,7237379067773766917,2023-08-03 12:00:26+00:00,Positive,90,Direct Interaction,Neutral,Not aligned,-581863.5833333334,True,True
INJ000169,MASS_9ad328a7534f,7291631421565832453,2023-10-19 12:36:08+00:00,Positive,103,Direct Interaction,Neutral,Not aligned,-57763.333333333336,True,False
INJ000170,MASS_9ad328a7534f,7376604456818920709,2024-06-04 11:43:42+00:00,Positive,103,Direct Interaction,Neutral,Not aligned,-2670.383333333333,True,False
INJ000217,MASS_361f332b4a62,7472351771025755410,2025-04-13 04:40:04+00:00,Neutral,20,Direct Interaction,Mixed,HCC Mixed / Inconclusive,66.11666666666666,True,False
INJ000218,MASS_361f332b4a62,7421104723333483782,2024-10-05 06:44:09+00:00,Positive,20,Direct Interaction,Mixed,HCC Mixed / Inconclusive,124.2,True,False
INJ000219,MASS_361f332b4a62,7421364555957275910,2024-10-11 11:18:44+00:00,Negative,20,Direct Interaction,Mixed,HCC Mixed / Inconclusive,143.76666666666668,True,False
INJ000220,MASS_361f332b4a62,7312632181094894854,2024-12-18 11:26:01+00:00,Neutral,20,Direct Interaction,Mixed,HCC Mixed / Inconclusive,81.7,True,False
7211541183109350170,MASS_619a0e6045ea,7167562475641048347,2023-03-17 15:43:18+00:00,Positive,63,Direct Interaction,Neutral,Not aligned,,True,False
7588730443030971157,MASS_619a0e6045ea,7284446766534102277,2025-12-28 02:30:09+00:00,Positive,63,Direct Interaction,Neutral,Not aligned,,True,False
INJ000352,MASS_c0fdd92cea62,7378347819268082950,2024-06-11 16:01:36+00:00,Positive,52,Direct Interaction,Neutral,Not aligned,158.13333333333333,True,False
INJ000353,MASS_c0fdd92cea62,7418514646698642693,2024-09-26 11:59:38+00:00,Negative,52,Direct Interaction,Neutral,Not aligned,90.7,True,False
INJ000354,MASS_c0fdd92cea62,7397028146429709573,2024-09-16 06:41:01+00:00,Neutral,52,Direct Interaction,Neutral,Aligned,25.633333333333333,True,False
INJ000355,MASS_c0fdd92cea62,7523137946246008069,2025-08-23 02:25:43+00:00,Neutral,52,Direct Interaction,Neutral,Aligned,79.61666666666666,True,False
INJ000356,MASS_c0fdd92cea62,7235406683676167430,2023-07-29 10:29:10+00:00,Neutral,52,Direct Interaction,Neutral,Aligned,41.7,True,False
INJ000357,MASS_c0fdd92cea62,7376604456818920709,2024-06-05 03:22:04+00:00,Negative,52,Direct Interaction,Neutral,Not aligned,177.96666666666667,True,False
INJ000358,MASS_c0fdd92cea62,7313744314927041797,2024-03-27 14:14:21+00:00,Negative,52,Direct Interaction,Neutral,Not aligned,110.8,True,False
7130765145856738075,MASS_a2fa191812b4,7122773893844061466,2022-08-11 23:31:06+00:00,Neutral,5,Temporal Association,Neutral,Aligned,11.216666666666667,False,False
7135439356756394778,MASS_cb2fa6bbfa76,7129446710400601371,2022-08-24 13:49:09+00:00,Neutral,183,Temporal Association,Neutral,Aligned,58.3,False,False
7135384046587577114,MASS_5e2f9241d9d7,7129446710400601371,2022-08-24 10:14:35+00:00,Neutral,183,Temporal Association,Neutral,Aligned,0.75,False,False
INJ000429,MASS_255c9d77df0c,7129446710400601371,2022-08-29 22:57:14+00:00,Positive,191,Temporal Association,Positive,Aligned,56.1,False,False
7207863291674493722,MASS_443463226d7b,7145783136914296090,2023-03-07 17:51:34+00:00,Neutral,205,Temporal Association,Positive,Not aligned,0.0,False,False
7217968945092428570,MASS_fc7ce598147e,7167562475641048347,2023-04-03 23:26:51+00:00,Neutral,50,Temporal Association,Neutral,Aligned,0.9166666666666666,False,False
7211135122601722650,MASS_8f40f147a16f,7167562475641048347,2023-03-16 13:27:27+00:00,Negative,75,Temporal Association,Neutral,Not aligned,0.15,False,False
7188824845241074459,MASS_f9c7908868ad,7182401543491128602,2023-01-15 10:32:17+00:00,Neutral,20,Temporal Association,Mixed,HCC Mixed / Inconclusive,8.733333333333333,False,False
7188822266761773850,MASS_3f6185f77463,7182401543491128602,2023-01-15 10:22:07+00:00,Negative,20,Temporal Association,Mixed,HCC Mixed / Inconclusive,1.5,False,False
7188730485840151322,MASS_5eaf8945b32e,7182401543491128602,2023-01-15 10:26:51+00:00,Negative,20,Temporal Association,Mixed,HCC Mixed / Inconclusive,3.3,False,False
7188824103141786394,MASS_ee25bc862673,7182401543491128602,2023-01-15 10:29:18+00:00,Neutral,20,Temporal Association,Mixed,HCC Mixed / Inconclusive,5.75,False,False
7197346584706794266,MASS_a9872451df22,7182401543491128602,2023-02-07 09:40:55+00:00,Neutral,87,Temporal Association,Mixed,HCC Mixed / Inconclusive,1.3333333333333333,False,False
7197345896890680091,MASS_5b40511088cf,7182401543491128602,2023-02-07 09:38:11+00:00,Neutral,87,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.75,False,False
7214327979655938842,MASS_07b48c5c163a,7185096421220158747,2023-03-25 03:57:30+00:00,Positive,17,Temporal Association,Neutral,Not aligned,0.16666666666666666,False,False
7214331169352123163,MASS_bfc9da70dd7d,7185096421220158747,2023-03-25 04:09:46+00:00,Positive,17,Temporal Association,Neutral,Not aligned,10.466666666666667,False,False
7228621024769491738,MASS_b8294167babe,7185096421220158747,2023-05-02 16:21:56+00:00,Positive,18,Temporal Association,Mixed,HCC Mixed / Inconclusive,1.1,False,False
7186789182744232730,MASS_17a40d19eff5,7185096421220158747,2023-01-09 22:53:47+00:00,Positive,54,Temporal Association,Neutral,Not aligned,17.583333333333332,False,False
7186793769734963994,MASS_621f169ab47b,7185096421220158747,2023-01-09 23:11:04+00:00,Negative,54,Temporal Association,Neutral,Not aligned,34.86666666666667,False,False
7216119483990213402,MASS_30bc2d00da73,7185096421220158747,2023-03-29 23:49:52+00:00,Positive,54,Temporal Association,Neutral,Not aligned,38.983333333333334,False,False
7216809325318472474,MASS_1c3c772ab11b,7185096421220158747,2023-03-31 20:27:03+00:00,Negative,54,Temporal Association,Neutral,Not aligned,32.233333333333334,False,False
7207836838433538842,MASS_538eea08079e,7185096421220158747,2023-03-07 16:08:31+00:00,Neutral,54,Temporal Association,Neutral,Aligned,25.316666666666666,False,False
7207028812423693061,MASS_6834edd96447,7185096421220158747,2023-03-05 11:52:55+00:00,Negative,54,Temporal Association,Neutral,Not aligned,17.55,False,False
7186796708960699162,MASS_4952f8716ae8,7185096421220158747,2023-01-09 23:22:34+00:00,Neutral,54,Temporal Association,Neutral,Aligned,46.36666666666667,False,False
7186799166205461274,MASS_246a55904ba8,7185096421220158747,2023-01-09 23:31:46+00:00,Positive,54,Temporal Association,Neutral,Not aligned,55.56666666666667,False,False
7188126789989335835,MASS_7427762b5036,7188119070884056347,2023-01-13 13:23:19+00:00,Neutral,3,Temporal Association,Neutral,Aligned,0.5666666666666667,False,False
INJ000043,MASS_0dbf1ad664de,7188119070884056347,2023-01-13 13:22:39+00:00,Positive,3,Temporal Association,Neutral,Not aligned,0.0,False,False
INJ000069,MASS_fbb1befc03e2,7188119070884056347,2023-01-13 13:28:07+00:00,Neutral,3,Temporal Association,Neutral,Aligned,4.466666666666667,False,False
INJ000117,MASS_6adbc6f651ae,7188119070884056347,2023-01-13 13:28:38+00:00,Positive,3,Temporal Association,Neutral,Not aligned,4.983333333333333,False,False
7188453972855440155,MASS_914793ab21c9,7188119070884056347,2023-01-14 10:33:03+00:00,Neutral,45,Temporal Association,Neutral,Aligned,0.16666666666666666,False,False
7188457405821272858,MASS_16f5fda28647,7188119070884056347,2023-01-14 10:46:17+00:00,Negative,45,Temporal Association,Neutral,Not aligned,12.616666666666667,False,False
7226710497415643931,MASS_9328bac4b625,7194330759329631514,2023-04-27 12:47:59+00:00,Neutral,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,34.233333333333334,False,True
7226710753264386843,MASS_e9f44efc70f8,7194330759329631514,2023-04-27 12:49:01+00:00,Neutral,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,35.266666666666666,False,True
7226701559332127514,MASS_9e594fd16950,7194330759329631514,2023-04-27 12:13:07+00:00,Neutral,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.38333333333333336,False,True
7239962689626784518,MASS_85b8a6a09ac9,7194330759329631514,2023-06-02 05:53:03+00:00,Neutral,16,Temporal Association,Neutral,Aligned,1.5,False,False
7226710497415643931,MASS_9328bac4b625,7194330759329631514,2023-04-27 12:47:59+00:00,Neutral,99,Temporal Association,Positive,Not aligned,38.63333333333333,False,True
7226699875529868058,MASS_7b9b5940a3b7,7194330759329631514,2023-04-27 12:06:50+00:00,Negative,99,Temporal Association,Positive,Not aligned,0.0,False,False
7226710753264386843,MASS_e9f44efc70f8,7194330759329631514,2023-04-27 12:49:01+00:00,Neutral,99,Temporal Association,Positive,Not aligned,39.666666666666664,False,True
7226701559332127514,MASS_9e594fd16950,7194330759329631514,2023-04-27 12:13:07+00:00,Neutral,99,Temporal Association,Positive,Not aligned,3.7666666666666666,False,True
7211748181384774426,MASS_d24fd28555bd,7208499827234131226,2023-03-18 05:06:26+00:00,Neutral,46,Temporal Association,Neutral,Aligned,52.86666666666667,False,False
7211740302321746714,MASS_d24fd28555bd,7208499827234131226,2023-03-18 04:35:52+00:00,Positive,46,Temporal Association,Neutral,Not aligned,22.3,False,False
7211740158332437274,MASS_d24fd28555bd,7208499827234131226,2023-03-18 04:35:25+00:00,Neutral,46,Temporal Association,Neutral,Aligned,21.85,False,False
7211734344447591195,MASS_d24fd28555bd,7208499827234131226,2023-03-18 04:12:47+00:00,Positive,46,Temporal Association,Neutral,Not aligned,0.15,False,False
7223013888890848026,MASS_ab4ea2046320,7222981366173011226,2023-04-17 13:43:12+00:00,Negative,5,Temporal Association,Neutral,Not aligned,5.233333333333333,False,False
7223015857768874779,MASS_93fb41636cae,7222981366173011226,2023-04-17 13:50:53+00:00,Negative,5,Temporal Association,Neutral,Not aligned,6.733333333333333,False,False
7223645127369343770,MASS_fa856d16bda5,7222981366173011226,2023-04-19 06:33:08+00:00,Negative,5,Temporal Association,Neutral,Not aligned,48.516666666666666,False,False
7223015260264629018,MASS_7fa6aca448d3,7222981366173011226,2023-04-17 13:48:31+00:00,Neutral,5,Temporal Association,Neutral,Aligned,4.366666666666666,False,False
INJ000480,MASS_bef010cdb6b5,7222981366173011226,2023-04-17 14:13:45+00:00,Positive,5,Temporal Association,Neutral,Not aligned,29.6,False,False
INJ000773,MASS_b5b8a9f80595,7222981366173011226,2023-04-17 14:06:47+00:00,Negative,5,Temporal Association,Neutral,Not aligned,22.633333333333333,False,False
7621364987650999041,MASS_afe578a677e8,7235406683676167430,2026-03-26 01:08:58+00:00,Neutral,132,Temporal Association,Neutral,Aligned,0.4,False,False
7261174735949218566,MASS_4153ae28a6ad,7235406683676167430,2023-07-29 09:46:44+00:00,Negative,52,Temporal Association,Neutral,Not aligned,0.2,False,False
INJ000356,MASS_c0fdd92cea62,7235406683676167430,2023-07-29 10:29:10+00:00,Neutral,52,Temporal Association,Neutral,Aligned,41.03333333333333,False,False
INJ000031,MASS_eec66757d7e8,7237379067773766917,2023-08-03 12:17:07+00:00,Positive,54,Temporal Association,Neutral,Not aligned,43.88333333333333,False,False
INJ000036,MASS_f792de8a6b81,7237379067773766917,2023-08-03 11:43:31+00:00,Positive,54,Temporal Association,Neutral,Not aligned,10.283333333333333,False,False
INJ000168,MASS_3e5821d19154,7237379067773766917,2023-08-03 12:00:26+00:00,Positive,54,Temporal Association,Neutral,Not aligned,27.2,False,True
7373813846362964741,MASS_04b5e30460ec,7242204399928593669,2024-05-27 22:44:03+00:00,Neutral,14,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.23333333333333334,False,False
INJ000098,MASS_c4fb5d62dbe7,7258280563352587526,2023-07-21 19:31:55+00:00,Positive,5,Temporal Association,Neutral,Not aligned,14.583333333333334,False,False
INJ000187,MASS_6a649f065258,7258280563352587526,2023-07-21 19:28:01+00:00,Neutral,5,Temporal Association,Neutral,Aligned,10.683333333333334,False,False
7421150274535916293,MASS_740f8762cd2b,7262186413284822277,2024-10-02 12:13:21+00:00,Negative,18,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.8666666666666667,False,False
7321932783147647750,MASS_3c98af84fdaa,7270117302614478086,2024-01-09 03:19:02+00:00,Negative,132,Temporal Association,Neutral,Not aligned,0.05,False,False
7334733872821273349,MASS_211af9e53531,7270117302614478086,2024-02-12 15:13:42+00:00,Negative,17,Temporal Association,Neutral,Not aligned,0.1,False,False
7467514464524075783,MASS_761448f5bf69,7279666593129434374,2025-02-04 10:50:17+00:00,Neutral,1,Temporal Association,Neutral,Aligned,1.0,False,False
7469653795817407240,MASS_47ec5e68807c,7279666593129434374,2025-02-10 05:12:12+00:00,Neutral,14,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.25,False,False
7473820466236670727,MASS_9809de5e8eb3,7279666593129434374,2025-02-21 10:40:52+00:00,Positive,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.9333333333333333,False,False
7479242775281124114,MASS_0ebcc125a376,7279666593129434374,2025-03-08 01:22:10+00:00,Negative,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,1.2333333333333334,False,False
7479243005673980680,MASS_0ebcc125a376,7279666593129434374,2025-03-08 01:23:00+00:00,Negative,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,2.066666666666667,False,False
7473820333594870536,MASS_9809de5e8eb3,7279666593129434374,2025-02-21 10:40:11+00:00,Neutral,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.25,False,False
7473833955894362888,MASS_7bd261df44dc,7279666593129434374,2025-02-21 11:33:11+00:00,Positive,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,53.25,False,False
7473820696783667986,MASS_9809de5e8eb3,7279666593129434374,2025-02-21 10:41:32+00:00,Neutral,150,Temporal Association,Mixed,HCC Mixed / Inconclusive,1.6,False,False
7286480469410235141,MASS_bdfed1486003,7284446766534102277,2023-10-05 14:25:51+00:00,Positive,14,Temporal Association,Mixed,HCC Mixed / Inconclusive,1.3833333333333333,False,False
7287362248731788038,MASS_4de2792af2dc,7284446766534102277,2023-10-07 23:27:30+00:00,Neutral,20,Temporal Association,Mixed,HCC Mixed / Inconclusive,10.45,False,False
7287359436833653509,MASS_ba488619649e,7284446766534102277,2023-10-07 23:16:41+00:00,Negative,20,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.55,False,False
7287363595132977926,MASS_8c428e0e6c45,7284446766534102277,2023-10-07 23:32:45+00:00,Neutral,20,Temporal Association,Mixed,HCC Mixed / Inconclusive,15.7,False,False
7287183702487335685,MASS_7177606fe8a5,7284446766534102277,2023-10-07 11:54:43+00:00,Positive,42,Temporal Association,Positive,Aligned,43.31666666666667,False,False
7287171860625785605,MASS_ccd62754ec07,7284446766534102277,2023-10-07 11:08:52+00:00,Positive,42,Temporal Association,Positive,Aligned,0.4166666666666667,False,False
7287176240079094533,MASS_6a76ba25aa4e,7284446766534102277,2023-10-07 11:25:48+00:00,Positive,42,Temporal Association,Positive,Aligned,14.4,False,False
7588730443030971157,MASS_619a0e6045ea,7284446766534102277,2025-12-28 02:30:09+00:00,Positive,63,Temporal Association,Neutral,Not aligned,0.0,False,False
7289278781750379270,MASS_80f7efe22a1b,7289028668863663365,2023-10-13 03:24:47+00:00,Neutral,1,Temporal Association,Neutral,Aligned,0.11666666666666667,False,False
INJ000684,MASS_2b8e895c2621,7289028668863663365,2023-10-13 03:55:55+00:00,Negative,1,Temporal Association,Neutral,Not aligned,31.25,False,False
7291803202680800005,MASS_ebc1c27f7bb1,7289028668863663365,2023-10-19 22:41:05+00:00,Neutral,49,Temporal Association,Neutral,Aligned,0.03333333333333333,False,False
7306533644419285766,MASS_c9e69efce50f,7291631421565832453,2023-11-28 15:22:26+00:00,Neutral,103,Temporal Association,Neutral,Aligned,2.966666666666667,False,False
7296739645060498181,MASS_3d952636772e,7291631421565832453,2023-11-02 05:56:57+00:00,Neutral,103,Temporal Association,Neutral,Aligned,22.85,False,False
INJ000497,MASS_b317a68f271f,7291631421565832453,2023-11-28 15:59:54+00:00,Neutral,103,Temporal Association,Neutral,Aligned,40.43333333333333,False,False
7307237567232197381,MASS_a09f12841712,7291631421565832453,2023-11-30 12:53:58+00:00,Neutral,63,Temporal Association,Neutral,Aligned,32.516666666666666,False,False
INJ000780,MASS_7c3e042765d6,7291631421565832453,2023-11-30 13:49:12+00:00,Neutral,63,Temporal Association,Neutral,Aligned,1.35,False,False
7599926946785461010,MASS_4cc14ac835d3,7306081689422351622,2026-01-27 06:38:18+00:00,Negative,46,Temporal Association,Neutral,Not aligned,0.2833333333333333,False,False
7359443404918964997,MASS_df35ac0e1333,7306081689422351622,2024-04-19 05:19:20+00:00,Neutral,48,Temporal Association,Mixed,HCC Mixed / Inconclusive,0.15,False,False
7312048741174346501,MASS_f00a3c105967,7312025661835578629,2023-12-13 12:03:55+00:00,Negative,103,Temporal Association,Neutral,Not aligned,50.65,False,False
7312050976151274245,MASS_41e35bbfe24f,7312025661835578629,2023-12-13 12:12:34+00:00,Negative,103,Temporal Association,Neutral,Not aligned,59.3,False,False
7312048783445279493,MASS_f00a3c105967,7312025661835578629,2023-12-13 12:04:09+00:00,Negative,103,Temporal Association,Neutral,Not aligned,50.88333333333333,False,False
7312051129209635589,MASS_eea8d05e728c,7312025661835578629,2023-12-13 12:13:07+00:00,Neutral,103,Temporal Association,Neutral,Aligned,59.85,False,False
7312044345389368069,MASS_144d4c39c740,7312025661835578629,2023-12-13 11:46:53+00:00,Neutral,103,Temporal Association,Neutral,Aligned,33.61666666666667,False,False
7312045555110265606,MASS_485a79f9394f,7312025661835578629,2023-12-13 11:51:33+00:00,Neutral,103,Temporal Association,Neutral,Aligned,38.28333333333333,False,False
7312037130526819078,MASS_0afd560e16c3,7312025661835578629,2023-12-13 11:18:48+00:00,Neutral,103,Temporal Association,Neutral,Aligned,5.533333333333333,False,False
7312038081871545093,MASS_9bbc18746862,7312025661835578629,2023-12-13 11:22:34+00:00,Neutral,103,Temporal Association,Neutral,Aligned,9.3,False,False
7312046182972523269,MASS_5dcbb2288e95,7312025661835578629,2023-12-13 11:53:59+00:00,Neutral,103,Temporal Association,Neutral,Aligned,40.71666666666667,False,False
7312047331048735493,MASS_6bc6d136f785,7312025661835578629,2023-12-13 11:58:20+00:00,Neutral,103,Temporal Association,Neutral,Aligned,45.06666666666667,False,False
7312047460925604614,MASS_07a032c216d5,7312025661835578629,2023-12-13 11:58:51+00:00,Neutral,103,Temporal Association,Neutral,Aligned,45.583333333333336,False,False
7312048215854465797,MASS_ffd634cd530c,7312025661835578629,2023-12-13 12:01:48+00:00,Neutral,103,Temporal Association,Neutral,Aligned,48.53333333333333,False,False
7312037151011996421,MASS_b376f6a0c99f,7312025661835578629,2023-12-13 11:18:53+00:00,Neutral,103,Temporal Association,Neutral,Aligned,5.616666666666666,False,False
7312050887894483717,MASS_b376f6a0c99f,7312025661835578629,2023-12-13 12:12:10+00:00,Neutral,103,Temporal Association,Neutral,Aligned,58.9,False,False
7312045587887555336,MASS_1a79cef543af,7312025661835578629,2023-12-13 11:51:28+00:00,Neutral,103,Temporal Association,Neutral,Aligned,38.2,False,False
7312044040949646085,MASS_62f592500cac,7312025661835578629,2023-12-13 11:45:38+00:00,Neutral,103,Temporal Association,Neutral,Aligned,32.36666666666667,False,False
7312047437183746822,MASS_62f592500cac,7312025661835578629,2023-12-13 11:58:56+00:00,Neutral,103,Temporal Association,Neutral,Aligned,45.666666666666664,False,False
7312046331127202565,MASS_da6429f73670,7312025661835578629,2023-12-13 11:54:28+00:00,Negative,103,Temporal Association,Neutral,Not aligned,41.2,False,False
