Id,Label,actor_type_primary,network_position,is_hcc_member,community,individual_subtype,is_video_creator,degree,weighted_degree,betweenness,n_comments,target_brand_primary,target_brand_label,target_scope,dominant_sentiment,account_goal_orientation,account_goal_confidence,exposure_level,hcc_association_status,strong_association_score,contextual_association_score,brand_label_auto,is_lcn_member,is_verified_registry_actor
glowup_ip5653,glowup_ip5653,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False
glowhunter_ip7986,glowhunter_ip7986,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False
skinclub_ip4711,skinclub_ip4711,Mass Actor,LCN Non-HCC,False,5,,False,21,14.375,1.2060497722081824e-07,8.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,29.0,Non-HCC,True,False
skinclub_ip8582,skinclub_ip8582,Community Actor,HCC,True,54,,False,16,12.5,0.0001386957238039,12.0,Azarine,Azarine,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Azarine,True,False
skintok_ct62066,skintok_ct62066,Mass Actor,LCN Non-HCC,False,120,,False,17,12.375,0.0030028830253325,11.0,,,Associated HCC Brand Context,Mixed,Polarized / Contested,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False
racun_ip2774,racun_ip2774,Community Actor,HCC,True,54,,False,15,11.428571428571429,9.708700666275866e-05,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False
skincare_ip2565,skincare_ip2565,Community Actor,HCC,True,54,,False,15,11.035714285714286,9.708700666275866e-05,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False
glowhunter_ip7849,glowhunter_ip7849,Community Actor,HCC,True,54,,False,15,11.035714285714285,9.986092113883748e-05,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False
reviewjujur_ip9284,reviewjujur_ip9284,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Azarine,True,False
glowhunter_ip4395,glowhunter_ip4395,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False
skinlover_ip4018,skinlover_ip4018,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False
glowhunter_ip2869,glowhunter_ip2869,Community Actor,HCC,True,54,,False,14,10.5,0.0,7.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False
beautyvibe_ct78952,beautyvibe_ct78952,Community Actor,HCC,True,52,,False,5,9.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Daviena,True,False
skinbestie_ip9676,skinbestie_ip9676,Mass Actor,LCN Non-HCC,False,54,,False,16,9.821428571428571,0.0001386957238039,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False
skinlover_ct30407,skinlover_ct30407,Mass Actor,LCN Non-HCC,False,63,,False,9,9.821428571428571,0.0016976356593602,9.0,,,Associated HCC Brand Context,Negative,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False
skinbestie_ip5720,skinbestie_ip5720,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714286,0.0004217556053412,6.0,,,Associated HCC Brand Context,Mixed,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False
kulitglowing_ip3422,kulitglowing_ip3422,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714285,0.0004217556053412,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False
kulitglowing_ip986,kulitglowing_ip986,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714285,0.0001721033024941,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False
beauty_ip5786,beauty_ip5786,Mass Actor,LCN Non-HCC,False,5,,False,16,9.785714285714285,0.0004217556053412,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False
beautyaddict_ip9987,beautyaddict_ip9987,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False
cantik_ip9223,cantik_ip9223,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Mixed,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,22.0,Non-HCC,True,False
reviewjujur_ip3756,reviewjujur_ip3756,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False
skinlover_ip9681,skinlover_ip9681,Mass Actor,LCN Non-HCC,False,5,,False,15,9.25,1.2060497722081824e-07,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,20.0,Non-HCC,True,False
reviewjujur_ct39243,reviewjujur_ct39243,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Daviena,True,False
reviewjujur_ct55350,reviewjujur_ct55350,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,Daviena,True,False
reviewjujur_ct97003,reviewjujur_ct97003,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Mixed,Promotional / Supportive,Medium,,,,,Daviena,True,False
kulitcerah_ct29113,kulitcerah_ct29113,Community Actor,HCC,True,52,,False,5,8.875,0.0,8.0,Daviena,Daviena,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Daviena,True,False
kulitglowing_ip7028,kulitglowing_ip7028,Community Actor,HCC,True,54,,False,14,8.875,0.0,5.0,Azarine,Azarine,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Azarine,True,False
beautyvibe_ip6117,beautyvibe_ip6117,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False
reviewjujur_ip6156,reviewjujur_ip6156,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,Azarine,Azarine,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Temporal Association,Unique Temporal Association,2.0,23.0,Non-HCC,True,False
beautyvibe_ip9313,beautyvibe_ip9313,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,Mixed_3plus_Brands,Mixed_3plus_Brands,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Temporal Association,Unique Temporal Association,2.0,23.0,Non-HCC,True,False
cantik_ip6901,cantik_ip6901,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False
kulitglowing_ip4389,kulitglowing_ip4389,Mass Actor,LCN Non-HCC,False,54,,False,14,8.75,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,21.0,Non-HCC,True,False
cantik_ip9501,cantik_ip9501,Community Actor,HCC,True,150,,False,8,8.660714285714285,0.00042440891484,8.0,Maryame,Maryame,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,Maryame,True,False
kulitglowing_ip1790,kulitglowing_ip1790,Community Actor,HCC,True,150,,False,8,8.535714285714285,0.00042440891484,8.0,Maryame,Maryame,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Maryame,True,False
kulitglowing_ip334,kulitglowing_ip334,Community Actor,HCC,True,150,,False,8,8.535714285714285,0.0001747566119929,8.0,Maryame,Maryame,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Maryame,True,False
glowhunter_ip1923,glowhunter_ip1923,Community Actor,HCC,True,150,,False,7,8.125,0.0,8.0,Maryame,Maryame,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,Maryame,True,False
glowhunter_ip8756,glowhunter_ip8756,Community Actor,HCC,True,150,,False,7,8.0,0.0,8.0,Maryame,Maryame,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Maryame,True,False
skinbestie_ip9364,skinbestie_ip9364,Community Actor,HCC,True,150,,False,7,8.0,0.0,8.0,Maryame,Maryame,HCC Brand Context,Mixed,Polarized / Contested,Low,,,,,Maryame,True,False
beauty_ct22809,beauty_ct22809,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
skintok_ct75378,skintok_ct75378,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
beauty_ct94362,beauty_ct94362,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
beautyaddict_ct95803,beautyaddict_ct95803,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Mixed,Polarized / Contested,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
racun_ct45713,racun_ct45713,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
beauty_ct15443,beauty_ct15443,Mass Actor,LCN Non-HCC,False,63,,False,6,7.5,0.0,5.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
beautyvibe_ip9378,beautyvibe_ip9378,Mass Actor,LCN Non-HCC,False,20,,False,10,7.321428571428571,0.0004271828293161,10.0,,,Associated HCC Brand Context,Mixed,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,27.0,Non-HCC,True,False
skinbestie_ip7689,skinbestie_ip7689,Mass Actor,LCN Non-HCC,False,5,,False,13,6.839285714285714,0.0003439653950337,7.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,24.0,Non-HCC,True,False
glowingid_rr53578,glowingid_rr53578,Community Actor,HCC,True,63,,False,9,6.8392857142857135,0.0064021946107899,12.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Mixed_3plus_Brands,True,False
kelvin.shagufta7,kelvin.shagufta7,Mass Actor,LCN Non-HCC,False,150,,False,13,6.517857142857142,0.0034951322398593,9.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,26.0,Non-HCC,True,False
ndhyulee,ndhyulee,Mass Actor,LCN Non-HCC,False,103,,False,13,6.5,0.0010485396719577,7.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,32.0,Non-HCC,True,False
kulitglowing_ct49929,kulitglowing_ct49929,Community Actor,HCC,True,17,,False,7,6.375,0.0001220522369474,10.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Mixed_3plus_Brands,True,False
reviewjujur_ip9901,reviewjujur_ip9901,Mass Actor,LCN Non-HCC,False,5,,False,12,6.035714285714286,0.0004216350003639,4.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
glowhunter_ct43630,glowhunter_ct43630,Community Actor,HCC,True,48,,False,4,6.0,0.0,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Mixed_3plus_Brands,True,False
bestieku_ct63653,bestieku_ct63653,Community Actor,HCC,True,48,,False,4,6.0,0.0,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Negative,Critical / Complaint,Medium,,,,,Mixed_3plus_Brands,True,False
testireal_ct48546,testireal_ct48546,Community Actor,HCC,True,48,,False,4,6.0,0.0,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,Mixed_3plus_Brands,True,False
kulitcerah_ct92565,kulitcerah_ct92565,Community Actor,HCC,True,48,,False,4,6.0,0.0,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Mixed_3plus_Brands,True,False
beautyvibe_ct53672,beautyvibe_ct53672,Community Actor,HCC,True,48,,False,4,6.0,0.0,6.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Mixed_3plus_Brands,True,False
glowhunter_ip8989,glowhunter_ip8989,Mass Actor,LCN Non-HCC,False,20,,False,8,5.785714285714286,3.051305923686701e-05,6.0,,,Associated HCC Brand Context,Positive,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,18.0,Non-HCC,True,False
beautyvibe_ip2744,beautyvibe_ip2744,Mass Actor,LCN Non-HCC,False,20,,False,8,5.785714285714286,8.321743428236456e-05,6.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,18.0,Non-HCC,True,False
racun_ip4816,racun_ip4816,Mass Actor,LCN Non-HCC,False,5,,False,11,5.5,0.0,4.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
kulitglowing_ip8606,kulitglowing_ip8606,Mass Actor,LCN Non-HCC,False,5,,False,11,5.5,0.0,4.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
racun_ip2718,racun_ip2718,Mass Actor,LCN Non-HCC,False,5,,False,11,5.5,0.0,4.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,12.0,Non-HCC,True,False
glowingid_rr16545,glowingid_rr16545,Mass Actor,LCN Non-HCC,False,52,,False,5,5.375,2.4965230284709368e-05,7.0,Daviena,Daviena,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Direct Interaction,Unique Direct Association,25.0,54.0,Non-HCC,True,False
reviewjujur_ip4671,reviewjujur_ip4671,Mass Actor,LCN Non-HCC,False,20,,False,7,5.25,0.0,6.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,18.0,Non-HCC,True,False
beautyaddict_ip1981,beautyaddict_ip1981,Mass Actor,LCN Non-HCC,False,20,,False,7,5.25,0.0,6.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,18.0,Non-HCC,True,False
skinbestie_ip2505,skinbestie_ip2505,Mass Actor,LCN Non-HCC,False,20,,False,7,5.25,0.0,6.0,,,Associated HCC Brand Context,Mixed,Mixed Goals,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,18.0,Non-HCC,True,False
reviewjujur_ip1013,reviewjujur_ip1013,Mass Actor,LCN Non-HCC,False,20,,False,7,5.25,0.0,6.0,,,Associated HCC Brand Context,Positive,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,18.0,Non-HCC,True,False
skincare_ip797,skincare_ip797,Mass Actor,LCN Non-HCC,False,20,,False,7,5.25,0.0,6.0,,,Associated HCC Brand Context,Positive,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,18.0,Non-HCC,True,False
glowcheck_r3c10m00x7594,glowcheck_r3c10m00x7594,Community Actor,HCC,True,113,,False,5,5.178571428571428,0.0,3.0,Maryame,Maryame,HCC Brand Context,Positive,Promotional / Supportive,Low,,,,,Maryame,True,False
glowdiary_r3c03m00x2631,glowdiary_r3c03m00x2631,Community Actor,HCC,True,114,,False,5,5.178571428571428,0.0,3.0,Maryame,Maryame,HCC Brand Context,Positive,Promotional / Supportive,Low,,,,,Maryame,True,False
skinlover_ct23275,skinlover_ct23275,Community Actor,HCC,True,87,,False,4,5.089285714285714,0.0,5.0,Mixed_2_Brands,Mixed_2_Brands,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Mixed_2_Brands,True,False
glowup_ct95907,glowup_ct95907,Community Actor,HCC,True,20,,False,3,5.071428571428571,0.0,8.0,Daviena,Daviena,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,Daviena,True,False
glowup_ct95695,glowup_ct95695,Mass Actor,LCN Non-HCC,False,120,,False,5,5.0,0.0,4.0,,,Associated HCC Brand Context,Mixed,Promotional / Supportive,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,11.0,Non-HCC,True,False
kulitcerah_ct74535,kulitcerah_ct74535,Mass Actor,LCN Non-HCC,False,120,,False,5,5.0,0.0,4.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,11.0,Non-HCC,True,False
bestieku_ct66053,bestieku_ct66053,Mass Actor,LCN Non-HCC,False,120,,False,5,5.0,0.0,4.0,,,Associated HCC Brand Context,Positive,Promotional / Supportive,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,11.0,Non-HCC,True,False
dearskin_ct58033,dearskin_ct58033,Community Actor,HCC,True,20,,False,4,5.0,4.854350333137933e-05,8.0,Daviena,Daviena,HCC Brand Context,Neutral,Neutral Engagement,Medium,,,,,Daviena,True,False
skincare_ct87875,skincare_ct87875,Community Actor,HCC,True,20,,False,4,5.0,4.854350333137933e-05,8.0,Daviena,Daviena,HCC Brand Context,Positive,Promotional / Supportive,Medium,,,,,Daviena,True,False
skinlover_ct47678,skinlover_ct47678,Mass Actor,LCN Non-HCC,False,120,,False,5,5.0,0.0,4.0,,,Associated HCC Brand Context,Negative,Critical / Complaint,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,11.0,Non-HCC,True,False
beautyaddict_ct30004,beautyaddict_ct30004,Mass Actor,LCN Non-HCC,False,120,,False,5,5.0,0.0,4.0,,,Associated HCC Brand Context,Mixed,Promotional / Supportive,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,11.0,Non-HCC,True,False
skinbestie_ct9114,skinbestie_ct9114,Community Actor,HCC,True,183,,False,7,4.875,8.321743428236456e-05,3.0,The Originote,The Originote,HCC Brand Context,Mixed,Mixed Goals,Low,,,,,The Originote,True,False
glowhunter_ct4328,glowhunter_ct4328,Mass Actor,LCN Non-HCC,False,20,,False,6,4.821428571428571,0.0002662957897035,4.0,,,Associated HCC Brand Context,Neutral,Neutral Engagement,Low,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,9.0,Non-HCC,True,False
cantik_ip3572,cantik_ip3572,Mass Actor,LCN Non-HCC,False,19,,False,9,4.803571428571429,0.0005908437834047,7.0,,,Associated HCC Brand Context,Positive,Promotional / Supportive,Medium,Shared-Video Context Only,Multiple / Ambiguous HCC,0.0,25.0,Non-HCC,True,False
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m00x8166,Community Actor,HCC,True,99,,False,5,4.553571428571429,0.0,3.0,The Originote,The Originote,HCC Brand Context,Positive,Promotional / Supportive,Low,,,,,The Originote,True,False
glowup_ct93477,glowup_ct93477,Community Actor,HCC,True,17,,False,6,4.5,0.0,3.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Neutral,Neutral Engagement,Low,,,,,Mixed_3plus_Brands,True,False
glowingid_ct11995,glowingid_ct11995,Community Actor,HCC,True,17,,False,6,4.5,0.0,3.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Neutral,Neutral Engagement,Low,,,,,Mixed_3plus_Brands,True,False
skincare_ct68797,skincare_ct68797,Community Actor,HCC,True,17,,False,6,4.5,0.0,3.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Neutral,Neutral Engagement,Low,,,,,Mixed_3plus_Brands,True,False
beautyaddict_ct75025,beautyaddict_ct75025,Community Actor,HCC,True,17,,False,6,4.5,0.0,3.0,Mixed_3plus_Brands,Mixed_3plus_Brands,HCC Brand Context,Negative,Critical / Complaint,Low,,,,,Mixed_3plus_Brands,True,False
