Id,Label,node_type,actor_type_primary,n_accounts,n_comments,goal_orientation,target_brand,hcc_id,edge_type,dominant_sentiment,Degree,Weighted_Degree_Raw,Weighted_Degree_Visual
HCC_2,HCC 2,Community Actor,Community Actor,6,18.0,Mixed Goals,Maryame,,,,10,131.971627,17.836633
HCC_3,HCC 3,Community Actor,Community Actor,5,15.0,Neutral Engagement,Mixed_2_Brands,,,,11,73.931893,15.787043
HCC_5,HCC 5,Community Actor,Community Actor,8,64.0,Neutral Engagement,The Originote,,,,18,443.983915,39.521891
HCC_14,HCC 14,Community Actor,Community Actor,3,15.0,Mixed Goals,Mixed_3plus_Brands,,,,13,2751.292255,38.931754
HCC_15,HCC 15,Community Actor,Community Actor,6,18.0,Neutral Engagement,The Originote,,,,11,181.369622,19.170759
HCC_16,HCC 16,Community Actor,Community Actor,5,15.0,Mixed Goals,Daviena,,,,11,419.410672,25.759301
HCC_17,HCC 17,Community Actor,Community Actor,11,44.0,Mixed Goals,Mixed_3plus_Brands,,,,18,609.263872,29.734622
HCC_18,HCC 18,Community Actor,Community Actor,6,18.0,Mixed Goals,The Originote,,,,10,393.846607,21.031445
HCC_20,HCC 20,Community Actor,Community Actor,3,24.0,Mixed Goals,Daviena,,,,19,2891.699242,56.28564
HCC_34,HCC 34,Community Actor,Community Actor,3,12.0,Mixed Goals,Daviena,,,,14,3235.11383,46.953014
HCC_42,HCC 42,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Daviena,,,,9,135.106689,17.19562
HCC_45,HCC 45,Community Actor,Community Actor,4,24.0,Neutral Engagement,Mixed_3plus_Brands,,,,13,349.350327,23.943717
HCC_46,HCC 46,Community Actor,Community Actor,7,21.0,Neutral Engagement,The Originote,,,,12,149.098605,20.918974
HCC_48,HCC 48,Community Actor,Community Actor,5,30.0,Mixed Goals,Mixed_3plus_Brands,,,,13,317.639277,23.492468
HCC_49,HCC 49,Community Actor,Community Actor,6,20.0,Neutral Engagement,Mixed_3plus_Brands,,,,11,118.13446,17.855131
HCC_50,HCC 50,Community Actor,Community Actor,6,18.0,Mixed Goals,Maryame,,,,12,259.365531,22.836638
HCC_52,HCC 52,Community Actor,Community Actor,5,40.0,Mixed Goals,Daviena,,,,16,369.413444,27.470463
HCC_54,HCC 54,Community Actor,Community Actor,11,74.0,Mixed Goals,Azarine,,,,23,811.623949,42.136723
HCC_60,HCC 60,Community Actor,Community Actor,3,11.0,Mixed Goals,Daviena,,,,8,133.951228,16.019154
HCC_63,HCC 63,Community Actor,Community Actor,3,22.0,Mixed Goals,Mixed_3plus_Brands,,,,20,745.21286,33.650632
HCC_74,HCC 74,Community Actor,Community Actor,3,12.0,Mixed Goals,Daviena,,,,9,189.151578,18.816902
HCC_75,HCC 75,Community Actor,Community Actor,4,16.0,Mixed Goals,Mixed_2_Brands,,,,11,1498.443934,31.064091
HCC_87,HCC 87,Community Actor,Community Actor,5,25.0,Mixed Goals,Mixed_2_Brands,,,,14,941.687442,37.204706
HCC_90,HCC 90,Community Actor,Community Actor,4,12.0,Neutral Engagement,Mixed_3plus_Brands,,,,11,352.527668,22.295788
HCC_99,HCC 99,Community Actor,Community Actor,6,28.0,Promotional / Supportive,The Originote,,,,8,339.033432,18.961872
HCC_103,HCC 103,Community Actor,Community Actor,5,30.0,Neutral Engagement,Daviena,,,,16,411.386766,33.362871
HCC_113,HCC 113,Community Actor,Community Actor,6,28.0,Promotional / Supportive,Maryame,,,,9,181.819188,18.532915
HCC_114,HCC 114,Community Actor,Community Actor,6,28.0,Promotional / Supportive,Maryame,,,,6,141.769293,15.290031
HCC_117,HCC 117,Community Actor,Community Actor,6,18.0,Neutral Engagement,The Originote,,,,10,85.158678,15.474529
HCC_132,HCC 132,Community Actor,Community Actor,4,12.0,Mixed Goals,Mixed_3plus_Brands,,,,10,183.345962,18.805544
HCC_134,HCC 134,Community Actor,Community Actor,3,15.0,Mixed Goals,Daviena,,,,14,1644.87085,30.956862
HCC_150,HCC 150,Community Actor,Community Actor,6,48.0,Mixed Goals,Maryame,,,,18,2889.410388,47.788885
HCC_168,HCC 168,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Daviena,,,,7,54.958096,11.356847
HCC_180,HCC 180,Community Actor,Community Actor,4,18.0,Promotional / Supportive,Azarine,,,,10,193.877749,19.312052
HCC_181,HCC 181,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Daviena,,,,7,183.556515,16.319265
HCC_182,HCC 182,Community Actor,Community Actor,6,18.0,Mixed Goals,Not identified,,,,9,82.667802,14.961823
HCC_183,HCC 183,Community Actor,Community Actor,7,21.0,Mixed Goals,The Originote,,,,12,348.11395,23.590172
HCC_191,HCC 191,Community Actor,Community Actor,5,23.0,Promotional / Supportive,The Originote,,,,8,180.069555,16.618348
HCC_204,HCC 204,Community Actor,Community Actor,4,18.0,Promotional / Supportive,Azarine,,,,7,57.682428,12.026421
HCC_205,HCC 205,Community Actor,Community Actor,5,23.0,Promotional / Supportive,The Originote,,,,8,173.184208,16.97314
HCC_206,HCC 206,Community Actor,Community Actor,5,23.0,Promotional / Supportive,Maryame,,,,6,196.01107,16.20849
MASS_HCC_103_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 103 Mixed,Mass Actor Segment,Mass Actor,134,346.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Mixed,1,18.272095,2.958658
MASS_HCC_103_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 103 Negative,Mass Actor Segment,Mass Actor,237,304.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Negative,1,51.337035,3.957704
MASS_HCC_103_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 103 Neutral,Mass Actor Segment,Mass Actor,953,1403.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Neutral,1,193.072811,5.268233
MASS_HCC_103_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 103 Positive,Mass Actor Segment,Mass Actor,341,464.0,Insufficient Text,,103,Ambiguous Community-Mass Association,Positive,1,73.704826,4.313545
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 103 Mixed,Mass Actor Segment,Mass Actor,5,12.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Mixed,1,5.0,1.791759
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 103 Negative,Mass Actor Segment,Mass Actor,10,15.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Negative,1,10.0,2.397895
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 103 Neutral,Mass Actor Segment,Mass Actor,36,51.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Neutral,1,36.0,3.610918
MASS_HCC_103_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 103 Positive,Mass Actor Segment,Mass Actor,14,20.0,Insufficient Text,Daviena,103,Observed Community-Mass Temporal Association,Positive,1,14.0,2.70805
MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Mixed,Mass Verified Community-Mass Direct Interaction 103 Mixed,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,Daviena,103,Verified Community-Mass Direct Interaction,Mixed,1,1.0,0.693147
MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Neutral,Mass Verified Community-Mass Direct Interaction 103 Neutral,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,Daviena,103,Verified Community-Mass Direct Interaction,Neutral,1,1.0,0.693147
MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Positive,Mass Verified Community-Mass Direct Interaction 103 Positive,Mass Actor Segment,Mass Actor,2,4.0,Insufficient Text,Daviena,103,Verified Community-Mass Direct Interaction,Positive,1,2.0,1.098612
MASS_HCC_113_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 113 Mixed,Mass Actor Segment,Mass Actor,75,215.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Mixed,1,10.433906,2.436583
MASS_HCC_113_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 113 Negative,Mass Actor Segment,Mass Actor,202,278.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Negative,1,43.853005,3.803391
MASS_HCC_113_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 113 Neutral,Mass Actor Segment,Mass Actor,377,651.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Neutral,1,78.838585,4.380007
MASS_HCC_113_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 113 Positive,Mass Actor Segment,Mass Actor,184,268.0,Insufficient Text,,113,Ambiguous Community-Mass Association,Positive,1,41.693692,3.754051
MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 113 Neutral,Mass Actor Segment,Mass Actor,3,4.0,Insufficient Text,Maryame,113,Observed Community-Mass Temporal Association,Neutral,1,3.0,1.386294
MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 113 Positive,Mass Actor Segment,Mass Actor,1,6.0,Promotional / Supportive,Maryame,113,Observed Community-Mass Temporal Association,Positive,1,1.0,0.693147
MASS_HCC_114_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 114 Mixed,Mass Actor Segment,Mass Actor,49,138.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Mixed,1,8.55425,2.256986
MASS_HCC_114_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 114 Negative,Mass Actor Segment,Mass Actor,119,167.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Negative,1,28.876946,3.397087
MASS_HCC_114_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 114 Neutral,Mass Actor Segment,Mass Actor,284,565.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Neutral,1,61.568571,4.136263
MASS_HCC_114_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 114 Positive,Mass Actor Segment,Mass Actor,156,240.0,Insufficient Text,,114,Ambiguous Community-Mass Association,Positive,1,39.769526,3.707935
MASS_HCC_117_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 117 Mixed,Mass Actor Segment,Mass Actor,41,132.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Mixed,1,5.271177,1.835964
MASS_HCC_117_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 117 Negative,Mass Actor Segment,Mass Actor,55,84.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Negative,1,10.068658,2.404118
MASS_HCC_117_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 117 Neutral,Mass Actor Segment,Mass Actor,260,481.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Neutral,1,47.592655,3.883472
MASS_HCC_117_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 117 Positive,Mass Actor Segment,Mass Actor,83,161.0,Insufficient Text,,117,Ambiguous Community-Mass Association,Positive,1,15.226188,2.786626
MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 117 Mixed,Mass Actor Segment,Mass Actor,1,3.0,Mixed Goals,The Originote,117,Observed Community-Mass Temporal Association,Mixed,1,1.0,0.693147
MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 117 Neutral,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,The Originote,117,Observed Community-Mass Temporal Association,Neutral,1,2.0,1.098612
MASS_HCC_117_Verified_Community_Mass_Direct_Interaction_Mixed,Mass Verified Community-Mass Direct Interaction 117 Mixed,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,The Originote,117,Verified Community-Mass Direct Interaction,Mixed,1,1.0,0.693147
MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 132 Mixed,Mass Actor Segment,Mass Actor,67,187.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Mixed,1,9.613143,2.362093
MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 132 Negative,Mass Actor Segment,Mass Actor,82,114.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Negative,1,27.857175,3.362359
MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 132 Neutral,Mass Actor Segment,Mass Actor,364,620.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Neutral,1,102.745841,4.641944
MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 132 Positive,Mass Actor Segment,Mass Actor,104,148.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Positive,1,35.129802,3.587118
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 132 Negative,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Negative,1,1.0,0.693147
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 132 Neutral,Mass Actor Segment,Mass Actor,3,13.0,Neutral Engagement,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Neutral,1,3.0,1.386294
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 132 Positive,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Positive,1,1.0,0.693147
MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 134 Mixed,Mass Actor Segment,Mass Actor,202,494.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Mixed,1,29.241632,3.40922
MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 134 Negative,Mass Actor Segment,Mass Actor,743,865.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Negative,1,139.339695,4.944066
MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 134 Neutral,Mass Actor Segment,Mass Actor,5696,6308.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Neutral,1,1111.184485,7.014081
MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 134 Positive,Mass Actor Segment,Mass Actor,1732,1891.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Positive,1,340.105037,5.83219
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 134 Mixed,Mass Actor Segment,Mass Actor,1,3.0,Mixed Goals,Daviena,134,Observed Community-Mass Temporal Association,Mixed,1,1.0,0.693147
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 134 Negative,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Negative,1,2.0,1.098612
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 134 Neutral,Mass Actor Segment,Mass Actor,14,16.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Neutral,1,14.0,2.70805
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 134 Positive,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Positive,1,2.0,1.098612
MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 14 Mixed,Mass Actor Segment,Mass Actor,308,707.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Mixed,1,60.479129,4.118698
MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 14 Negative,Mass Actor Segment,Mass Actor,2589,2861.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Negative,1,757.307252,6.631089
MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 14 Neutral,Mass Actor Segment,Mass Actor,5855,6379.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Neutral,1,1222.019248,7.109078
MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 14 Positive,Mass Actor Segment,Mass Actor,2502,2703.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Positive,1,608.486625,6.412617
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 14 Mixed,Mass Actor Segment,Mass Actor,2,4.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Mixed,1,2.0,1.098612
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 14 Negative,Mass Actor Segment,Mass Actor,21,23.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Negative,1,21.0,3.091042
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 14 Neutral,Mass Actor Segment,Mass Actor,57,59.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Neutral,1,57.0,4.060443
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 14 Positive,Mass Actor Segment,Mass Actor,18,21.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Positive,1,18.0,2.944439
MASS_HCC_150_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 150 Mixed,Mass Actor Segment,Mass Actor,274,727.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Mixed,1,45.320953,3.835594
MASS_HCC_150_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 150 Negative,Mass Actor Segment,Mass Actor,1125,1324.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Negative,1,253.216728,5.538187
MASS_HCC_150_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 150 Neutral,Mass Actor Segment,Mass Actor,6480,7296.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Neutral,1,1359.671105,7.215733
MASS_HCC_150_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 150 Positive,Mass Actor Segment,Mass Actor,2257,2484.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Positive,1,499.201602,6.215011
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 150 Mixed,Mass Actor Segment,Mass Actor,12,28.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Mixed,1,12.0,2.564949
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 150 Negative,Mass Actor Segment,Mass Actor,48,55.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Negative,1,48.0,3.89182
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 150 Neutral,Mass Actor Segment,Mass Actor,524,567.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Neutral,1,524.0,6.263398
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 150 Positive,Mass Actor Segment,Mass Actor,137,161.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Positive,1,137.0,4.927254
MASS_HCC_150_Verified_Community_Mass_Direct_Interaction_Mixed,Mass Verified Community-Mass Direct Interaction 150 Mixed,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,Maryame,150,Verified Community-Mass Direct Interaction,Mixed,1,1.0,0.693147
MASS_HCC_150_Verified_Community_Mass_Direct_Interaction_Positive,Mass Verified Community-Mass Direct Interaction 150 Positive,Mass Actor Segment,Mass Actor,2,4.0,Insufficient Text,Maryame,150,Verified Community-Mass Direct Interaction,Positive,1,2.0,1.098612
MASS_HCC_15_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 15 Mixed,Mass Actor Segment,Mass Actor,83,227.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Mixed,1,11.347344,2.513441
MASS_HCC_15_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 15 Negative,Mass Actor Segment,Mass Actor,212,277.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Negative,1,36.429861,3.622469
MASS_HCC_15_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 15 Neutral,Mass Actor Segment,Mass Actor,519,756.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Neutral,1,86.856196,4.475701
MASS_HCC_15_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 15 Positive,Mass Actor Segment,Mass Actor,213,292.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Positive,1,39.736221,3.707118
MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 15 Negative,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,The Originote,15,Observed Community-Mass Temporal Association,Negative,1,1.0,0.693147
