id,label,degree,weighted_degree,betweenness,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,username_norm,actor_type_primary,individual_subtype,is_video_creator,is_verified_registry_actor,individual_in_hcc,account_goal_orientation,target_brand_primary,hcc_dominant_weekday,hcc_dominant_weekday_share,hcc_dominant_daypart,hcc_peak_hour,hcc_weekday_entropy_normalized,hcc_weekday_concentration_score,hcc_n_active_weeks,hcc_dominant_weekday_week_coverage,hcc_temporal_profile_reliability
glowhunter_ip7849,glowhunter_ip7849,15,11.035714285714285,9.986092113883748e-05,54,Azarine,Azarine,Azarine + Daviena,High,Low,glowhunter_ip7849,Community Actor,,False,False,False,Neutral Engagement,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
reviewjujur_ip9284,reviewjujur_ip9284,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,reviewjujur_ip9284,Community Actor,,False,False,False,Critical / Complaint,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
glowhunter_ip4395,glowhunter_ip4395,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,glowhunter_ip4395,Community Actor,,False,False,False,Neutral Engagement,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
skinlover_ip4018,skinlover_ip4018,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,skinlover_ip4018,Community Actor,,False,False,False,Neutral Engagement,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
glowhunter_ip2869,glowhunter_ip2869,14,10.5,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,glowhunter_ip2869,Community Actor,,False,False,False,Neutral Engagement,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
beautyvibe_ct78952,beautyvibe_ct78952,5,9.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,beautyvibe_ct78952,Community Actor,,False,False,False,Critical / Complaint,Daviena,Senin,0.25,Malam,19,0.80146617099305,0.19853382900695005,8,0.25,Descriptively sufficient
reviewjujur_ct39243,reviewjujur_ct39243,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,reviewjujur_ct39243,Community Actor,,False,False,False,Neutral Engagement,Daviena,Senin,0.25,Malam,19,0.80146617099305,0.19853382900695005,8,0.25,Descriptively sufficient
reviewjujur_ct55350,reviewjujur_ct55350,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,reviewjujur_ct55350,Community Actor,,False,False,False,Mixed Goals,Daviena,Senin,0.25,Malam,19,0.80146617099305,0.19853382900695005,8,0.25,Descriptively sufficient
reviewjujur_ct97003,reviewjujur_ct97003,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,reviewjujur_ct97003,Community Actor,,False,False,False,Promotional / Supportive,Daviena,Senin,0.25,Malam,19,0.80146617099305,0.19853382900695005,8,0.25,Descriptively sufficient
kulitcerah_ct29113,kulitcerah_ct29113,5,8.875,0.0,52,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,kulitcerah_ct29113,Community Actor,,False,False,False,Neutral Engagement,Daviena,Senin,0.25,Malam,19,0.80146617099305,0.19853382900695005,8,0.25,Descriptively sufficient
kulitglowing_ip7028,kulitglowing_ip7028,14,8.875,0.0,54,Azarine,Azarine,Azarine + Daviena,High,Low,kulitglowing_ip7028,Community Actor,,False,False,False,Neutral Engagement,Azarine,Selasa,0.22972972972972974,Malam,23,0.9705563449208434,0.029443655079156583,37,0.2702702702702703,Descriptively sufficient
cantik_ip9501,cantik_ip9501,8,8.660714285714285,0.00042440891484,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,cantik_ip9501,Community Actor,,False,False,False,Mixed Goals,Maryame,Senin,0.2916666666666667,Pagi,7,0.9100816504267417,0.08991834957325828,20,0.2,Descriptively sufficient
kulitglowing_ip1790,kulitglowing_ip1790,8,8.535714285714285,0.00042440891484,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,kulitglowing_ip1790,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Senin,0.2916666666666667,Pagi,7,0.9100816504267417,0.08991834957325828,20,0.2,Descriptively sufficient
kulitglowing_ip334,kulitglowing_ip334,8,8.535714285714285,0.0001747566119929,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,kulitglowing_ip334,Community Actor,,False,False,False,Neutral Engagement,Maryame,Senin,0.2916666666666667,Pagi,7,0.9100816504267417,0.08991834957325828,20,0.2,Descriptively sufficient
glowhunter_ip1923,glowhunter_ip1923,7,8.125,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,glowhunter_ip1923,Community Actor,,False,False,False,Mixed Goals,Maryame,Senin,0.2916666666666667,Pagi,7,0.9100816504267417,0.08991834957325828,20,0.2,Descriptively sufficient
glowhunter_ip8756,glowhunter_ip8756,7,8.0,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,glowhunter_ip8756,Community Actor,,False,False,False,Neutral Engagement,Maryame,Senin,0.2916666666666667,Pagi,7,0.9100816504267417,0.08991834957325828,20,0.2,Descriptively sufficient
skinbestie_ip9364,skinbestie_ip9364,7,8.0,0.0,150,Maryame,Maryame,Maryame + The Originote,Medium,Low,skinbestie_ip9364,Community Actor,,False,False,False,Polarized / Contested,Maryame,Senin,0.2916666666666667,Pagi,7,0.9100816504267417,0.08991834957325828,20,0.2,Descriptively sufficient
glowingid_rr53578,glowingid_rr53578,9,6.8392857142857135,0.0064021946107899,63,Maryame,Mixed_3plus_Brands,Maryame + Daviena + The Originote,Medium,Low,glowingid_rr53578,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Kamis,0.2727272727272727,Malam,20,0.8579424988095209,0.1420575011904791,11,0.2727272727272727,Descriptively sufficient
kulitglowing_ct49929,kulitglowing_ct49929,7,6.375,0.0001220522369474,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,kulitglowing_ct49929,Community Actor,,False,False,False,Promotional / Supportive,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
glowhunter_ct43630,glowhunter_ct43630,4,6.0,0.0,48,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,glowhunter_ct43630,Community Actor,,False,False,False,Promotional / Supportive,Mixed_3plus_Brands,Jumat,0.3333333333333333,Siang,12,0.683310763089587,0.31668923691041295,6,0.3333333333333333,Descriptively sufficient
bestieku_ct63653,bestieku_ct63653,4,6.0,0.0,48,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,bestieku_ct63653,Community Actor,,False,False,False,Critical / Complaint,Mixed_3plus_Brands,Jumat,0.3333333333333333,Siang,12,0.683310763089587,0.31668923691041295,6,0.3333333333333333,Descriptively sufficient
testireal_ct48546,testireal_ct48546,4,6.0,0.0,48,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,testireal_ct48546,Community Actor,,False,False,False,Mixed Goals,Mixed_3plus_Brands,Jumat,0.3333333333333333,Siang,12,0.683310763089587,0.31668923691041295,6,0.3333333333333333,Descriptively sufficient
kulitcerah_ct92565,kulitcerah_ct92565,4,6.0,0.0,48,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,kulitcerah_ct92565,Community Actor,,False,False,False,Promotional / Supportive,Mixed_3plus_Brands,Jumat,0.3333333333333333,Siang,12,0.683310763089587,0.31668923691041295,6,0.3333333333333333,Descriptively sufficient
beautyvibe_ct53672,beautyvibe_ct53672,4,6.0,0.0,48,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,beautyvibe_ct53672,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Jumat,0.3333333333333333,Siang,12,0.683310763089587,0.31668923691041295,6,0.3333333333333333,Descriptively sufficient
glowcheck_r3c10m00x7594,glowcheck_r3c10m00x7594,5,5.178571428571428,0.0,113,Maryame,Maryame,Maryame,High,Medium,glowcheck_r3c10m00x7594,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Selasa,0.39285714285714285,Sore,16,0.5468882936427882,0.45311170635721176,3,0.3333333333333333,Descriptively sufficient
glowdiary_r3c03m00x2631,glowdiary_r3c03m00x2631,5,5.178571428571428,0.0,114,Maryame,Maryame,Maryame,High,Medium,glowdiary_r3c03m00x2631,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Jumat,0.39285714285714285,Pagi,6,0.5468882936427882,0.45311170635721176,3,0.3333333333333333,Descriptively sufficient
skinlover_ct23275,skinlover_ct23275,4,5.089285714285714,0.0,87,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,skinlover_ct23275,Community Actor,,False,False,False,Neutral Engagement,Mixed_2_Brands,Selasa,0.24,Sore,16,0.8229484325323312,0.1770515674676688,5,0.4,Descriptively sufficient
glowup_ct95907,glowup_ct95907,3,5.071428571428571,0.0,20,Daviena,Daviena,Daviena + Maryame,Medium,Low,glowup_ct95907,Community Actor,,False,False,False,Mixed Goals,Daviena,Minggu,0.375,Pagi,17,0.7678541267769685,0.23214587322303148,8,0.375,Descriptively sufficient
dearskin_ct58033,dearskin_ct58033,4,5.0,4.854350333137933e-05,20,Daviena,Daviena,Daviena + Maryame,Medium,Low,dearskin_ct58033,Community Actor,,False,False,False,Neutral Engagement,Daviena,Minggu,0.375,Pagi,17,0.7678541267769685,0.23214587322303148,8,0.375,Descriptively sufficient
skincare_ct87875,skincare_ct87875,4,5.0,4.854350333137933e-05,20,Daviena,Daviena,Daviena + Maryame,Medium,Low,skincare_ct87875,Community Actor,,False,False,False,Promotional / Supportive,Daviena,Minggu,0.375,Pagi,17,0.7678541267769685,0.23214587322303148,8,0.375,Descriptively sufficient
skinbestie_ct9114,skinbestie_ct9114,7,4.875,8.321743428236456e-05,183,The Originote,The Originote,The Originote,High,Low,skinbestie_ct9114,Community Actor,,False,False,False,Mixed Goals,The Originote,Rabu,0.6666666666666666,Malam,7,0.3973562746972977,0.6026437253027024,3,0.6666666666666666,Descriptively sufficient
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m00x8166,5,4.553571428571429,0.0,99,The Originote,The Originote,The Originote,High,Medium,cantiknyata_r3c06m00x8166,Community Actor,,False,False,False,Promotional / Supportive,The Originote,Senin,0.5,Pagi,10,0.3562071871080222,0.6437928128919779,2,0.5,Limited recurrence
glowup_ct93477,glowup_ct93477,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,glowup_ct93477,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
glowingid_ct11995,glowingid_ct11995,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,glowingid_ct11995,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
skincare_ct68797,skincare_ct68797,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,skincare_ct68797,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
beautyaddict_ct75025,beautyaddict_ct75025,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,beautyaddict_ct75025,Community Actor,,False,False,False,Critical / Complaint,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
glowhunter_ct68859,glowhunter_ct68859,6,4.5,0.0,46,The Originote,The Originote,The Originote + Daviena,Medium,Low,glowhunter_ct68859,Community Actor,,False,False,False,Neutral Engagement,The Originote,Selasa,0.3333333333333333,Siang,11,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
kulitglowing_ct71939,kulitglowing_ct71939,6,4.5,0.0,46,The Originote,The Originote,The Originote + Daviena,Medium,Low,kulitglowing_ct71939,Community Actor,,False,False,False,Critical / Complaint,The Originote,Selasa,0.3333333333333333,Siang,11,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
bestieku_ct63780,bestieku_ct63780,6,4.5,0.0,46,The Originote,The Originote,The Originote + Daviena,Medium,Low,bestieku_ct63780,Community Actor,,False,False,False,Mixed Goals,The Originote,Selasa,0.3333333333333333,Siang,11,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
racun_ct61657,racun_ct61657,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,racun_ct61657,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
beautyvibe_ct9600,beautyvibe_ct9600,6,4.5,0.0,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,beautyvibe_ct9600,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
skinclub_ct998,skinclub_ct998,6,4.5,0.0,46,The Originote,The Originote,The Originote + Daviena,Medium,Low,skinclub_ct998,Community Actor,,False,False,False,Promotional / Supportive,The Originote,Selasa,0.3333333333333333,Siang,11,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
reviewjujur_ct84556,reviewjujur_ct84556,6,4.5,0.0,46,The Originote,The Originote,The Originote + Daviena,Medium,Low,reviewjujur_ct84556,Community Actor,,False,False,False,Neutral Engagement,The Originote,Selasa,0.3333333333333333,Siang,11,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
racun_ct19392,racun_ct19392,6,4.5,0.0,46,The Originote,The Originote,The Originote + Daviena,Medium,Low,racun_ct19392,Community Actor,,False,False,False,Neutral Engagement,The Originote,Selasa,0.3333333333333333,Siang,11,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
beautyvibe_ct18973,beautyvibe_ct18973,6,4.5,0.0,46,The Originote,The Originote,The Originote + Daviena,Medium,Low,beautyvibe_ct18973,Community Actor,,False,False,False,Neutral Engagement,The Originote,Selasa,0.3333333333333333,Siang,11,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
racun_ct40815,racun_ct40815,3,4.5,0.0,45,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,racun_ct40815,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Sabtu,0.3333333333333333,Pagi,5,0.8020464921255943,0.1979535078744057,6,0.3333333333333333,Descriptively sufficient
reviewjujur_ct43520,reviewjujur_ct43520,3,4.5,0.0,45,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,reviewjujur_ct43520,Community Actor,,False,False,False,Mixed Goals,Mixed_3plus_Brands,Sabtu,0.3333333333333333,Pagi,5,0.8020464921255943,0.1979535078744057,6,0.3333333333333333,Descriptively sufficient
beautyvibe_ct13413,beautyvibe_ct13413,3,4.5,0.0,45,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,beautyvibe_ct13413,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Sabtu,0.3333333333333333,Pagi,5,0.8020464921255943,0.1979535078744057,6,0.3333333333333333,Descriptively sufficient
testireal_ct49360,testireal_ct49360,3,4.5,0.0,45,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,testireal_ct49360,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Sabtu,0.3333333333333333,Pagi,5,0.8020464921255943,0.1979535078744057,6,0.3333333333333333,Descriptively sufficient
glowingid_ct18883,glowingid_ct18883,4,4.375,0.0,87,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,glowingid_ct18883,Community Actor,,False,False,False,Promotional / Supportive,Mixed_2_Brands,Selasa,0.24,Sore,16,0.8229484325323312,0.1770515674676688,5,0.4,Descriptively sufficient
skintok_ct98906,skintok_ct98906,4,4.375,0.0,87,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,skintok_ct98906,Community Actor,,False,False,False,Promotional / Supportive,Mixed_2_Brands,Selasa,0.24,Sore,16,0.8229484325323312,0.1770515674676688,5,0.4,Descriptively sufficient
skintok_ct36635,skintok_ct36635,4,4.375,0.0,87,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,skintok_ct36635,Community Actor,,False,False,False,Neutral Engagement,Mixed_2_Brands,Selasa,0.24,Sore,16,0.8229484325323312,0.1770515674676688,5,0.4,Descriptively sufficient
skinbestie_ct9146,skinbestie_ct9146,6,4.285714285714286,2.773914476078819e-05,182,Not identified,Not identified,,,Low,skinbestie_ct9146,Community Actor,,False,False,False,Mixed Goals,Not identified,Senin,0.3333333333333333,Pagi,1,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
skinbestie_ct9276,skinbestie_ct9276,6,4.285714285714286,2.219131580863055e-05,15,The Originote,The Originote,The Originote,High,Low,skinbestie_ct9276,Community Actor,,False,False,False,Mixed Goals,The Originote,Selasa,0.6666666666666666,Malam,17,0.3271035759815648,0.6728964240184352,3,0.6666666666666666,Descriptively sufficient
glowup_ct3239,glowup_ct3239,6,4.285714285714286,1.1095657904315277e-05,117,The Originote,The Originote,The Originote,High,Low,glowup_ct3239,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.3333333333333333,Siang,13,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
skinclub_ct2318,skinclub_ct2318,6,4.285714285714286,3.051305923686701e-05,2,Maryame,Maryame,Maryame,High,Low,skinclub_ct2318,Community Actor,,False,False,False,Neutral Engagement,Maryame,Rabu,0.3333333333333333,Pagi,8,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
skincare_ct7727,skincare_ct7727,6,4.285714285714286,3.051305923686701e-05,2,Maryame,Maryame,Maryame,High,Low,skincare_ct7727,Community Actor,,False,False,False,Critical / Complaint,Maryame,Rabu,0.3333333333333333,Pagi,8,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
dearskin_ct6747,dearskin_ct6747,6,4.285714285714286,2.4965230284709368e-05,50,Maryame,Maryame,Maryame,High,Low,dearskin_ct6747,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Selasa,0.3333333333333333,Pagi,6,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
racun_ct1114,racun_ct1114,6,4.285714285714286,2.773914476078819e-05,50,Maryame,Maryame,Maryame,High,Low,racun_ct1114,Community Actor,,False,False,False,Mixed Goals,Maryame,Selasa,0.3333333333333333,Pagi,6,0.5645750340535796,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient
beautyaddict_ct7716,beautyaddict_ct7716,6,4.285714285714286,1.9417401332551733e-05,18,The Originote,The Originote,The Originote,High,Low,beautyaddict_ct7716,Community Actor,,False,False,False,Mixed Goals,The Originote,Rabu,0.6666666666666666,Malam,19,0.3271035759815648,0.6728964240184352,3,0.6666666666666666,Descriptively sufficient
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m00x7495,4,4.142857142857142,0.0,191,The Originote,The Originote,The Originote,High,Medium,reviewpedas_r3c09m00x7495,Community Actor,,False,False,False,Promotional / Supportive,The Originote,Senin,0.391304347826087,Sore,16,0.5478409930036074,0.45215900699639255,3,0.3333333333333333,Descriptively sufficient
testiaman_r3c02m00x9822,testiaman_r3c02m00x9822,4,4.142857142857142,0.0,205,The Originote,The Originote,The Originote,High,Medium,testiaman_r3c02m00x9822,Community Actor,,False,False,False,Promotional / Supportive,The Originote,Rabu,0.6086956521739131,Dini Hari,0,0.34396653083781187,0.6560334691621881,3,0.6666666666666666,Descriptively sufficient
beautyfess_r3c05m00x6415,beautyfess_r3c05m00x6415,4,4.142857142857142,0.0,42,Daviena,Daviena,Daviena,High,Medium,beautyfess_r3c05m00x6415,Community Actor,,False,False,False,Promotional / Supportive,Daviena,Sabtu,0.6086956521739131,Siang,11,0.34396653083781187,0.6560334691621881,3,0.6666666666666666,Descriptively sufficient
cantik_ct9210,cantik_ct9210,4,4.125,0.0001137304935192,17,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,cantik_ct9210,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Senin,0.36363636363636365,Malam,20,0.8374438359146111,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient
skinlover_ct4123,skinlover_ct4123,5,4.071428571428571,2.219131580863055e-05,49,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,skinlover_ct4123,Community Actor,,False,False,False,Neutral Engagement,Mixed_3plus_Brands,Jumat,0.6,Pagi,5,0.4614528195419034,0.5385471804580966,4,0.5,Descriptively sufficient
reviewjujur_ct9773,reviewjujur_ct9773,6,4.071428571428571,5.270437504549756e-05,183,The Originote,The Originote,The Originote,High,Low,reviewjujur_ct9773,Community Actor,,False,False,False,Neutral Engagement,The Originote,Rabu,0.6666666666666666,Malam,7,0.3973562746972977,0.6026437253027024,3,0.6666666666666666,Descriptively sufficient
skinlover_ip490,skinlover_ip490,6,4.035714285714286,0.0001220522369474,103,Daviena,Daviena,Daviena,High,Low,skinlover_ip490,Community Actor,,False,False,False,Neutral Engagement,Daviena,Minggu,0.2,Pagi,17,0.9749762821613742,0.02502371783862578,21,0.2857142857142857,Descriptively sufficient
glowdiary_r3c03m05x9471,glowdiary_r3c03m05x9471,5,4.035714285714286,0.0,114,Maryame,Maryame,Maryame,High,Medium,glowdiary_r3c03m05x9471,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Jumat,0.39285714285714285,Pagi,6,0.5468882936427882,0.45311170635721176,3,0.3333333333333333,Descriptively sufficient
glowdiary_r3c03m01x2588,glowdiary_r3c03m01x2588,5,4.035714285714286,0.0,114,Maryame,Maryame,Maryame,High,Medium,glowdiary_r3c03m01x2588,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Jumat,0.39285714285714285,Pagi,6,0.5468882936427882,0.45311170635721176,3,0.3333333333333333,Descriptively sufficient
glowcheck_r3c10m05x2485,glowcheck_r3c10m05x2485,5,4.035714285714286,0.0,113,Maryame,Maryame,Maryame,High,Medium,glowcheck_r3c10m05x2485,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Selasa,0.39285714285714285,Sore,16,0.5468882936427882,0.45311170635721176,3,0.3333333333333333,Descriptively sufficient
skinlover_ip9713,skinlover_ip9713,6,4.035714285714286,0.0001220522369474,103,Daviena,Daviena,Daviena,High,Low,skinlover_ip9713,Community Actor,,False,False,False,Neutral Engagement,Daviena,Minggu,0.2,Pagi,17,0.9749762821613742,0.02502371783862578,21,0.2857142857142857,Descriptively sufficient
glowcheck_r3c10m03x7520,glowcheck_r3c10m03x7520,5,4.035714285714286,0.0,113,Maryame,Maryame,Maryame,High,Medium,glowcheck_r3c10m03x7520,Community Actor,,False,False,False,Promotional / Supportive,Maryame,Selasa,0.39285714285714285,Sore,16,0.5468882936427882,0.45311170635721176,3,0.3333333333333333,Descriptively sufficient
