path,tracked_status,ignored_status,file_type,extension,size_bytes,sha256,lfs_tracked,referenced_by_count,referenced_by,producer,consumer,classification,proposed_action,justification,risk_level,immutable,content_may_change,notes
output/rm1_temporal/tables/hcc_temporal_profile.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1770,6b714d8852e78f5b2f4ab6d0793a359d2004b9d3747bd724d3081d4a70391ee3,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/hcc_weekday_hour_matrix.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,4644,f55b9ee6e1bd1da864737db4890be77cb5f2284aea3763ce5f46f001231a862c,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/hcc_weekday_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,801,6eefd74b88558ce01d660583ad0780eb6362c821138e84f883fd6fbe4aa5f917,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/temporal_data_quality_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,521,1d5fc8c78a0fad0eb4c046f5f6daa6b5741284fc3e3e30523fae217dd387e9c4,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/temporal_final_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,409,d7816889a4787681655f8d4d8133a82587887b85b54925674d1abd991a8f3542,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/temporal_method_parameters.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,522,366e9f11c27a1ccc010da6ccfc1102e0ee8c9d620bfb39b008b5631199d2c3ce,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/temporal_scope_hour_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1995,849bb44f5478f9095f6d245b32eeec1dc0c7e1a00cb8b6cf92bf889d9971df79,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/temporal_scope_weekday_hour_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,13550,4d8796c401be4428d099eda7d7982e1df7b9de86da879436c60e7cffed1b2679,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/tables/temporal_scope_weekday_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,822,48f7674e32f851b9e3dcba15d5c434575d76af4f615f0b38d900c72693478dd0,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/visualisasi/active_hcc_by_weekday_line.png,tracked,not_ignored,image/png,.png,111068,6d42940ed3e1c17e1f819063a482d4cba9ff7497ef2836fa42ab748756caba0d,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/visualisasi/temporal_scope_hour_lines.png,tracked,not_ignored,image/png,.png,220572,c73b16033c1457a3abb9f11f493a19509e3a5815d6402ae781f6ea0a6b8b7aaf,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/visualisasi/temporal_scope_weekday_hour_lines.png,tracked,not_ignored,image/png,.png,603216,c7348bc675eee423ec567b72d0f2069b0677a8441db8cabf92be667b09f9089b,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm1_temporal/visualisasi/temporal_scope_weekday_lines.png,tracked,not_ignored,image/png,.png,216288,f0804b7fcba56c95ddebe8f2a71df263fdb2e525da51dd00a7225b359ed7e881,False,0,,RM1 pipeline,RM1/RM2 downstream,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_account_network_manifest.json,tracked,not_ignored,application/json,.json,2410,dc9ca51ff6b3563b54d42436b1a1d4fbfd844b4ff7a10c0ff57923f7b908283f,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_account_pairs.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,99396119,5b64af89ded13e6a8cc1917b16ac9e7efe17d992ac959aeaf5d02dc2d7a75bdd,False,4,README.md; output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/apply_rm2_sentiment_v2_final_inference.py; scripts/build_rm2_comment_similarity_examples.py,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_account_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1871,7d48ee51026cba5151c37d56c4196636e6c0c11368ed96932100798f4badb60e,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_by_evidence_combination.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,358,1686ab0ce108c472a1f44c3b1c7bb9297d1bc1bb719d92df9ef57e7b8be7d885,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_by_hcc.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2423,537a34051c7d3286d2a022869a429531047796189a641858b1e7c5d0477cad68,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_by_interaction_scope.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,283,5f44f0bdd14bdaf10f04af77f441c08718185839e1054330404a3d0b94d77255,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_by_network_position.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,217,576029aa050d26530eff7f6f35cd6472fccf94f04201fb34e4f41c7464dd48e7,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_integrity_report.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1778,c180d6fe02c74dcc6a56bf504ad3b4bedb415a4d22410a2504805b13f38d4939,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_lcn_vs_pre_lcn.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,196,1250c77b9fd871262d73b61cb1e2a4eb15d696f8533fcdffc3cb1356c07bfabc,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/account_interaction/community_mass_weight_distribution.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,449,0d7b9fc73cda43cae135c6da7704a2dfcb4fc96b604f2851b60de1d3207b768d,False,0,,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/audit/actor_type_gephi_cleaning_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2373,4904e6c6d6e92cda89faba8f31f7d01400edda423e2915b9f55cfb347f2de79d,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/direct_interaction/community_mass_direct_account_pairs.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,805,9f7e9e57ff9efbed6a252c73cce338342246a45c25c02e389c6537229c85dcc3,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/community_mass_direct_reply_events.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,3081087,5f06bbdb002a7b76e81495251e3f9f19eed1d8bdd0fccb4b2fe19e6814bc65e5,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/community_mass_probable_reply_references.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,457,4f1b8a226912e70903ca157df6f3a1c17f629b625ca6ad6fe11c9458de631778,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_by_brand.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,49,8d230b18f679feb60287ee885456d8de7d1b500071b2816fe1eac2a384f07377,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_by_direction.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,46,8dc861dcc6e62b8daf39f28fe6fa868515ce87689f4946757fcf63239fca9739,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_by_hcc.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,86,07cf9d573929b1d39465baf68e172f6febd8b3375e1e6d5f5ec46a000033c992,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_by_mass_network_position.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,72,40c4497a67cb91acf87079db256cc652f84a0776a59d16cc5b1fc2a19227e604,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_by_sentiment.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,299,bb7c968065d2563c231af73cf88a36c1150262de48a837bcabcfe190b55ee284,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_integrity_report.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1216,ed42cbc9baa48231471d3ec512217df457ac7891a2b25eeb0de8213382381dfd,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_lcn_vs_non_lcn.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,53,4250048263dfbcc562958a18fd903459fc6f1ea0804dd681dbf62bb009463766,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_multi_evidence_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,60,1bfb63642b1a7b30e7cee9b27d4744d97358c1206204778d7d86857366e4f596,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_run_manifest.json,tracked,not_ignored,application/json,.json,1962,806497143c65399c97cd6a3af51a827ec019093ea51fe21b974fecf7399c5c32,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_interaction_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,453,f3d1b33aeba2d3a97a8314d031fa9a7c1d7480c215621f45dabe9271b8400ee2,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/direct_interaction/direct_reply_validation_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,120,2a904384ae3b1bee771246d9e53fe3c303cdd519eb43b912bffd121f73842de2,False,0,,optional reply-only diagnostic,Community-Mass provenance,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.,MEDIUM,False,False,LEGACY_DIRECT_INTERACTION_REPLY_ONLY; three-evidence account_interaction is canonical.
output/rm2_actor_type/gephi/gephi_actor_type_edges.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,138736,9b0235060ab681af5255289e0800b5298142db03a56991074bbe76093aa47b38,False,6,03_rm2_actor_type_typology.ipynb; README.md; output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py; scripts/build_rm2_sentiment_v2_annotation_package.py,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_actor_type_nodes.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,87548,39a6d9634dfab30c4fe2f0952f5271537ce5a1110e8a5eeb31271435a7557560,False,6,03_rm2_actor_type_typology.ipynb; README.md; output/rm2_sentiment/model_v2/development_threshold_refreeze_manifest.json; scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py; scripts/build_rm2_sentiment_v2_annotation_package.py,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_community_mass_account_edges.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,659482,4792c2300119e6b770c02913c6a3f41ce0d95d4f5726ea8232bc0da2de4317a5,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_community_mass_account_edges_all_evidence.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,84198879,ea332f0d5856266ea2b5650ab8c0dcdf090fc8cfd450efac709c6ac9b7e5d6f4,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_community_mass_account_edges_visual.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,659482,4792c2300119e6b770c02913c6a3f41ce0d95d4f5726ea8232bc0da2de4317a5,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_community_mass_account_nodes.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,3893793,b6140b62c5d7407a406ea93ce2c902fa65c26b85302fa8d7123aeeaeedb31813,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_actor_type/gephi/gephi_community_mass_account_nodes_visual.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,254678,7fad0e4916a1dfc6fd4d007e22306bf7551fe32925f648d5d87e108376ef644b,False,1,README.md,RM2 actor type pipeline,RM2 report / Gephi,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
